fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
36045,Jefferson,NY,RESIDENTIAL,5788,9.5,5.8
04015,Mohave,AZ,RESIDENTIAL,5666,8.7,8.5
21047,Christian,KY,RESIDENTIAL,4623,7.1,0.5
48421,Sherman,TX,RESIDENTIAL,5836,5.9,5.9
36091,Saratoga,NY,RESIDENTIAL,4217,5.3,0.0
21185,Oldham,KY,RESIDENTIAL,3778,4.0,0.0
36075,Oswego,NY,RESIDENTIAL,4963,3.7,3.2
12099,Palm Beach,FL,RESIDENTIAL,4927,3.2,2.1
48453,Travis,TX,RESIDENTIAL,5063,3.2,2.9
35029,Luna,NM,RESIDENTIAL,5706,3.1,3.1
05107,Phillips,AR,RESIDENTIAL,3944,2.9,0.0
36081,Queens,NY,RESIDENTIAL,4903,2.9,1.0
36005,Bronx,NY,RESIDENTIAL,4122,2.9,0.0
21213,Simpson,KY,RESIDENTIAL,4468,2.3,2.3
26033,Chippewa,MI,RESIDENTIAL,8477,2.2,2.2
21161,Mason,KY,RESIDENTIAL,5036,2.2,2.2
36019,Clinton,NY,RESIDENTIAL,4924,2.2,0.7
27071,Koochiching,MN,RESIDENTIAL,6628,2.2,2.2
21009,Barren,KY,RESIDENTIAL,5497,2.1,1.4
40081,Lincoln,OK,RESIDENTIAL,5156,1.8,1.5
31063,Frontier,NE,RESIDENTIAL,6018,1.8,1.8
06059,Orange,CA,RESIDENTIAL,3505,1.8,0.2
12039,Gadsden,FL,RESIDENTIAL,3228,1.7,0.0
46013,Brown,SD,RESIDENTIAL,5551,1.7,1.7
01105,Perry,AL,RESIDENTIAL,3949,1.6,0.0
46105,Perkins,SD,RESIDENTIAL,5013,1.6,1.6
12086,Miami-Dade,FL,RESIDENTIAL,5569,1.6,0.5
24031,Montgomery,MD,RESIDENTIAL,4054,1.6,0.4
40145,Wagoner,OK,RESIDENTIAL,4095,1.5,0.0
40049,Garvin,OK,RESIDENTIAL,4929,1.5,0.4
26099,Macomb,MI,RESIDENTIAL,6427,1.5,1.5
21239,Woodford,KY,RESIDENTIAL,3974,1.5,0.0
40129,Roger Mills,OK,RESIDENTIAL,9339,1.5,1.5
06073,San Diego,CA,RESIDENTIAL,6131,1.5,0.8
29119,McDonald,MO,RESIDENTIAL,3658,1.4,0.1
26163,Wayne,MI,RESIDENTIAL,7249,1.4,1.4
21087,Green,KY,RESIDENTIAL,3675,1.4,0.0
25001,Barnstable,MA,RESIDENTIAL,15351,1.4,1.4
40133,Seminole,OK,RESIDENTIAL,5277,1.4,1.2
12011,Broward,FL,RESIDENTIAL,5578,1.4,0.7
35013,Doña Ana,NM,RESIDENTIAL,4276,1.4,0.0
27005,Becker,MN,RESIDENTIAL,7999,1.4,1.4
40015,Caddo,OK,RESIDENTIAL,4906,1.3,0.9
05031,Craighead,AR,RESIDENTIAL,3998,1.3,0.0
53061,Snohomish,WA,RESIDENTIAL,2174,1.3,0.0
06037,Los Angeles,CA,RESIDENTIAL,4383,1.3,0.3
27141,Sherburne,MN,RESIDENTIAL,6999,1.3,1.3
12115,Sarasota,FL,RESIDENTIAL,3626,1.3,0.0
12101,Pasco,FL,RESIDENTIAL,3530,1.2,0.0
45019,Charleston,SC,RESIDENTIAL,8092,1.2,1.2
36063,Niagara,NY,RESIDENTIAL,4961,1.1,1.1
48359,Oldham,TX,RESIDENTIAL,7026,1.1,1.1
45015,Berkeley,SC,RESIDENTIAL,4640,1.1,0.4
29091,Howell,MO,RESIDENTIAL,3833,1.1,0.0
36105,Sullivan,NY,RESIDENTIAL,6085,1.1,0.3
17031,Cook,IL,RESIDENTIAL,5319,1.1,1.1
19065,Fayette,IA,RESIDENTIAL,3321,1.1,0.0
19043,Clayton,IA,RESIDENTIAL,2823,1.1,0.0
36009,Cattaraugus,NY,RESIDENTIAL,4963,1.1,1.1
36059,Nassau,NY,RESIDENTIAL,4210,1.1,0.0
48257,Kaufman,TX,RESIDENTIAL,5069,1.1,1.1
26125,Oakland,MI,RESIDENTIAL,7269,1.0,1.0
29101,Johnson,MO,RESIDENTIAL,4938,1.0,0.8
21001,Adair,KY,RESIDENTIAL,4561,1.0,0.3
46123,Tripp,SD,RESIDENTIAL,7378,1.0,1.0
21137,Lincoln,KY,RESIDENTIAL,4757,1.0,1.0
06065,Riverside,CA,RESIDENTIAL,5515,1.0,0.3
47109,McNairy,TN,RESIDENTIAL,3068,1.0,0.0
30087,Rosebud,MT,RESIDENTIAL,5754,1.0,1.0
47023,Chester,TN,RESIDENTIAL,3061,1.0,0.0
25021,Norfolk,MA,RESIDENTIAL,11962,1.0,1.0
30047,Lake,MT,RESIDENTIAL,3374,1.0,0.0
35005,Chaves,NM,RESIDENTIAL,4520,0.9,0.8
05123,St. Francis,AR,RESIDENTIAL,3577,0.9,0.0
47017,Carroll,TN,RESIDENTIAL,3464,0.9,0.0
36071,Orange,NY,RESIDENTIAL,5125,0.9,0.2
21031,Butler,KY,RESIDENTIAL,3005,0.9,0.0
36065,Oneida,NY,RESIDENTIAL,4067,0.9,0.0
29201,Scott,MO,RESIDENTIAL,3528,0.9,0.0
45057,Lancaster,SC,RESIDENTIAL,3832,0.9,0.0
08001,Adams,CO,RESIDENTIAL,3012,0.9,0.0
26109,Menominee,MI,RESIDENTIAL,6887,0.9,0.9
01047,Dallas,AL,RESIDENTIAL,2863,0.9,0.0
55099,Price,WI,RESIDENTIAL,4593,0.9,0.4
36021,Columbia,NY,RESIDENTIAL,3285,0.9,0.0
46115,Spink,SD,RESIDENTIAL,5784,0.9,0.9
27101,Murray,MN,RESIDENTIAL,9330,0.9,0.9
46091,Marshall,SD,RESIDENTIAL,6862,0.8,0.8
28057,Itawamba,MS,RESIDENTIAL,1960,0.8,0.0
40101,Muskogee,OK,RESIDENTIAL,3861,0.8,0.0
29123,Madison,MO,RESIDENTIAL,3656,0.8,0.0
40041,Delaware,OK,RESIDENTIAL,5850,0.8,0.5
29029,Camden,MO,RESIDENTIAL,4034,0.8,0.0
36013,Chautauqua,NY,RESIDENTIAL,4721,0.8,0.2
46079,Lake,SD,RESIDENTIAL,6660,0.8,0.8
48229,Hudspeth,TX,RESIDENTIAL,2518,0.8,0.0
05065,Izard,AR,RESIDENTIAL,2813,0.8,0.0
27045,Fillmore,MN,RESIDENTIAL,8760,0.8,0.8
31097,Johnson,NE,RESIDENTIAL,6334,0.8,0.8
36027,Dutchess,NY,RESIDENTIAL,3039,0.8,0.0
40093,Major,OK,RESIDENTIAL,5033,0.8,0.0
26051,Gladwin,MI,RESIDENTIAL,6703,0.8,0.8
35021,Harding,NM,RESIDENTIAL,6360,0.8,0.8
46053,Gregory,SD,RESIDENTIAL,6069,0.8,0.8
18113,Noble,IN,RESIDENTIAL,5727,0.8,0.8
31141,Platte,NE,RESIDENTIAL,5607,0.8,0.8
13165,Jenkins,GA,RESIDENTIAL,3528,0.8,0.0
40059,Harper,OK,RESIDENTIAL,3382,0.8,0.0
05009,Boone,AR,RESIDENTIAL,4157,0.8,0.0
40057,Harmon,OK,RESIDENTIAL,4495,0.7,0.7
48165,Gaines,TX,RESIDENTIAL,4256,0.7,0.0
26117,Montcalm,MI,RESIDENTIAL,7559,0.7,0.7
20003,Anderson,KS,RESIDENTIAL,7562,0.7,0.7
27021,Cass,MN,RESIDENTIAL,7211,0.7,0.7
31131,Otoe,NE,RESIDENTIAL,6144,0.7,0.7
31185,York,NE,RESIDENTIAL,18869,0.7,0.7
45083,Spartanburg,SC,RESIDENTIAL,2744,0.7,0.0
01005,Barbour,AL,RESIDENTIAL,3574,0.7,0.0
08123,Weld,CO,RESIDENTIAL,3866,0.7,0.0
36047,Kings,NY,RESIDENTIAL,6666,0.7,0.3
13099,Early,GA,RESIDENTIAL,3909,0.7,0.0
27137,St. Louis,MN,RESIDENTIAL,5717,0.7,0.7
33015,Rockingham,NH,RESIDENTIAL,8333,0.7,0.7
25027,Worcester,MA,RESIDENTIAL,10712,0.7,0.7
29023,Butler,MO,RESIDENTIAL,3063,0.7,0.0
21049,Clark,KY,RESIDENTIAL,5367,0.7,0.5
55075,Marinette,WI,RESIDENTIAL,3966,0.7,0.0
42019,Butler,PA,RESIDENTIAL,4659,0.7,0.6
38091,Steele,ND,RESIDENTIAL,6730,0.7,0.7
05135,Sharp,AR,RESIDENTIAL,3356,0.7,0.2
21191,Pendleton,KY,RESIDENTIAL,2233,0.7,0.0
12081,Manatee,FL,RESIDENTIAL,5076,0.7,0.1
25017,Middlesex,MA,RESIDENTIAL,10675,0.7,0.7
47069,Hardeman,TN,RESIDENTIAL,3244,0.7,0.0
27033,Cottonwood,MN,RESIDENTIAL,9762,0.7,0.7
08075,Logan,CO,RESIDENTIAL,5002,0.7,0.6
13221,Oglethorpe,GA,RESIDENTIAL,3406,0.7,0.0
13175,Laurens,GA,RESIDENTIAL,3524,0.7,0.0
19015,Boone,IA,RESIDENTIAL,3431,0.7,0.0
48087,Collingsworth,TX,RESIDENTIAL,5166,0.7,0.7
38013,Burke,ND,RESIDENTIAL,7578,0.6,0.6
45075,Orangeburg,SC,RESIDENTIAL,5092,0.6,0.4
09001,Fairfield,CT,RESIDENTIAL,8305,0.6,0.6
18037,Dubois,IN,RESIDENTIAL,5694,0.6,0.6
19173,Taylor,IA,RESIDENTIAL,3372,0.6,0.0
38023,Divide,ND,RESIDENTIAL,5548,0.6,0.6
27001,Aitkin,MN,RESIDENTIAL,6530,0.6,0.6
27089,Marshall,MN,RESIDENTIAL,7708,0.6,0.6
19107,Keokuk,IA,RESIDENTIAL,3194,0.6,0.0
26081,Kent,MI,RESIDENTIAL,7404,0.6,0.6
36049,Lewis,NY,RESIDENTIAL,4693,0.6,0.2
23017,Oxford,ME,RESIDENTIAL,5391,0.6,0.6
21151,Madison,KY,RESIDENTIAL,4031,0.6,0.0
08069,Larimer,CO,RESIDENTIAL,5164,0.6,0.1
12083,Marion,FL,RESIDENTIAL,3326,0.6,0.0
06071,San Bernardino,CA,RESIDENTIAL,14173,0.6,0.3
16051,Jefferson,ID,RESIDENTIAL,3430,0.6,0.0
27151,Swift,MN,RESIDENTIAL,8421,0.6,0.6
33011,Hillsborough,NH,RESIDENTIAL,7358,0.6,0.6
27059,Isanti,MN,RESIDENTIAL,6854,0.6,0.6
28019,Choctaw,MS,RESIDENTIAL,2298,0.6,0.0
26067,Ionia,MI,RESIDENTIAL,7511,0.6,0.6
01125,Tuscaloosa,AL,RESIDENTIAL,2839,0.6,0.0
27115,Pine,MN,RESIDENTIAL,5367,0.6,0.4
12021,Collier,FL,RESIDENTIAL,3848,0.6,0.0
05145,White,AR,RESIDENTIAL,3717,0.6,0.0
29217,Vernon,MO,RESIDENTIAL,4639,0.6,0.3
29071,Franklin,MO,RESIDENTIAL,3590,0.6,0.0
19153,Polk,IA,RESIDENTIAL,3015,0.6,0.0
53073,Whatcom,WA,RESIDENTIAL,3992,0.6,0.1
55069,Lincoln,WI,RESIDENTIAL,4303,0.6,0.2
48011,Armstrong,TX,RESIDENTIAL,6544,0.5,0.5
05055,Greene,AR,RESIDENTIAL,4210,0.5,0.1
26141,Presque Isle,MI,RESIDENTIAL,6837,0.5,0.5
51175,Southampton,VA,RESIDENTIAL,4713,0.5,0.1
