fips,county_name,state_abbr,underserved,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
53043,Lincoln,WA,True,3826,64.2,0.0
35057,Torrance,NM,True,4407,61.9,0.1
35059,Union,NM,True,9213,31.3,31.3
30051,Liberty,MT,True,7326,30.6,30.6
26067,Ionia,MI,True,6324,30.3,30.3
40077,Latimer,OK,True,1137,20.6,0.0
48421,Sherman,TX,True,5391,18.1,5.9
48229,Hudspeth,TX,True,5643,14.5,14.5
01101,Montgomery,AL,True,2908,13.3,0.0
48283,La Salle,TX,True,4661,12.8,12.8
35013,Doña Ana,NM,True,4135,12.6,0.0
46069,Hyde,SD,True,5788,12.1,12.1
38105,Williams,ND,True,5588,9.6,6.9
06047,Merced,CA,True,11269,8.9,4.7
04015,Mohave,AZ,True,5593,8.4,8.1
13033,Burke,GA,True,3284,8.1,0.0
37061,Duplin,NC,True,4063,7.9,0.1
21047,Christian,KY,True,4623,7.1,0.5
06071,San Bernardino,CA,True,14120,7.0,6.6
08021,Conejos,CO,True,3231,6.9,0.0
06025,Imperial,CA,True,11633,6.9,6.9
31177,Washington,NE,True,5164,6.0,6.0
48117,Deaf Smith,TX,True,5944,6.0,6.0
18077,Jefferson,IN,True,13288,5.8,5.8
41037,Lake,OR,True,4051,5.4,0.0
06085,Santa Clara,CA,True,9887,5.4,0.2
54003,Berkeley,WV,True,2050,5.0,0.0
30105,Valley,MT,True,8739,4.8,4.8
17201,Winnebago,IL,True,9834,4.6,4.6
01047,Dallas,AL,True,3301,4.4,0.0
55025,Dane,WI,True,8582,4.2,1.6
36065,Oneida,NY,True,4067,4.1,0.0
16073,Owyhee,ID,True,4490,3.8,0.0
48453,Travis,TX,True,5035,3.8,2.9
48209,Hays,TX,True,8352,3.5,3.5
20099,Labette,KS,True,6950,3.5,3.5
36075,Oswego,NY,True,4963,3.3,3.3
38023,Divide,ND,True,5374,3.3,3.3
48305,Lynn,TX,True,7432,3.2,3.2
21209,Scott,KY,True,6853,3.1,3.1
18053,Grant,IN,True,5674,3.0,3.0
46037,Day,SD,True,5575,3.0,3.0
48027,Bell,TX,True,5659,2.9,0.3
05107,Phillips,AR,True,3944,2.9,0.0
13141,Hancock,GA,True,2433,2.9,0.0
54077,Preston,WV,True,1988,2.9,0.0
48419,Shelby,TX,True,2422,2.8,0.0
08123,Weld,CO,True,3994,2.8,2.6
48491,Williamson,TX,True,8948,2.7,2.7
06111,Ventura,CA,True,6582,2.7,0.1
38009,Bottineau,ND,True,4259,2.7,0.0
36073,Orleans,NY,True,6238,2.6,2.6
30015,Chouteau,MT,True,8271,2.6,2.6
49021,Iron,UT,True,4139,2.6,0.0
36005,Bronx,NY,True,4122,2.6,0.0
38041,Hettinger,ND,True,4178,2.6,0.0
45029,Colleton,SC,True,2462,2.6,0.0
21017,Bourbon,KY,True,5142,2.5,1.8
30005,Blaine,MT,True,8601,2.4,2.4
06073,San Diego,CA,True,5632,2.4,0.6
38083,Sheridan,ND,True,5071,2.3,1.6
21213,Simpson,KY,True,4468,2.3,2.3
04019,Pima,AZ,True,4433,2.3,1.7
28011,Bolivar,MS,True,6668,2.2,2.2
21161,Mason,KY,True,5036,2.2,2.2
48331,Milam,TX,True,5355,2.2,1.9
28147,Walthall,MS,True,4223,2.1,0.0
29081,Harrison,MO,True,4295,2.0,1.7
36081,Queens,NY,True,4982,2.0,0.4
46123,Tripp,SD,True,7165,2.0,2.0
36045,Jefferson,NY,True,5788,2.0,1.5
17011,Bureau,IL,True,5998,1.9,1.9
29091,Howell,MO,True,3791,1.9,0.0
29101,Johnson,MO,True,4938,1.8,0.8
28083,Leflore,MS,True,2680,1.8,0.0
29135,Moniteau,MO,True,4355,1.7,1.7
36089,St. Lawrence,NY,True,909,1.7,0.0
12039,Gadsden,FL,True,3228,1.7,0.0
48309,McLennan,TX,True,9574,1.7,1.7
21045,Casey,KY,True,4869,1.6,1.5
28067,Jones,MS,True,3262,1.6,0.0
17077,Jackson,IL,True,4315,1.6,1.2
48165,Gaines,TX,True,4000,1.6,0.0
12086,Miami-Dade,FL,True,5423,1.5,0.4
36019,Clinton,NY,True,4924,1.5,0.7
36055,Monroe,NY,True,2556,1.5,0.0
29147,Nodaway,MO,True,5129,1.5,1.5
56035,Sublette,WY,True,3929,1.5,0.2
31109,Lancaster,NE,True,6831,1.5,1.5
13247,Rockdale,GA,True,1640,1.4,0.0
48277,Lamar,TX,True,3089,1.4,0.0
06107,Tulare,CA,True,4394,1.4,0.9
05037,Cross,AR,True,4351,1.4,0.0
05031,Craighead,AR,True,3986,1.4,0.0
48113,Dallas,TX,True,8622,1.4,1.1
30073,Pondera,MT,True,7955,1.3,1.3
06037,Los Angeles,CA,True,4276,1.3,0.3
18031,Decatur,IN,True,7112,1.3,1.3
06065,Riverside,CA,True,5481,1.3,0.4
12011,Broward,FL,True,4384,1.2,0.5
29203,Shannon,MO,True,3550,1.2,0.0
06083,Santa Barbara,CA,True,4286,1.2,1.2
30047,Lake,MT,True,4521,1.2,0.2
48029,Bexar,TX,True,4504,1.2,0.3
06059,Orange,CA,True,2950,1.2,0.1
48039,Brazoria,TX,True,4148,1.2,0.0
36063,Niagara,NY,True,5200,1.2,1.2
17001,Adams,IL,True,7382,1.1,1.1
36105,Sullivan,NY,True,6085,1.1,0.5
36011,Cayuga,NY,True,4247,1.1,0.0
48121,Denton,TX,True,6594,1.1,0.1
20041,Dickinson,KS,True,6607,1.1,1.1
45019,Charleston,SC,True,7091,1.1,1.0
17099,LaSalle,IL,True,5207,1.1,1.1
25027,Worcester,MA,True,2467,1.1,0.0
17141,Ogle,IL,True,7325,1.1,1.1
19065,Fayette,IA,True,3033,1.0,0.0
20029,Cloud,KS,True,6009,1.0,1.0
30011,Carter,MT,True,8378,1.0,1.0
48071,Chambers,TX,True,5300,1.0,0.4
