fips,county_name,state_abbr,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
40139,Texas,OK,4003,74.3,0.0
53043,Lincoln,WA,3267,65.0,0.0
35057,Torrance,NM,3970,61.9,0.0
35059,Union,NM,7826,36.6,36.6
26067,Ionia,MI,5820,33.1,33.1
08063,Kit Carson,CO,7507,31.5,31.5
30051,Liberty,MT,6249,30.6,30.6
27069,Kittson,MN,4839,30.0,0.0
48109,Culberson,TX,6800,29.2,29.2
35013,Doña Ana,NM,3734,25.6,0.0
38105,Williams,ND,4798,21.7,9.8
18157,Tippecanoe,IN,5460,21.0,0.9
40077,Latimer,OK,970,20.6,0.0
48421,Sherman,TX,4821,18.1,5.9
36045,Jefferson,NY,5214,17.6,5.1
48229,Hudspeth,TX,4304,15.3,14.5
01101,Montgomery,AL,2480,13.3,0.0
48283,La Salle,TX,3976,12.8,0.0
46099,Minnehaha,SD,5875,12.5,12.5
48105,Crockett,TX,7346,12.4,12.4
17031,Cook,IL,4986,12.3,0.9
46069,Hyde,SD,4937,12.1,12.1
38041,Hettinger,ND,5162,10.5,5.3
06047,Merced,CA,9254,10.4,5.7
38029,Emmons,ND,4524,10.1,2.6
48011,Armstrong,TX,6818,9.8,9.8
38049,McHenry,ND,3963,9.4,0.0
49003,Box Elder,UT,6146,9.4,9.4
36065,Oneida,NY,3081,9.3,0.0
04015,Mohave,AZ,5046,8.7,8.2
27045,Fillmore,MN,7823,8.5,8.5
45029,Colleton,SC,2100,8.1,0.0
13033,Burke,GA,2958,8.1,0.0
37061,Duplin,NC,3992,8.0,0.0
27091,Martin,MN,7567,7.9,7.9
48027,Bell,TX,5043,7.8,1.0
48133,Eastland,TX,7247,7.6,7.1
48479,Webb,TX,6473,7.6,7.6
48371,Pecos,TX,6470,7.4,7.4
08005,Arapahoe,CO,4097,7.2,7.1
08023,Costilla,CO,4520,7.2,7.1
55075,Marinette,WI,3804,7.1,0.0
21047,Christian,KY,4164,7.1,0.0
06071,San Bernardino,CA,12704,7.0,0.3
08021,Conejos,CO,2756,6.9,0.0
06025,Imperial,CA,10324,6.9,6.9
36091,Saratoga,NY,2882,6.9,0.0
48491,Williamson,TX,8063,6.8,6.7
06029,Kern,CA,17469,6.7,0.4
29163,Pike,MO,3791,6.5,0.0
21209,Scott,KY,5814,6.4,6.3
26141,Presque Isle,MI,6954,6.3,6.3
36075,Oswego,NY,4234,6.1,3.2
31177,Washington,NE,4405,6.0,6.0
48489,Willacy,TX,6563,6.0,5.8
48117,Deaf Smith,TX,5070,6.0,6.0
42091,Montgomery,PA,4098,5.9,0.0
18177,Wayne,IN,4718,5.9,5.5
18077,Jefferson,IN,11335,5.8,5.8
38009,Bottineau,ND,4728,5.7,0.5
04017,Navajo,AZ,7177,5.6,0.2
55069,Lincoln,WI,5035,5.5,4.8
41037,Lake,OR,3650,5.4,0.0
06085,Santa Clara,CA,8907,5.4,0.2
48251,Johnson,TX,7042,5.3,5.3
17105,Livingston,IL,5798,5.2,5.2
21151,Madison,KY,4369,5.1,4.5
54003,Berkeley,WV,1748,5.0,0.0
48225,Houston,TX,3503,5.0,0.0
55025,Dane,WI,7233,5.0,1.6
30105,Valley,MT,7873,4.8,4.8
38097,Traill,ND,5165,4.8,2.7
30041,Hill,MT,7182,4.8,4.8
48097,Cooke,TX,6545,4.8,4.8
01061,Geneva,AL,3603,4.7,0.0
17201,Winnebago,IL,6895,4.7,4.6
17173,Shelby,IL,5245,4.6,4.3
01047,Dallas,AL,2872,4.4,0.0
29183,St. Charles,MO,3343,4.3,0.0
55039,Fond du Lac,WI,7649,4.3,1.5
