fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
13141,Hancock,GA,AGRICULTURAL,124,460.0,0.0
32011,Eureka,NV,AGRICULTURAL,669,254.8,0.0
08123,Weld,CO,AGRICULTURAL,1530,180.5,162.7
08075,Logan,CO,AGRICULTURAL,1039,162.7,162.7
01061,Geneva,AL,AGRICULTURAL,173,98.4,0.0
06047,Merced,CA,AGRICULTURAL,795,79.8,0.0
28083,Leflore,MS,AGRICULTURAL,1373,61.5,61.5
48011,Armstrong,TX,AGRICULTURAL,2412,56.8,56.8
40047,Garfield,OK,AGRICULTURAL,2908,53.6,53.6
21151,Madison,KY,AGRICULTURAL,1945,52.6,52.6
53043,Lincoln,WA,AGRICULTURAL,1662,52.0,52.0
08063,Kit Carson,CO,AGRICULTURAL,2567,49.0,49.0
17075,Iroquois,IL,AGRICULTURAL,1945,46.4,46.4
08109,Saguache,CO,AGRICULTURAL,64,43.7,0.0
34033,Salem,NJ,AGRICULTURAL,1301,39.3,39.3
49021,Iron,UT,AGRICULTURAL,2051,38.1,38.1
17053,Ford,IL,AGRICULTURAL,2338,37.4,37.4
42117,Tioga,PA,AGRICULTURAL,2899,36.5,36.3
17073,Henry,IL,AGRICULTURAL,2291,35.2,35.2
28055,Issaquena,MS,AGRICULTURAL,771,33.7,0.0
42005,Armstrong,PA,AGRICULTURAL,1214,33.2,33.2
34005,Burlington,NJ,AGRICULTURAL,988,30.6,0.0
20021,Cherokee,KS,AGRICULTURAL,2399,29.5,29.5
21017,Bourbon,KY,AGRICULTURAL,2621,29.2,29.2
29205,Shelby,MO,AGRICULTURAL,2148,28.8,28.8
40009,Beckham,OK,AGRICULTURAL,2031,28.1,28.1
17091,Kankakee,IL,AGRICULTURAL,2073,27.8,27.8
26065,Ingham,MI,AGRICULTURAL,2223,27.6,27.6
40015,Caddo,OK,AGRICULTURAL,2864,27.6,27.6
17105,Livingston,IL,AGRICULTURAL,2567,26.9,26.9
31031,Cherry,NE,AGRICULTURAL,2755,26.5,26.5
28133,Sunflower,MS,AGRICULTURAL,1426,26.5,26.5
28029,Copiah,MS,AGRICULTURAL,592,25.7,0.0
17135,Montgomery,IL,AGRICULTURAL,2230,25.3,25.3
51111,Lunenburg,VA,AGRICULTURAL,582,24.9,0.0
17021,Christian,IL,AGRICULTURAL,1786,24.5,24.5
28119,Quitman,MS,AGRICULTURAL,1219,24.4,24.4
17107,Logan,IL,AGRICULTURAL,1866,24.3,24.3
39147,Seneca,OH,AGRICULTURAL,2309,23.8,23.8
12079,Madison,FL,AGRICULTURAL,294,23.2,0.0
29041,Chariton,MO,AGRICULTURAL,2125,23.2,23.2
16051,Jefferson,ID,AGRICULTURAL,1484,22.5,22.5
42019,Butler,PA,AGRICULTURAL,1459,21.6,21.6
46063,Harding,SD,AGRICULTURAL,2513,20.9,20.9
17115,Macon,IL,AGRICULTURAL,1887,20.5,20.5
01083,Limestone,AL,AGRICULTURAL,652,20.2,0.0
28051,Holmes,MS,AGRICULTURAL,993,19.0,19.0
31101,Keith,NE,AGRICULTURAL,1651,18.9,1.5
20157,Republic,KS,AGRICULTURAL,2213,18.7,18.7
45089,Williamsburg,SC,AGRICULTURAL,1128,18.6,18.6
35057,Torrance,NM,AGRICULTURAL,2548,18.6,14.9
48229,Hudspeth,TX,AGRICULTURAL,803,18.4,0.0
42055,Franklin,PA,AGRICULTURAL,837,18.4,0.0
29147,Nodaway,MO,AGRICULTURAL,2724,17.8,17.8
18177,Wayne,IN,AGRICULTURAL,2089,17.7,17.7
13071,Colquitt,GA,AGRICULTURAL,935,17.2,0.0
17027,Clinton,IL,AGRICULTURAL,1696,17.2,17.2
24041,Talbot,MD,AGRICULTURAL,1151,16.8,16.8
36017,Chenango,NY,AGRICULTURAL,1432,16.7,16.7
17093,Kendall,IL,AGRICULTURAL,2128,16.7,16.7
17113,McLean,IL,AGRICULTURAL,2493,16.5,16.5
46029,Codington,SD,AGRICULTURAL,3322,16.5,16.5
05037,Cross,AR,AGRICULTURAL,1862,16.1,16.1
39031,Coshocton,OH,AGRICULTURAL,1035,15.8,15.6
17079,Jasper,IL,AGRICULTURAL,1733,15.7,15.7
48165,Gaines,TX,AGRICULTURAL,1637,15.1,15.1
42063,Indiana,PA,AGRICULTURAL,1015,14.6,14.6
48255,Karnes,TX,AGRICULTURAL,1387,14.5,9.4
28153,Wayne,MS,AGRICULTURAL,557,14.1,0.0
06049,Modoc,CA,AGRICULTURAL,1084,13.9,8.3
39091,Logan,OH,AGRICULTURAL,2886,13.6,13.6
17173,Shelby,IL,AGRICULTURAL,2183,13.6,13.6
39001,Adams,OH,AGRICULTURAL,657,13.5,0.0
36075,Oswego,NY,AGRICULTURAL,232,13.4,0.0
42071,Lancaster,PA,AGRICULTURAL,611,13.1,0.0
48055,Caldwell,TX,AGRICULTURAL,708,13.1,0.0
51047,Culpeper,VA,AGRICULTURAL,47,13.1,0.0
48491,Williamson,TX,AGRICULTURAL,2091,13.0,13.0
38025,Dunn,ND,AGRICULTURAL,2016,12.9,12.9
24013,Carroll,MD,AGRICULTURAL,1309,12.8,8.8
36013,Chautauqua,NY,AGRICULTURAL,1520,12.6,12.6
29145,Newton,MO,AGRICULTURAL,2849,12.6,12.6
48283,La Salle,TX,AGRICULTURAL,1235,12.5,12.5
31001,Adams,NE,AGRICULTURAL,2509,12.5,12.5
30011,Carter,MT,AGRICULTURAL,2587,12.4,12.4
