fips,county_name,state_abbr,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
13141,Hancock,GA,124,460.0,0.0
32011,Eureka,NV,544,255.2,0.0
08123,Weld,CO,1742,183.0,165.0
08075,Logan,CO,1039,162.7,162.7
01061,Geneva,AL,173,98.4,0.0
06047,Merced,CA,795,79.8,0.0
34005,Burlington,NJ,1004,67.1,36.3
28083,Leflore,MS,1373,61.5,61.5
48011,Armstrong,TX,2412,56.8,56.8
40047,Garfield,OK,2908,53.6,53.6
21151,Madison,KY,1945,52.6,52.6
53043,Lincoln,WA,1662,52.0,52.0
08063,Kit Carson,CO,2567,49.0,49.0
17075,Iroquois,IL,1945,46.4,46.4
08109,Saguache,CO,64,43.7,0.0
49021,Iron,UT,2187,39.4,39.4
34033,Salem,NJ,1301,39.3,39.3
17053,Ford,IL,2338,37.4,37.4
42117,Tioga,PA,2899,36.5,36.3
17073,Henry,IL,2291,35.2,35.2
28055,Issaquena,MS,771,33.7,0.0
36045,Jefferson,NY,1263,33.3,30.4
42005,Armstrong,PA,1214,33.2,33.2
20021,Cherokee,KS,2399,29.5,29.5
21017,Bourbon,KY,2621,29.2,29.2
29205,Shelby,MO,2148,28.8,28.8
40009,Beckham,OK,2031,28.1,28.1
17091,Kankakee,IL,2073,27.8,27.8
26065,Ingham,MI,2223,27.6,27.6
40015,Caddo,OK,2864,27.6,27.6
17105,Livingston,IL,2567,26.9,26.9
28133,Sunflower,MS,1413,26.6,26.6
31031,Cherry,NE,2755,26.5,26.5
28029,Copiah,MS,592,25.7,0.0
17135,Montgomery,IL,2230,25.3,25.3
51111,Lunenburg,VA,582,24.9,0.0
06071,San Bernardino,CA,1943,24.5,22.1
17021,Christian,IL,1786,24.5,24.5
28119,Quitman,MS,1219,24.4,24.4
17107,Logan,IL,1866,24.3,24.3
39147,Seneca,OH,2309,23.8,23.8
12079,Madison,FL,294,23.2,0.0
29041,Chariton,MO,2125,23.2,23.2
16051,Jefferson,ID,1484,22.5,22.5
42019,Butler,PA,1455,21.9,21.9
46063,Harding,SD,2513,20.9,20.9
17115,Macon,IL,1887,20.5,20.5
01083,Limestone,AL,652,20.2,0.0
22075,Plaquemines,LA,505,20.1,0.0
28051,Holmes,MS,993,19.0,19.0
31101,Keith,NE,1651,18.9,1.5
32003,Clark,NV,1874,18.8,18.3
20157,Republic,KS,2213,18.7,18.7
45089,Williamsburg,SC,1128,18.6,18.6
35057,Torrance,NM,2548,18.6,14.9
48229,Hudspeth,TX,803,18.4,0.0
42055,Franklin,PA,837,18.4,0.0
29147,Nodaway,MO,2724,17.8,17.8
18177,Wayne,IN,2089,17.7,17.7
13071,Colquitt,GA,935,17.2,0.0
17027,Clinton,IL,1696,17.2,17.2
36017,Chenango,NY,1340,17.1,16.7
