fips,county_name,state_abbr,turbine_class,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
13141,Hancock,GA,large,124,460.0,0.0
32011,Eureka,NV,large,544,255.2,0.0
08123,Weld,CO,large,1742,183.0,165.0
08075,Logan,CO,large,1039,162.7,162.7
01061,Geneva,AL,large,173,98.4,0.0
06047,Merced,CA,large,795,79.8,0.0
34005,Burlington,NJ,large,1004,67.1,36.3
28083,Leflore,MS,large,1373,61.5,61.5
48011,Armstrong,TX,large,2412,56.8,56.8
40047,Garfield,OK,large,2908,53.6,53.6
21151,Madison,KY,large,1945,52.6,52.6
53043,Lincoln,WA,large,1662,52.0,52.0
08063,Kit Carson,CO,large,2567,49.0,49.0
17075,Iroquois,IL,large,1945,46.4,46.4
08109,Saguache,CO,large,64,43.7,0.0
49021,Iron,UT,large,2187,39.4,39.4
34033,Salem,NJ,large,1301,39.3,39.3
17053,Ford,IL,large,2338,37.4,37.4
42117,Tioga,PA,large,2899,36.5,36.3
17073,Henry,IL,large,2291,35.2,35.2
28055,Issaquena,MS,large,771,33.7,0.0
36045,Jefferson,NY,large,1263,33.3,30.4
42005,Armstrong,PA,large,1214,33.2,33.2
20021,Cherokee,KS,large,2399,29.5,29.5
21017,Bourbon,KY,large,2621,29.2,29.2
29205,Shelby,MO,large,2148,28.8,28.8
40009,Beckham,OK,large,2031,28.1,28.1
17091,Kankakee,IL,large,2073,27.8,27.8
26065,Ingham,MI,large,2223,27.6,27.6
40015,Caddo,OK,large,2864,27.6,27.6
17105,Livingston,IL,large,2567,26.9,26.9
28133,Sunflower,MS,large,1413,26.6,26.6
31031,Cherry,NE,large,2755,26.5,26.5
28029,Copiah,MS,large,592,25.7,0.0
17135,Montgomery,IL,large,2230,25.3,25.3
51111,Lunenburg,VA,large,582,24.9,0.0
06071,San Bernardino,CA,large,1943,24.5,22.1
17021,Christian,IL,large,1786,24.5,24.5
28119,Quitman,MS,large,1219,24.4,24.4
17107,Logan,IL,large,1866,24.3,24.3
39147,Seneca,OH,large,2309,23.8,23.8
12079,Madison,FL,large,294,23.2,0.0
29041,Chariton,MO,large,2125,23.2,23.2
16051,Jefferson,ID,large,1484,22.5,22.5
42019,Butler,PA,large,1455,21.9,21.9
46063,Harding,SD,large,2513,20.9,20.9
17115,Macon,IL,large,1887,20.5,20.5
01083,Limestone,AL,large,652,20.2,0.0
22075,Plaquemines,LA,large,505,20.1,0.0
28051,Holmes,MS,large,993,19.0,19.0
31101,Keith,NE,large,1651,18.9,1.5
32003,Clark,NV,large,1874,18.8,18.3
