fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
36045,Jefferson,NY,RESIDENTIAL,447,28.8,0.0
22075,Plaquemines,LA,RESIDENTIAL,227,20.1,0.0
08073,Lincoln,CO,RESIDENTIAL,355,11.2,0.0
06071,San Bernardino,CA,RESIDENTIAL,728,9.5,0.0
48461,Upton,TX,RESIDENTIAL,469,5.7,0.0
48115,Dawson,TX,RESIDENTIAL,447,5.7,0.0
38007,Billings,ND,RESIDENTIAL,803,4.9,0.0
48475,Ward,TX,RESIDENTIAL,220,4.6,0.0
05109,Pike,AR,RESIDENTIAL,205,2.3,0.0
05041,Desha,AR,RESIDENTIAL,499,2.0,0.0
26039,Crawford,MI,RESIDENTIAL,841,1.9,0.0
05017,Chicot,AR,RESIDENTIAL,479,1.8,0.0
32031,Washoe,NV,RESIDENTIAL,406,1.6,0.0
05001,Arkansas,AR,RESIDENTIAL,524,1.5,0.0
38025,Dunn,ND,RESIDENTIAL,914,1.5,0.3
29015,Benton,MO,RESIDENTIAL,584,1.2,0.0
05011,Bradley,AR,RESIDENTIAL,324,1.1,0.0
24045,Wicomico,MD,RESIDENTIAL,426,0.7,0.0
29085,Hickory,MO,RESIDENTIAL,446,0.6,0.0
48057,Calhoun,TX,RESIDENTIAL,141,0.3,0.0
29155,Pemiscot,MO,RESIDENTIAL,704,0.3,0.0
04013,Maricopa,AZ,RESIDENTIAL,290,0.3,0.0
04025,Yavapai,AZ,RESIDENTIAL,218,0.3,0.0
