fips,county_name,state_abbr,underserved,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
13141,Hancock,GA,True,16,460.0,0.0
08123,Weld,CO,True,639,171.0,0.0
06047,Merced,CA,True,143,79.3,0.0
28083,Leflore,MS,True,360,61.0,0.0
08109,Saguache,CO,True,13,41.9,0.0
40015,Caddo,OK,True,990,26.5,0.0
40047,Garfield,OK,True,917,26.5,0.0
17091,Kankakee,IL,True,858,24.7,0.0
28119,Quitman,MS,True,444,24.4,0.0
17107,Logan,IL,True,781,24.3,0.0
28051,Holmes,MS,True,354,19.0,0.0
35057,Torrance,NM,True,883,18.6,14.9
29147,Nodaway,MO,True,1172,17.8,17.8
24041,Talbot,MD,True,418,16.8,0.0
17113,McLean,IL,True,1150,16.5,16.5
21017,Bourbon,KY,True,877,15.5,0.0
05037,Cross,AR,True,650,15.1,0.0
48165,Gaines,TX,True,482,14.1,0.0
48229,Hudspeth,TX,True,294,13.4,0.0
48283,La Salle,TX,True,388,11.9,0.0
08073,Lincoln,CO,True,355,11.2,0.0
27027,Clay,MN,True,762,10.8,0.0
29101,Johnson,MO,True,943,10.7,0.0
29205,Shelby,MO,True,854,9.9,0.0
29091,Howell,MO,True,358,9.8,0.0
48491,Williamson,TX,True,408,9.6,0.0
29133,Mississippi,MO,True,643,9.0,0.0
31057,Dundy,NE,True,687,8.9,0.0
35013,Doña Ana,NM,True,390,8.9,0.0
48301,Loving,TX,True,85,8.7,0.0
53043,Lincoln,WA,True,489,8.5,0.0
20029,Cloud,KS,True,606,8.5,0.0
30105,Valley,MT,True,994,8.4,1.5
48093,Comanche,TX,True,459,8.4,0.0
30015,Chouteau,MT,True,969,8.3,0.4
46123,Tripp,SD,True,1071,8.3,1.3
28053,Humphreys,MS,True,471,8.2,0.0
38025,Dunn,ND,True,820,8.0,0.3
18053,Grant,IN,True,909,7.8,0.0
40145,Wagoner,OK,True,992,7.6,0.0
30075,Powder River,MT,True,659,7.6,0.0
48319,Mason,TX,True,324,7.3,0.0
27169,Winona,MN,True,776,7.1,0.0
30085,Roosevelt,MT,True,527,6.9,0.0
20099,Labette,KS,True,922,6.9,0.0
31019,Buffalo,NE,True,1012,6.8,0.6
20009,Barton,KS,True,792,6.5,0.0
17053,Ford,IL,True,1084,6.3,6.3
20085,Jackson,KS,True,785,6.3,0.0
20047,Edwards,KS,True,812,6.2,0.0
20095,Kingman,KS,True,784,6.2,0.0
17027,Clinton,IL,True,821,6.2,0.0
