fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
17031,Cook,IL,COMMERCIAL & INDUSTRIAL,466,13.5,0.0
18157,Tippecanoe,IN,COMMERCIAL & INDUSTRIAL,832,2.6,0.0
48359,Oldham,TX,COMMERCIAL & INDUSTRIAL,810,2.3,0.0
08073,Lincoln,CO,COMMERCIAL & INDUSTRIAL,357,1.6,0.0
49021,Iron,UT,COMMERCIAL & INDUSTRIAL,766,1.3,0.0
49027,Millard,UT,COMMERCIAL & INDUSTRIAL,434,1.3,0.0
35009,Curry,NM,COMMERCIAL & INDUSTRIAL,699,1.0,0.0
48355,Nueces,TX,COMMERCIAL & INDUSTRIAL,709,0.9,0.0
31105,Kimball,NE,COMMERCIAL & INDUSTRIAL,927,0.9,0.0
26099,Macomb,MI,COMMERCIAL & INDUSTRIAL,394,0.6,0.0
46073,Jerauld,SD,COMMERCIAL & INDUSTRIAL,582,0.5,0.0
49049,Utah,UT,COMMERCIAL & INDUSTRIAL,302,0.5,0.0
17117,Macoupin,IL,COMMERCIAL & INDUSTRIAL,893,0.5,0.0
48133,Eastland,TX,COMMERCIAL & INDUSTRIAL,728,0.5,0.0
48039,Brazoria,TX,COMMERCIAL & INDUSTRIAL,281,0.5,0.0
38093,Stutsman,ND,COMMERCIAL & INDUSTRIAL,763,0.3,0.0
37071,Gaston,NC,COMMERCIAL & INDUSTRIAL,419,0.3,0.0
04003,Cochise,AZ,COMMERCIAL & INDUSTRIAL,144,0.2,0.0
46099,Minnehaha,SD,COMMERCIAL & INDUSTRIAL,695,0.2,0.0
48113,Dallas,TX,COMMERCIAL & INDUSTRIAL,274,0.2,0.0
04013,Maricopa,AZ,COMMERCIAL & INDUSTRIAL,50,0.2,0.0
19035,Cherokee,IA,COMMERCIAL & INDUSTRIAL,646,0.1,0.0
