fips,county_name,state_abbr,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
40139,Texas,OK,4360,74.3,0.0
53043,Lincoln,WA,3267,65.0,0.0
35057,Torrance,NM,4411,62.0,0.1
35059,Union,NM,7826,36.6,36.6
26067,Ionia,MI,6991,33.1,33.1
08063,Kit Carson,CO,7507,31.5,31.5
30051,Liberty,MT,6249,30.6,30.6
27069,Kittson,MN,5345,30.0,0.0
48109,Culberson,TX,6800,29.2,29.2
35013,Doña Ana,NM,3688,25.6,0.0
38105,Williams,ND,4767,21.7,9.8
18157,Tippecanoe,IN,5302,21.2,0.9
40077,Latimer,OK,970,20.6,0.0
48421,Sherman,TX,4821,18.1,5.9
36045,Jefferson,NY,5341,18.0,5.2
48229,Hudspeth,TX,4304,15.3,14.5
01101,Montgomery,AL,2480,13.3,0.0
17031,Cook,IL,5315,12.9,1.2
48283,La Salle,TX,3976,12.8,0.0
46099,Minnehaha,SD,6021,12.5,12.5
48105,Crockett,TX,7346,12.4,12.4
46069,Hyde,SD,5697,12.1,12.1
38041,Hettinger,ND,5162,10.5,5.3
06047,Merced,CA,13095,10.4,5.7
38029,Emmons,ND,4524,10.1,2.6
48011,Armstrong,TX,6818,9.8,9.8
36065,Oneida,NY,3353,9.5,0.1
38049,McHenry,ND,3963,9.4,0.0
49003,Box Elder,UT,5343,9.4,9.4
04015,Mohave,AZ,6674,8.8,8.3
27045,Fillmore,MN,7823,8.5,8.5
45029,Colleton,SC,3153,8.4,0.0
13033,Burke,GA,3570,8.1,0.0
27091,Martin,MN,8102,8.0,8.0
37061,Duplin,NC,3974,8.0,0.0
48027,Bell,TX,5375,8.0,1.0
48133,Eastland,TX,7247,7.6,7.1
48479,Webb,TX,5659,7.6,7.6
48371,Pecos,TX,6470,7.4,7.4
36091,Saratoga,NY,3491,7.3,0.0
08023,Costilla,CO,4727,7.3,7.1
08005,Arapahoe,CO,3895,7.3,7.1
06071,San Bernardino,CA,11326,7.2,0.4
55075,Marinette,WI,3821,7.1,0.0
21047,Christian,KY,4164,7.1,0.0
08021,Conejos,CO,2950,6.9,0.0
06025,Imperial,CA,12006,6.9,6.9
48491,Williamson,TX,7708,6.8,6.7
06029,Kern,CA,17966,6.7,0.4
36075,Oswego,NY,4174,6.5,3.2
29163,Pike,MO,4285,6.5,0.0
21209,Scott,KY,5814,6.4,6.3
26141,Presque Isle,MI,6736,6.3,6.3
18177,Wayne,IN,5591,6.1,5.8
31177,Washington,NE,5437,6.0,6.0
42091,Montgomery,PA,4043,6.0,0.0
18077,Jefferson,IN,11335,6.0,5.8
48489,Willacy,TX,6563,6.0,5.8
48117,Deaf Smith,TX,4772,6.0,6.0
38009,Bottineau,ND,4728,5.7,0.5
04017,Navajo,AZ,7091,5.6,0.2
55069,Lincoln,WI,4383,5.5,4.8
41037,Lake,OR,3630,5.4,0.0
48251,Johnson,TX,6768,5.4,5.4
06085,Santa Clara,CA,6807,5.4,0.2
17105,Livingston,IL,5664,5.3,5.2
21151,Madison,KY,4407,5.2,4.5
55025,Dane,WI,6642,5.1,1.7
54003,Berkeley,WV,2451,5.1,0.0
48225,Houston,TX,3122,5.0,0.0
30105,Valley,MT,7651,4.8,4.8
38097,Traill,ND,5966,4.8,2.8
30041,Hill,MT,7182,4.8,4.8
48097,Cooke,TX,6333,4.8,4.8
01061,Geneva,AL,4108,4.7,0.0
17201,Winnebago,IL,5395,4.7,4.7
17173,Shelby,IL,4910,4.6,4.3
29183,St. Charles,MO,3945,4.6,0.0
12063,Jackson,FL,2542,4.5,0.0
01047,Dallas,AL,2786,4.4,0.0
55039,Fond du Lac,WI,6665,4.3,1.6
36013,Chautauqua,NY,5027,4.2,2.4
30035,Glacier,MT,7120,4.2,4.2
21185,Oldham,KY,3665,4.2,0.0
49021,Iron,UT,4683,4.1,1.5
30071,Phillips,MT,6836,4.1,4.1
48453,Travis,TX,5240,4.0,2.9
18149,Starke,IN,5088,3.9,3.8
27021,Cass,MN,6543,3.8,3.8
16073,Owyhee,ID,3858,3.8,0.0
12099,Palm Beach,FL,5192,3.7,1.3
36081,Queens,NY,4009,3.7,0.1
20099,Labette,KS,6213,3.7,1.8
