"turbine_size_kw","2014","2016","2018","2020","2022","2024","2026","2028","2030","2032","2034","2036","2038","2040","2042","2044","2046","2048","2050"
2.5,0,0.021137174,0.043167041,0.0636723,0.083787756,0.105541225,0.146856435,0.17980049,0.204510717,0.220886859,0.23136759,0.238075257,0.242368165,0.245115625,0.246874,0.24799936,0.248719591,0.249180538,0.25
5,0,0.021137174,0.043167041,0.0636723,0.083787756,0.105541225,0.146856435,0.17980049,0.204510717,0.220886859,0.23136759,0.238075257,0.242368165,0.245115625,0.246874,0.24799936,0.248719591,0.249180538,0.25
10,0,0.021137174,0.043167041,0.0636723,0.083787756,0.105541225,0.146856435,0.17980049,0.204510717,0.220886859,0.23136759,0.238075257,0.242368165,0.245115625,0.246874,0.24799936,0.248719591,0.249180538,0.25
20,0,0.021137174,0.043167041,0.0636723,0.083787756,0.105541225,0.146856435,0.17980049,0.204510717,0.220886859,0.23136759,0.238075257,0.242368165,0.245115625,0.246874,0.24799936,0.248719591,0.249180538,0.25
50,0,0.02829227,0.057779415,0.085225862,0.116657183,0.150232904,0.178766294,0.201518339,0.218583884,0.229893686,0.237131959,0.241764454,0.24472925,0.24662672,0.247841101,0.248618305,0.249115715,0.249434058,0.25
100,0,0.02829227,0.057779415,0.085225862,0.116657183,0.150232904,0.178766294,0.201518339,0.218583884,0.229893686,0.237131959,0.241764454,0.24472925,0.24662672,0.247841101,0.248618305,0.249115715,0.249434058,0.25
250,0,0.026294666,0.053699842,0.079208405,0.106708234,0.142789101,0.173451418,0.197901035,0.216239871,0.228393517,0.236171851,0.241149985,0.24433599,0.246375034,0.247680022,0.248515214,0.249049737,0.249391832,0.25
500,0,0.026294666,0.053699842,0.079208405,0.106708234,0.142789101,0.173451418,0.197901035,0.216239871,0.228393517,0.236171851,0.241149985,0.24433599,0.246375034,0.247680022,0.248515214,0.249049737,0.249391832,0.25
750,0,0.026294666,0.053699842,0.079208405,0.106708234,0.142789101,0.173451418,0.197901035,0.216239871,0.228393517,0.236171851,0.241149985,0.24433599,0.246375034,0.247680022,0.248515214,0.249049737,0.249391832,0.25
1000,0,0.026294666,0.053699842,0.079208405,0.106708234,0.142789101,0.173451418,0.197901035,0.216239871,0.228393517,0.236171851,0.241149985,0.24433599,0.246375034,0.247680022,0.248515214,0.249049737,0.249391832,0.25
1500,0,0.026294666,0.053699842,0.079208405,0.106708234,0.142789101,0.173451418,0.197901035,0.216239871,0.228393517,0.236171851,0.241149985,0.24433599,0.246375034,0.247680022,0.248515214,0.249049737,0.249391832,0.25
