fips,county_name,state_abbr,underserved,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
08123,Weld,CO,True,646,171.0,0.0
06047,Merced,CA,True,72,79.3,0.0
28083,Leflore,MS,True,282,61.0,0.0
40015,Caddo,OK,True,1008,26.5,26.5
40047,Garfield,OK,True,969,26.5,0.0
17091,Kankakee,IL,True,671,24.7,0.0
28119,Quitman,MS,True,362,24.4,0.0
17107,Logan,IL,True,607,24.3,0.0
28051,Holmes,MS,True,276,19.0,0.0
35057,Torrance,NM,True,865,18.6,14.9
29147,Nodaway,MO,True,1035,17.8,2.4
24041,Talbot,MD,True,336,16.8,0.0
17113,McLean,IL,True,985,16.5,10.0
21017,Bourbon,KY,True,735,15.5,0.0
05037,Cross,AR,True,560,15.1,0.0
48165,Gaines,TX,True,485,14.1,0.0
48229,Hudspeth,TX,True,223,13.4,0.0
48283,La Salle,TX,True,378,11.9,0.0
08073,Lincoln,CO,True,313,11.2,0.0
27027,Clay,MN,True,674,10.8,0.0
29101,Johnson,MO,True,867,10.7,0.0
29205,Shelby,MO,True,724,9.9,0.0
29091,Howell,MO,True,271,9.8,0.0
48491,Williamson,TX,True,390,9.6,0.0
29133,Mississippi,MO,True,515,9.0,0.0
31057,Dundy,NE,True,563,8.9,0.0
53043,Lincoln,WA,True,485,8.5,0.0
20029,Cloud,KS,True,565,8.5,0.0
35013,Doña Ana,NM,True,451,8.4,0.0
30105,Valley,MT,True,1000,8.4,1.5
48093,Comanche,TX,True,460,8.4,0.0
30015,Chouteau,MT,True,1001,8.3,0.9
46123,Tripp,SD,True,954,8.3,1.3
28053,Humphreys,MS,True,387,8.2,0.0
38025,Dunn,ND,True,837,8.0,0.0
18053,Grant,IN,True,747,7.8,0.0
40145,Wagoner,OK,True,898,7.6,0.0
30075,Powder River,MT,True,628,7.6,0.0
48319,Mason,TX,True,326,7.3,0.0
27169,Winona,MN,True,712,7.1,0.0
30085,Roosevelt,MT,True,523,6.9,0.0
20099,Labette,KS,True,834,6.9,0.0
31019,Buffalo,NE,True,882,6.8,0.0
20009,Barton,KS,True,725,6.5,0.0
17053,Ford,IL,True,859,6.3,0.0
20085,Jackson,KS,True,708,6.3,0.0
20047,Edwards,KS,True,795,6.2,0.0
20095,Kingman,KS,True,716,6.2,0.0
17027,Clinton,IL,True,658,6.2,0.0
32003,Clark,NV,True,689,6.1,0.0
48475,Ward,TX,True,166,6.1,0.0
30107,Wheatland,MT,True,552,5.7,0.0
48115,Dawson,TX,True,437,5.7,0.0
46067,Hutchinson,SD,True,936,5.6,0.0
48263,Kent,TX,True,436,5.5,0.0
20165,Rush,KS,True,700,5.5,0.0
