fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
36045,Jefferson,NY,RESIDENTIAL,382,28.8,0.0
22075,Plaquemines,LA,RESIDENTIAL,91,20.1,0.0
08073,Lincoln,CO,RESIDENTIAL,313,11.2,0.0
06071,San Bernardino,CA,RESIDENTIAL,652,9.5,0.0
48461,Upton,TX,RESIDENTIAL,464,5.7,0.0
48115,Dawson,TX,RESIDENTIAL,437,5.7,0.0
38007,Billings,ND,RESIDENTIAL,960,4.9,0.0
48475,Ward,TX,RESIDENTIAL,187,4.6,0.0
05109,Pike,AR,RESIDENTIAL,124,2.3,0.0
05041,Desha,AR,RESIDENTIAL,398,2.0,0.0
26039,Crawford,MI,RESIDENTIAL,753,1.9,0.0
05017,Chicot,AR,RESIDENTIAL,398,1.8,0.0
32031,Washoe,NV,RESIDENTIAL,351,1.6,0.0
05001,Arkansas,AR,RESIDENTIAL,448,1.5,0.0
38025,Dunn,ND,RESIDENTIAL,895,1.5,0.0
29015,Benton,MO,RESIDENTIAL,573,1.2,0.0
05011,Bradley,AR,RESIDENTIAL,239,1.1,0.0
24045,Wicomico,MD,RESIDENTIAL,345,0.7,0.0
29085,Hickory,MO,RESIDENTIAL,419,0.6,0.0
48057,Calhoun,TX,RESIDENTIAL,117,0.3,0.0
29155,Pemiscot,MO,RESIDENTIAL,635,0.3,0.0
04013,Maricopa,AZ,RESIDENTIAL,217,0.3,0.0
04025,Yavapai,AZ,RESIDENTIAL,71,0.3,0.0
