fips,county_name,state_abbr,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
32011,Eureka,NV,135,254.8,0.0
08123,Weld,CO,476,182.2,0.0
08075,Logan,CO,278,162.7,0.0
06047,Merced,CA,164,79.8,0.0
34005,Burlington,NJ,258,67.1,0.0
28083,Leflore,MS,382,61.5,0.0
48011,Armstrong,TX,646,56.8,0.0
40047,Garfield,OK,871,53.6,0.0
21151,Madison,KY,647,52.6,0.0
53043,Lincoln,WA,433,52.0,0.0
08063,Kit Carson,CO,751,49.0,0.0
17075,Iroquois,IL,706,46.4,0.0
49021,Iron,UT,728,39.4,0.0
34033,Salem,NJ,370,39.3,0.0
17053,Ford,IL,812,37.4,0.0
42117,Tioga,PA,1049,36.5,0.6
17073,Henry,IL,770,35.2,0.1
28055,Issaquena,MS,171,33.7,0.0
36045,Jefferson,NY,341,33.3,0.0
42005,Armstrong,PA,376,33.2,0.0
20021,Cherokee,KS,805,29.5,0.0
21017,Bourbon,KY,905,29.2,0.0
29205,Shelby,MO,729,28.8,0.0
40009,Beckham,OK,597,28.1,0.0
17091,Kankakee,IL,834,27.8,0.0
26065,Ingham,MI,722,27.6,0.0
40015,Caddo,OK,870,27.6,0.0
17105,Livingston,IL,927,26.9,0.0
28133,Sunflower,MS,451,26.6,0.0
31031,Cherry,NE,1008,26.5,4.7
28029,Copiah,MS,105,25.7,0.0
17135,Montgomery,IL,805,25.3,0.0
51111,Lunenburg,VA,95,24.9,0.0
06071,San Bernardino,CA,590,24.5,0.0
17021,Christian,IL,627,24.5,0.0
28119,Quitman,MS,343,24.4,0.0
17107,Logan,IL,680,24.3,0.0
39147,Seneca,OH,811,23.8,0.0
29041,Chariton,MO,738,23.2,0.0
16051,Jefferson,ID,386,22.5,0.0
42019,Butler,PA,469,21.9,0.0
46063,Harding,SD,673,20.9,0.0
17115,Macon,IL,672,20.5,0.0
01083,Limestone,AL,136,20.2,0.0
22075,Plaquemines,LA,126,20.1,0.0
28051,Holmes,MS,253,19.0,0.0
31101,Keith,NE,566,18.9,0.0
20157,Republic,KS,718,18.7,0.0
45089,Williamsburg,SC,407,18.6,0.0
32003,Clark,NV,588,18.4,0.0
42055,Franklin,PA,211,18.4,0.0
29147,Nodaway,MO,946,17.8,0.0
18177,Wayne,IN,767,17.7,0.0
13071,Colquitt,GA,208,17.2,0.0
17027,Clinton,IL,619,17.2,0.0
36017,Chenango,NY,384,17.1,0.0
24041,Talbot,MD,317,16.8,0.0
17093,Kendall,IL,742,16.7,0.0
46029,Codington,SD,990,16.7,5.3
17113,McLean,IL,892,16.5,0.0
05037,Cross,AR,583,16.1,0.0
39031,Coshocton,OH,315,15.8,0.0
17079,Jasper,IL,672,15.7,0.0
27071,Koochiching,MN,720,15.5,0.0
48165,Gaines,TX,431,15.1,0.0
35057,Torrance,NM,978,14.9,0.0
42063,Indiana,PA,314,14.6,0.0
48255,Karnes,TX,327,14.5,0.0
38025,Dunn,ND,560,14.4,0.0
28153,Wayne,MS,118,14.1,0.0
17031,Cook,IL,655,13.7,0.0
39091,Logan,OH,1140,13.6,13.6
17173,Shelby,IL,801,13.6,0.0
48229,Hudspeth,TX,193,13.4,0.0
06049,Modoc,CA,309,13.2,0.0
48055,Caldwell,TX,90,13.1,0.0
29145,Newton,MO,1011,13.1,0.5
12086,Miami-Dade,FL,263,13.0,0.0
48491,Williamson,TX,597,13.0,0.0
08073,Lincoln,CO,256,12.8,0.0
27137,St. Louis,MN,769,12.8,0.5
24013,Carroll,MD,375,12.8,0.0
55085,Oneida,WI,593,12.7,0.0
36013,Chautauqua,NY,457,12.6,0.0
48283,La Salle,TX,277,12.5,0.0
31001,Adams,NE,872,12.5,0.0
30011,Carter,MT,788,12.4,0.0
36037,Genesee,NY,322,12.4,0.0
31125,Nance,NE,882,12.1,0.0
12079,Madison,FL,28,11.7,0.0
36093,Schenectady,NY,307,11.4,0.0
48475,Ward,TX,127,11.4,0.0
27165,Watonwan,MN,717,11.2,0.0
20087,Jefferson,KS,1036,11.1,5.1
27027,Clay,MN,661,10.8,0.0
