fips,county_name,state_abbr,underserved,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
08123,Weld,CO,True,507,174.8,0.0
06047,Merced,CA,True,102,79.3,0.0
28083,Leflore,MS,True,382,61.5,0.0
34005,Burlington,NJ,True,227,30.7,0.0
21017,Bourbon,KY,True,905,29.2,0.0
26065,Ingham,MI,True,655,27.1,0.0
40015,Caddo,OK,True,890,26.5,0.0
40047,Garfield,OK,True,816,26.5,0.0
17091,Kankakee,IL,True,803,24.8,0.0
28119,Quitman,MS,True,343,24.4,0.0
17107,Logan,IL,True,680,24.3,0.0
28051,Holmes,MS,True,253,19.0,0.0
42055,Franklin,PA,True,211,18.4,0.0
29147,Nodaway,MO,True,946,17.8,0.0
24041,Talbot,MD,True,317,16.8,0.0
17113,McLean,IL,True,892,16.5,0.0
05037,Cross,AR,True,549,15.1,0.0
35057,Torrance,NM,True,978,14.9,0.0
38025,Dunn,ND,True,581,14.3,0.0
48165,Gaines,TX,True,381,14.1,0.0
48229,Hudspeth,TX,True,193,13.4,0.0
48283,La Salle,TX,True,287,11.9,0.0
12079,Madison,FL,True,28,11.7,0.0
48491,Williamson,TX,True,604,11.5,0.0
17027,Clinton,IL,True,622,11.3,0.0
08073,Lincoln,CO,True,254,11.2,0.0
27027,Clay,MN,True,661,10.8,0.0
29101,Johnson,MO,True,842,10.7,0.0
29205,Shelby,MO,True,753,9.9,0.0
29091,Howell,MO,True,258,9.8,0.0
29133,Mississippi,MO,True,543,9.0,0.0
31057,Dundy,NE,True,586,8.9,0.0
20099,Labette,KS,True,850,8.5,0.0
53043,Lincoln,WA,True,388,8.5,0.0
20029,Cloud,KS,True,457,8.5,0.0
35013,Doña Ana,NM,True,368,8.4,0.0
30015,Chouteau,MT,True,837,8.4,0.0
30105,Valley,MT,True,893,8.4,0.0
48093,Comanche,TX,True,359,8.4,0.0
24045,Wicomico,MD,True,453,8.3,0.0
46123,Tripp,SD,True,840,8.3,0.0
28053,Humphreys,MS,True,370,8.2,0.0
55043,Grant,WI,True,298,8.1,0.0
18053,Grant,IN,True,808,7.8,0.0
40145,Wagoner,OK,True,718,7.6,0.0
30075,Powder River,MT,True,558,7.6,0.0
27169,Winona,MN,True,684,7.4,0.0
48319,Mason,TX,True,223,7.3,0.0
45051,Horry,SC,True,330,7.3,0.0
36109,Tompkins,NY,True,209,7.0,0.0
20085,Jackson,KS,True,1029,6.9,0.7
30085,Roosevelt,MT,True,426,6.9,0.0
31019,Buffalo,NE,True,912,6.8,0.0
17051,Fayette,IL,True,674,6.7,0.0
24019,Dorchester,MD,True,418,6.7,0.0
20095,Kingman,KS,True,883,6.6,0.0
20009,Barton,KS,True,691,6.5,0.0
17053,Ford,IL,True,810,6.3,0.0
20047,Edwards,KS,True,711,6.2,0.0
32003,Clark,NV,True,616,6.1,0.0
48475,Ward,TX,True,99,6.1,0.0
48331,Milam,TX,True,502,6.0,0.0
30107,Wheatland,MT,True,612,5.9,0.0
48115,Dawson,TX,True,346,5.7,0.0
55097,Portage,WI,True,679,5.6,0.0
46067,Hutchinson,SD,True,776,5.6,0.0
48263,Kent,TX,True,350,5.5,0.0
36011,Cayuga,NY,True,269,5.5,0.0
20165,Rush,KS,True,667,5.5,0.0
48471,Walker,TX,True,58,5.4,0.0
19051,Davis,IA,True,792,5.3,0.0
06021,Glenn,CA,True,300,5.3,0.0
46011,Brookings,SD,True,610,5.3,0.0
53025,Grant,WA,True,158,5.3,0.0
48247,Jim Hogg,TX,True,515,5.2,0.0
46005,Beadle,SD,True,572,5.2,0.0
13115,Floyd,GA,True,10,5.0,0.0
06049,Modoc,CA,True,11,5.0,0.0
27021,Cass,MN,True,574,4.9,0.0
48161,Freestone,TX,True,431,4.8,0.0
48099,Coryell,TX,True,536,4.8,0.0
36069,Ontario,NY,True,411,4.8,0.0
37165,Scotland,NC,True,383,4.6,0.0
48127,Dimmit,TX,True,229,4.5,0.0
40125,Pottawatomie,OK,True,768,4.5,0.0
08125,Yuma,CO,True,669,4.3,0.0
48401,Rusk,TX,True,210,4.3,0.0
48421,Sherman,TX,True,690,4.3,0.0
27129,Renville,MN,True,669,4.2,0.0
37051,Cumberland,NC,True,274,4.2,0.0
27137,St. Louis,MN,True,634,4.1,0.0
48133,Eastland,TX,True,812,4.1,0.0
