fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
40139,Texas,OK,AGRICULTURAL,8372,74.3,74.3
53043,Lincoln,WA,AGRICULTURAL,6441,65.0,65.0
35057,Torrance,NM,AGRICULTURAL,2817,61.8,0.0
26067,Ionia,MI,AGRICULTURAL,10727,32.3,32.3
08063,Kit Carson,CO,AGRICULTURAL,15417,31.5,31.5
30051,Liberty,MT,AGRICULTURAL,13071,30.6,30.6
27069,Kittson,MN,AGRICULTURAL,8391,30.0,30.0
48109,Culberson,TX,AGRICULTURAL,14222,29.2,29.2
38105,Williams,ND,AGRICULTURAL,10068,21.7,21.7
40077,Latimer,OK,AGRICULTURAL,2029,20.6,0.0
48229,Hudspeth,TX,AGRICULTURAL,10067,14.5,14.5
01101,Montgomery,AL,AGRICULTURAL,5188,13.3,13.3
48283,La Salle,TX,AGRICULTURAL,8315,12.8,12.8
48105,Crockett,TX,AGRICULTURAL,15366,12.4,12.4
48421,Sherman,TX,AGRICULTURAL,6440,12.2,12.2
46069,Hyde,SD,AGRICULTURAL,10326,12.1,12.1
46099,Minnehaha,SD,AGRICULTURAL,10854,11.7,11.7
38041,Hettinger,ND,AGRICULTURAL,9573,10.5,10.5
06047,Merced,CA,AGRICULTURAL,15869,10.4,10.4
38029,Emmons,ND,AGRICULTURAL,9463,10.1,10.1
38049,McHenry,ND,AGRICULTURAL,8288,9.4,9.4
48011,Armstrong,TX,AGRICULTURAL,14464,9.2,9.2
45029,Colleton,SC,AGRICULTURAL,4392,8.1,2.6
36045,Jefferson,NY,AGRICULTURAL,6877,8.1,8.1
37061,Duplin,NC,AGRICULTURAL,6163,7.7,7.7
13033,Burke,GA,AGRICULTURAL,4290,7.7,0.0
27045,Fillmore,MN,AGRICULTURAL,13303,7.7,7.7
27091,Martin,MN,AGRICULTURAL,13939,7.6,7.6
48479,Webb,TX,AGRICULTURAL,14342,7.6,7.6
08023,Costilla,CO,AGRICULTURAL,9455,7.1,7.1
48133,Eastland,TX,AGRICULTURAL,15590,7.1,7.1
08021,Conejos,CO,AGRICULTURAL,5765,6.9,6.9
48027,Bell,TX,AGRICULTURAL,6796,6.8,6.3
48491,Williamson,TX,AGRICULTURAL,17709,6.8,6.8
06025,Imperial,CA,AGRICULTURAL,13653,6.7,6.7
55075,Marinette,WI,AGRICULTURAL,8228,6.4,6.4
21209,Scott,KY,AGRICULTURAL,12227,6.3,6.3
06071,San Bernardino,CA,AGRICULTURAL,9068,6.3,6.3
06029,Kern,CA,AGRICULTURAL,2417,6.3,0.0
29163,Pike,MO,AGRICULTURAL,8348,6.2,6.2
31177,Washington,NE,AGRICULTURAL,9213,6.0,6.0
48489,Willacy,TX,AGRICULTURAL,13727,6.0,5.8
48117,Deaf Smith,TX,AGRICULTURAL,10604,6.0,6.0
18177,Wayne,IN,AGRICULTURAL,8091,5.9,5.9
04017,Navajo,AZ,AGRICULTURAL,5576,5.4,0.0
36065,Oneida,NY,AGRICULTURAL,5284,5.2,2.0
17105,Livingston,IL,AGRICULTURAL,12535,5.2,5.2
48251,Johnson,TX,AGRICULTURAL,14890,5.2,5.2
38009,Bottineau,ND,AGRICULTURAL,8503,5.2,5.2
54003,Berkeley,WV,AGRICULTURAL,3657,5.0,0.0
48225,Houston,TX,AGRICULTURAL,6396,5.0,5.0
41037,Lake,OR,AGRICULTURAL,2672,5.0,0.0
30105,Valley,MT,AGRICULTURAL,13500,4.8,4.8
55069,Lincoln,WI,AGRICULTURAL,10871,4.8,4.8
38097,Traill,ND,AGRICULTURAL,11187,4.8,4.8
30041,Hill,MT,AGRICULTURAL,12316,4.8,4.8
48097,Cooke,TX,AGRICULTURAL,13690,4.8,4.8
55025,Dane,WI,AGRICULTURAL,11832,4.6,4.6
17173,Shelby,IL,AGRICULTURAL,10367,4.6,4.6
01061,Geneva,AL,AGRICULTURAL,6848,4.5,4.5
21151,Madison,KY,AGRICULTURAL,7493,4.5,4.5
55039,Fond du Lac,WI,AGRICULTURAL,16686,4.2,4.2
12063,Jackson,FL,AGRICULTURAL,3520,4.2,0.0
30035,Glacier,MT,AGRICULTURAL,14340,4.2,4.2
30071,Phillips,MT,AGRICULTURAL,11722,4.1,4.1
29183,St. Charles,MO,AGRICULTURAL,5248,4.0,4.0
18149,Starke,IN,AGRICULTURAL,11307,3.6,3.6
18053,Grant,IN,AGRICULTURAL,9763,3.5,3.5
01047,Dallas,AL,AGRICULTURAL,6364,3.5,3.5
48209,Hays,TX,AGRICULTURAL,16359,3.5,3.5
20021,Cherokee,KS,AGRICULTURAL,10286,3.5,3.5
17001,Adams,IL,AGRICULTURAL,12939,3.4,3.4
12113,Santa Rosa,FL,AGRICULTURAL,10081,3.4,3.4
49021,Iron,UT,AGRICULTURAL,8610,3.4,3.4
16069,Nez Perce,ID,AGRICULTURAL,9343,3.4,3.4
29081,Harrison,MO,AGRICULTURAL,7871,3.3,3.3
16073,Owyhee,ID,AGRICULTURAL,7459,3.3,3.3
38099,Walsh,ND,AGRICULTURAL,12971,3.3,3.3
48295,Lipscomb,TX,AGRICULTURAL,7089,3.3,3.3
32011,Eureka,NV,AGRICULTURAL,3735,3.3,0.0
46063,Harding,SD,AGRICULTURAL,9170,3.2,3.2
48309,McLennan,TX,AGRICULTURAL,17476,3.2,3.2
48305,Lynn,TX,AGRICULTURAL,13260,3.2,3.2
36017,Chenango,NY,AGRICULTURAL,8937,3.1,3.1
48101,Cottle,TX,AGRICULTURAL,11405,3.1,3.1
36013,Chautauqua,NY,AGRICULTURAL,8276,3.0,2.3
21101,Henderson,KY,AGRICULTURAL,10761,3.0,3.0
55023,Crawford,WI,AGRICULTURAL,5777,3.0,2.8
46037,Day,SD,AGRICULTURAL,9946,3.0,3.0
48497,Wise,TX,AGRICULTURAL,16457,2.9,2.9
13141,Hancock,GA,AGRICULTURAL,3759,2.9,0.0
54077,Preston,WV,AGRICULTURAL,3547,2.9,0.0
48419,Shelby,TX,AGRICULTURAL,4322,2.8,0.0
08123,Weld,CO,AGRICULTURAL,6719,2.8,2.8
38023,Divide,ND,AGRICULTURAL,8343,2.7,2.7
30091,Sheridan,MT,AGRICULTURAL,8290,2.7,2.7
08075,Logan,CO,AGRICULTURAL,5332,2.7,2.7
36089,St. Lawrence,NY,AGRICULTURAL,7383,2.6,0.1
30015,Chouteau,MT,AGRICULTURAL,12778,2.6,2.6
06111,Ventura,CA,AGRICULTURAL,7701,2.6,2.6
48493,Wilson,TX,AGRICULTURAL,11167,2.6,2.6
46029,Codington,SD,AGRICULTURAL,11975,2.6,2.6
42039,Crawford,PA,AGRICULTURAL,1824,2.6,0.0
48253,Jones,TX,AGRICULTURAL,11967,2.5,2.5
21017,Bourbon,KY,AGRICULTURAL,7943,2.5,2.5
36075,Oswego,NY,AGRICULTURAL,7158,2.5,0.4
16027,Canyon,ID,AGRICULTURAL,8348,2.5,2.5
31101,Keith,NE,AGRICULTURAL,8735,2.5,2.5
48149,Fayette,TX,AGRICULTURAL,10047,2.4,2.4
29205,Shelby,MO,AGRICULTURAL,7050,2.4,2.4
18055,Greene,IN,AGRICULTURAL,10346,2.3,2.3
38083,Sheridan,ND,AGRICULTURAL,9046,2.3,2.3
30057,Madison,MT,AGRICULTURAL,9419,2.3,2.3
36043,Herkimer,NY,AGRICULTURAL,7614,2.2,2.2
20157,Republic,KS,AGRICULTURAL,10256,2.2,2.2
48331,Milam,TX,AGRICULTURAL,9148,2.2,2.2
31031,Cherry,NE,AGRICULTURAL,10854,2.2,2.2
30005,Blaine,MT,AGRICULTURAL,13804,2.2,2.2
48499,Wood,TX,AGRICULTURAL,7975,2.2,1.0
36037,Genesee,NY,AGRICULTURAL,6580,2.2,2.2
37125,Moore,NC,AGRICULTURAL,5857,2.1,1.5
54069,Ohio,WV,AGRICULTURAL,5653,2.1,2.1
28011,Bolivar,MS,AGRICULTURAL,11689,2.1,2.1
06049,Modoc,CA,AGRICULTURAL,23600,2.1,2.1
28147,Walthall,MS,AGRICULTURAL,7533,2.1,2.1
17053,Ford,IL,AGRICULTURAL,8835,2.1,2.1
29135,Moniteau,MO,AGRICULTURAL,7713,2.1,2.1
37151,Randolph,NC,AGRICULTURAL,5571,2.1,2.1
21097,Harrison,KY,AGRICULTURAL,10818,2.1,2.1
48293,Limestone,TX,AGRICULTURAL,8825,2.0,2.0
45055,Kershaw,SC,AGRICULTURAL,5808,2.0,2.0
48029,Bexar,TX,AGRICULTURAL,8508,2.0,0.9
06019,Fresno,CA,AGRICULTURAL,12900,2.0,2.0
30085,Roosevelt,MT,AGRICULTURAL,10673,2.0,2.0
55135,Waupaca,WI,AGRICULTURAL,8235,2.0,2.0
18183,Whitley,IN,AGRICULTURAL,9744,2.0,2.0
17011,Bureau,IL,AGRICULTURAL,10701,1.9,1.9
30099,Teton,MT,AGRICULTURAL,9624,1.9,1.9
12121,Suwannee,FL,AGRICULTURAL,3091,1.9,0.0
29041,Chariton,MO,AGRICULTURAL,5641,1.9,1.9
20141,Osborne,KS,AGRICULTURAL,9796,1.9,1.9
08105,Rio Grande,CO,AGRICULTURAL,7248,1.9,1.9
20099,Labette,KS,AGRICULTURAL,11052,1.8,1.8
18005,Bartholomew,IN,AGRICULTURAL,7533,1.8,1.8
48277,Lamar,TX,AGRICULTURAL,5243,1.8,1.4
28083,Leflore,MS,AGRICULTURAL,4139,1.8,0.0
36093,Schenectady,NY,AGRICULTURAL,7857,1.8,1.8
48071,Chambers,TX,AGRICULTURAL,9705,1.8,1.8
06021,Glenn,CA,AGRICULTURAL,16939,1.7,1.7
48401,Rusk,TX,AGRICULTURAL,6032,1.7,1.6
08087,Morgan,CO,AGRICULTURAL,8214,1.7,1.7
18049,Fulton,IN,AGRICULTURAL,8130,1.7,1.7
48327,Menard,TX,AGRICULTURAL,19127,1.6,1.6
31001,Adams,NE,AGRICULTURAL,10577,1.6,1.6
20185,Stafford,KS,AGRICULTURAL,12353,1.6,1.6
31125,Nance,NE,AGRICULTURAL,10609,1.6,1.6
48367,Parker,TX,AGRICULTURAL,12254,1.6,1.6
05037,Cross,AR,AGRICULTURAL,6675,1.6,1.6
28009,Benton,MS,AGRICULTURAL,6405,1.5,1.5
39045,Fairfield,OH,AGRICULTURAL,7093,1.5,1.5
36055,Monroe,NY,AGRICULTURAL,4560,1.5,1.5
29147,Nodaway,MO,AGRICULTURAL,7923,1.5,1.5
21045,Casey,KY,AGRICULTURAL,9327,1.5,1.5
