fips,county_name,state_abbr,underserved,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
53043,Lincoln,WA,True,6665,64.2,64.2
35057,Torrance,NM,True,6808,61.9,0.1
35059,Union,NM,True,16437,31.3,31.3
30051,Liberty,MT,True,13071,30.6,30.6
26067,Ionia,MI,True,11282,30.3,30.3
40077,Latimer,OK,True,2029,20.6,0.0
48421,Sherman,TX,True,8500,18.1,18.1
48229,Hudspeth,TX,True,10067,14.5,14.5
01101,Montgomery,AL,True,5188,13.3,13.3
48283,La Salle,TX,True,8315,12.8,12.8
35013,Doña Ana,NM,True,6666,12.6,12.3
46069,Hyde,SD,True,10326,12.1,12.1
38105,Williams,ND,True,9970,9.6,9.6
06047,Merced,CA,True,17408,8.9,8.9
04015,Mohave,AZ,True,8640,8.4,8.4
13033,Burke,GA,True,5073,8.1,0.4
37061,Duplin,NC,True,6609,7.9,7.9
21047,Christian,KY,True,7141,7.1,7.1
06071,San Bernardino,CA,True,21812,7.0,6.8
08021,Conejos,CO,True,5765,6.9,6.9
06025,Imperial,CA,True,18748,6.9,6.9
31177,Washington,NE,True,9213,6.0,6.0
48117,Deaf Smith,TX,True,10604,6.0,6.0
18077,Jefferson,IN,True,23708,5.8,5.8
41037,Lake,OR,True,6258,5.4,0.4
06085,Santa Clara,CA,True,15274,5.4,0.3
54003,Berkeley,WV,True,3657,5.0,0.0
30105,Valley,MT,True,13500,4.8,4.8
17201,Winnebago,IL,True,17545,4.6,4.6
01047,Dallas,AL,True,5612,4.4,4.4
55025,Dane,WI,True,14392,4.2,4.2
36065,Oneida,NY,True,6282,4.1,0.9
16073,Owyhee,ID,True,7536,3.8,3.5
48453,Travis,TX,True,7778,3.8,3.8
48209,Hays,TX,True,14901,3.5,3.5
20099,Labette,KS,True,11047,3.5,3.5
36075,Oswego,NY,True,7667,3.3,3.3
38023,Divide,ND,True,8525,3.3,3.3
48305,Lynn,TX,True,13260,3.2,3.2
21209,Scott,KY,True,12227,3.1,3.1
18053,Grant,IN,True,8766,3.0,3.0
46037,Day,SD,True,9946,3.0,3.0
48027,Bell,TX,True,9858,2.9,2.4
05107,Phillips,AR,True,6093,2.9,2.9
13141,Hancock,GA,True,3759,2.9,0.0
54077,Preston,WV,True,3547,2.9,0.0
48419,Shelby,TX,True,4322,2.8,0.0
08123,Weld,CO,True,6170,2.8,2.8
48491,Williamson,TX,True,15963,2.7,2.7
06111,Ventura,CA,True,10374,2.7,2.7
38009,Bottineau,ND,True,7598,2.7,2.7
36073,Orleans,NY,True,11130,2.6,2.6
30015,Chouteau,MT,True,12778,2.6,2.6
49021,Iron,UT,True,6862,2.6,2.6
36005,Bronx,NY,True,6368,2.6,2.6
38041,Hettinger,ND,True,7455,2.6,2.6
45029,Colleton,SC,True,4392,2.6,2.6
21017,Bourbon,KY,True,7943,2.5,2.5
30005,Blaine,MT,True,13287,2.4,2.4
06073,San Diego,CA,True,8700,2.4,2.0
38083,Sheridan,ND,True,9046,2.3,2.3
21213,Simpson,KY,True,6902,2.3,2.3
04019,Pima,AZ,True,6848,2.3,2.2
28011,Bolivar,MS,True,11896,2.2,2.2
21161,Mason,KY,True,7780,2.2,2.2
48331,Milam,TX,True,9148,2.2,2.2
28147,Walthall,MS,True,7533,2.1,2.1
29081,Harrison,MO,True,7662,2.0,2.0
36081,Queens,NY,True,7696,2.0,1.2
46123,Tripp,SD,True,11068,2.0,2.0
36045,Jefferson,NY,True,8941,2.0,2.0
17011,Bureau,IL,True,10701,1.9,1.9
29091,Howell,MO,True,5857,1.9,0.9
29101,Johnson,MO,True,7628,1.8,1.8
28083,Leflore,MS,True,4139,1.8,0.0
29135,Moniteau,MO,True,7617,1.7,1.7
36089,St. Lawrence,NY,True,1623,1.7,0.0
12039,Gadsden,FL,True,4987,1.7,1.6
48309,McLennan,TX,True,17080,1.7,1.7
21045,Casey,KY,True,8522,1.6,1.6
28067,Jones,MS,True,5820,1.6,1.6
17077,Jackson,IL,True,6907,1.6,1.6
48165,Gaines,TX,True,6179,1.6,1.6
12086,Miami-Dade,FL,True,8377,1.5,1.5
36019,Clinton,NY,True,7606,1.5,1.5
36055,Monroe,NY,True,4560,1.5,1.5
29147,Nodaway,MO,True,7923,1.5,1.5
56035,Sublette,WY,True,6070,1.5,0.2
31109,Lancaster,NE,True,10771,1.5,1.5
13247,Rockdale,GA,True,2927,1.4,0.0
48277,Lamar,TX,True,5511,1.4,1.4
06107,Tulare,CA,True,6787,1.4,0.9
05037,Cross,AR,True,6722,1.4,1.4
05031,Craighead,AR,True,6600,1.4,1.4
48113,Dallas,TX,True,15383,1.4,1.4
30073,Pondera,MT,True,12289,1.3,1.3
06037,Los Angeles,CA,True,6636,1.3,0.5
18031,Decatur,IN,True,12688,1.3,1.3
06065,Riverside,CA,True,9121,1.3,0.9
12011,Broward,FL,True,6773,1.2,1.1
29203,Shannon,MO,True,5605,1.2,1.2
06083,Santa Barbara,CA,True,7280,1.2,1.2
30047,Lake,MT,True,6985,1.2,1.2
48029,Bexar,TX,True,7185,1.2,0.4
06059,Orange,CA,True,4558,1.2,0.2
48039,Brazoria,TX,True,7019,1.2,1.1
36063,Niagara,NY,True,8033,1.2,1.2
17001,Adams,IL,True,13170,1.1,1.1
36105,Sullivan,NY,True,9400,1.1,0.5
36011,Cayuga,NY,True,6560,1.1,0.8
48121,Denton,TX,True,11243,1.1,1.1
