fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
36045,Jefferson,NY,RESIDENTIAL,8941,9.5,9.5
04015,Mohave,AZ,RESIDENTIAL,8753,8.7,8.7
21047,Christian,KY,RESIDENTIAL,7141,7.1,7.1
48421,Sherman,TX,RESIDENTIAL,9015,5.9,5.9
36091,Saratoga,NY,RESIDENTIAL,6515,5.3,4.8
21185,Oldham,KY,RESIDENTIAL,5836,4.0,4.0
36075,Oswego,NY,RESIDENTIAL,7667,3.7,3.7
12099,Palm Beach,FL,RESIDENTIAL,7612,3.2,3.2
48453,Travis,TX,RESIDENTIAL,7822,3.2,3.2
35029,Luna,NM,RESIDENTIAL,8814,3.1,3.1
05107,Phillips,AR,RESIDENTIAL,6093,2.9,2.9
36081,Queens,NY,RESIDENTIAL,7573,2.9,2.0
36005,Bronx,NY,RESIDENTIAL,6368,2.9,2.9
21213,Simpson,KY,RESIDENTIAL,6902,2.3,2.3
26033,Chippewa,MI,RESIDENTIAL,13095,2.2,2.2
21161,Mason,KY,RESIDENTIAL,7780,2.2,2.2
36019,Clinton,NY,RESIDENTIAL,7606,2.2,2.2
27071,Koochiching,MN,RESIDENTIAL,10239,2.2,2.2
21009,Barren,KY,RESIDENTIAL,8491,2.1,2.1
40081,Lincoln,OK,RESIDENTIAL,7964,1.8,1.8
31063,Frontier,NE,RESIDENTIAL,9297,1.8,1.8
06059,Orange,CA,RESIDENTIAL,5415,1.8,0.4
12039,Gadsden,FL,RESIDENTIAL,4987,1.7,1.6
46013,Brown,SD,RESIDENTIAL,8575,1.7,1.7
01105,Perry,AL,RESIDENTIAL,6100,1.6,1.4
46105,Perkins,SD,RESIDENTIAL,7745,1.6,1.6
12086,Miami-Dade,FL,RESIDENTIAL,8604,1.6,1.6
24031,Montgomery,MD,RESIDENTIAL,6262,1.6,1.5
40145,Wagoner,OK,RESIDENTIAL,6326,1.5,1.5
40049,Garvin,OK,RESIDENTIAL,7614,1.5,1.5
26099,Macomb,MI,RESIDENTIAL,9928,1.5,1.5
21239,Woodford,KY,RESIDENTIAL,6140,1.5,1.5
40129,Roger Mills,OK,RESIDENTIAL,14427,1.5,1.5
06073,San Diego,CA,RESIDENTIAL,9471,1.5,1.4
29119,McDonald,MO,RESIDENTIAL,5651,1.4,1.4
26163,Wayne,MI,RESIDENTIAL,11197,1.4,1.4
21087,Green,KY,RESIDENTIAL,5677,1.4,1.4
25001,Barnstable,MA,RESIDENTIAL,23714,1.4,1.4
40133,Seminole,OK,RESIDENTIAL,8152,1.4,1.4
12011,Broward,FL,RESIDENTIAL,8617,1.4,1.4
35013,Doña Ana,NM,RESIDENTIAL,6605,1.4,1.1
27005,Becker,MN,RESIDENTIAL,12356,1.4,1.4
40015,Caddo,OK,RESIDENTIAL,7579,1.3,1.3
05031,Craighead,AR,RESIDENTIAL,6176,1.3,1.3
53061,Snohomish,WA,RESIDENTIAL,3359,1.3,0.0
06037,Los Angeles,CA,RESIDENTIAL,6771,1.3,0.5
27141,Sherburne,MN,RESIDENTIAL,10812,1.3,1.3
12115,Sarasota,FL,RESIDENTIAL,5601,1.3,1.1
12101,Pasco,FL,RESIDENTIAL,5453,1.2,0.6
45019,Charleston,SC,RESIDENTIAL,12500,1.2,1.2
36063,Niagara,NY,RESIDENTIAL,7664,1.1,1.1
48359,Oldham,TX,RESIDENTIAL,10854,1.1,1.1
45015,Berkeley,SC,RESIDENTIAL,7167,1.1,1.1
29091,Howell,MO,RESIDENTIAL,5921,1.1,0.9
36105,Sullivan,NY,RESIDENTIAL,9400,1.1,0.5
17031,Cook,IL,RESIDENTIAL,8217,1.1,1.1
19065,Fayette,IA,RESIDENTIAL,5130,1.1,0.8
19043,Clayton,IA,RESIDENTIAL,4361,1.1,0.8
36009,Cattaraugus,NY,RESIDENTIAL,7667,1.1,1.1
36059,Nassau,NY,RESIDENTIAL,6503,1.1,1.1
48257,Kaufman,TX,RESIDENTIAL,7831,1.1,1.1
26125,Oakland,MI,RESIDENTIAL,11229,1.0,1.0
29101,Johnson,MO,RESIDENTIAL,7628,1.0,1.0
21001,Adair,KY,RESIDENTIAL,7045,1.0,0.7
46123,Tripp,SD,RESIDENTIAL,11397,1.0,1.0
21137,Lincoln,KY,RESIDENTIAL,7348,1.0,1.0
06065,Riverside,CA,RESIDENTIAL,8519,1.0,0.6
47109,McNairy,TN,RESIDENTIAL,4740,1.0,1.0
30087,Rosebud,MT,RESIDENTIAL,8889,1.0,1.0
47023,Chester,TN,RESIDENTIAL,4728,1.0,1.0
25021,Norfolk,MA,RESIDENTIAL,18478,1.0,1.0
30047,Lake,MT,RESIDENTIAL,5213,1.0,1.0
35005,Chaves,NM,RESIDENTIAL,6982,0.9,0.9
05123,St. Francis,AR,RESIDENTIAL,5526,0.9,0.9
47017,Carroll,TN,RESIDENTIAL,5351,0.9,0.6
36071,Orange,NY,RESIDENTIAL,7917,0.9,0.9
21031,Butler,KY,RESIDENTIAL,4641,0.9,0.9
36065,Oneida,NY,RESIDENTIAL,6282,0.9,0.9
29201,Scott,MO,RESIDENTIAL,5450,0.9,0.9
45057,Lancaster,SC,RESIDENTIAL,5919,0.9,0.6
08001,Adams,CO,RESIDENTIAL,4653,0.9,0.8
26109,Menominee,MI,RESIDENTIAL,10639,0.9,0.9
01047,Dallas,AL,RESIDENTIAL,4423,0.9,0.8
55099,Price,WI,RESIDENTIAL,7096,0.9,0.9
36021,Columbia,NY,RESIDENTIAL,5074,0.9,0.9
46115,Spink,SD,RESIDENTIAL,8935,0.9,0.9
27101,Murray,MN,RESIDENTIAL,14413,0.9,0.9
46091,Marshall,SD,RESIDENTIAL,10601,0.8,0.8
28057,Itawamba,MS,RESIDENTIAL,3027,0.8,0.0
40101,Muskogee,OK,RESIDENTIAL,5964,0.8,0.8
29123,Madison,MO,RESIDENTIAL,5648,0.8,0.8
40041,Delaware,OK,RESIDENTIAL,9037,0.8,0.8
29029,Camden,MO,RESIDENTIAL,6232,0.8,0.8
36013,Chautauqua,NY,RESIDENTIAL,7293,0.8,0.8
46079,Lake,SD,RESIDENTIAL,10288,0.8,0.8
48229,Hudspeth,TX,RESIDENTIAL,3890,0.8,0.0
05065,Izard,AR,RESIDENTIAL,4345,0.8,0.1
27045,Fillmore,MN,RESIDENTIAL,13532,0.8,0.8
31097,Johnson,NE,RESIDENTIAL,9785,0.8,0.8
36027,Dutchess,NY,RESIDENTIAL,4694,0.8,0.8
40093,Major,OK,RESIDENTIAL,7775,0.8,0.8
26051,Gladwin,MI,RESIDENTIAL,10355,0.8,0.8
35021,Harding,NM,RESIDENTIAL,9825,0.8,0.8
46053,Gregory,SD,RESIDENTIAL,9375,0.8,0.8
18113,Noble,IN,RESIDENTIAL,8847,0.8,0.8
31141,Platte,NE,RESIDENTIAL,8662,0.8,0.8
13165,Jenkins,GA,RESIDENTIAL,5450,0.8,0.5
40059,Harper,OK,RESIDENTIAL,5225,0.8,0.8
05009,Boone,AR,RESIDENTIAL,6421,0.8,0.5
40057,Harmon,OK,RESIDENTIAL,6944,0.7,0.7
48165,Gaines,TX,RESIDENTIAL,6574,0.7,0.7
26117,Montcalm,MI,RESIDENTIAL,11676,0.7,0.7
20003,Anderson,KS,RESIDENTIAL,11681,0.7,0.7
27021,Cass,MN,RESIDENTIAL,11139,0.7,0.7
31131,Otoe,NE,RESIDENTIAL,9491,0.7,0.7
31185,York,NE,RESIDENTIAL,29149,0.7,0.7
45083,Spartanburg,SC,RESIDENTIAL,4239,0.7,0.0
01005,Barbour,AL,RESIDENTIAL,5521,0.7,0.5
08123,Weld,CO,RESIDENTIAL,5972,0.7,0.7
36047,Kings,NY,RESIDENTIAL,10297,0.7,0.7
13099,Early,GA,RESIDENTIAL,6038,0.7,0.7
27137,St. Louis,MN,RESIDENTIAL,8831,0.7,0.7
33015,Rockingham,NH,RESIDENTIAL,12873,0.7,0.7
25027,Worcester,MA,RESIDENTIAL,16547,0.7,0.7
29023,Butler,MO,RESIDENTIAL,4732,0.7,0.7
21049,Clark,KY,RESIDENTIAL,8291,0.7,0.5
55075,Marinette,WI,RESIDENTIAL,6127,0.7,0.7
42019,Butler,PA,RESIDENTIAL,7198,0.7,0.7
38091,Steele,ND,RESIDENTIAL,10397,0.7,0.7
05135,Sharp,AR,RESIDENTIAL,5184,0.7,0.3
21191,Pendleton,KY,RESIDENTIAL,3450,0.7,0.0
12081,Manatee,FL,RESIDENTIAL,7841,0.7,0.7
25017,Middlesex,MA,RESIDENTIAL,16490,0.7,0.7
47069,Hardeman,TN,RESIDENTIAL,5011,0.7,0.7
27033,Cottonwood,MN,RESIDENTIAL,15080,0.7,0.7
08075,Logan,CO,RESIDENTIAL,7728,0.7,0.6
13221,Oglethorpe,GA,RESIDENTIAL,5261,0.7,0.7
13175,Laurens,GA,RESIDENTIAL,5445,0.7,0.7
19015,Boone,IA,RESIDENTIAL,5301,0.7,0.3
48087,Collingsworth,TX,RESIDENTIAL,7980,0.7,0.7
38013,Burke,ND,RESIDENTIAL,11707,0.6,0.6
45075,Orangeburg,SC,RESIDENTIAL,7866,0.6,0.6
09001,Fairfield,CT,RESIDENTIAL,12829,0.6,0.6
18037,Dubois,IN,RESIDENTIAL,8796,0.6,0.6
19173,Taylor,IA,RESIDENTIAL,5209,0.6,0.6
38023,Divide,ND,RESIDENTIAL,8571,0.6,0.6
27001,Aitkin,MN,RESIDENTIAL,10088,0.6,0.6
27089,Marshall,MN,RESIDENTIAL,11907,0.6,0.6
19107,Keokuk,IA,RESIDENTIAL,4934,0.6,0.4
26081,Kent,MI,RESIDENTIAL,11437,0.6,0.6
36049,Lewis,NY,RESIDENTIAL,7250,0.6,0.6
23017,Oxford,ME,RESIDENTIAL,8328,0.6,0.6
21151,Madison,KY,RESIDENTIAL,6227,0.6,0.6
08069,Larimer,CO,RESIDENTIAL,7978,0.6,0.2
12083,Marion,FL,RESIDENTIAL,5139,0.6,0.2
06071,San Bernardino,CA,RESIDENTIAL,21894,0.6,0.5
16051,Jefferson,ID,RESIDENTIAL,5299,0.6,0.0
27151,Swift,MN,RESIDENTIAL,13009,0.6,0.6
33011,Hillsborough,NH,RESIDENTIAL,11366,0.6,0.6
27059,Isanti,MN,RESIDENTIAL,10588,0.6,0.6
28019,Choctaw,MS,RESIDENTIAL,3550,0.6,0.0
26067,Ionia,MI,RESIDENTIAL,11602,0.6,0.6
01125,Tuscaloosa,AL,RESIDENTIAL,4386,0.6,0.6
27115,Pine,MN,RESIDENTIAL,8291,0.6,0.6
12021,Collier,FL,RESIDENTIAL,5945,0.6,0.4
