fips,county_name,state_abbr,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
40139,Texas,OK,8372,74.3,74.3
53043,Lincoln,WA,5855,65.0,65.0
35057,Torrance,NM,6808,61.9,0.1
35059,Union,NM,16368,36.6,36.6
26067,Ionia,MI,11617,33.1,33.1
08063,Kit Carson,CO,15417,31.5,31.5
30051,Liberty,MT,13071,30.6,30.6
27069,Kittson,MN,10121,30.0,30.0
48109,Culberson,TX,14222,29.2,29.2
35013,Doña Ana,NM,6766,25.6,13.2
38105,Williams,ND,10036,21.7,21.7
18157,Tippecanoe,IN,9362,21.0,21.0
40077,Latimer,OK,2029,20.6,0.0
48421,Sherman,TX,8500,18.1,18.1
36045,Jefferson,NY,8941,17.6,17.6
48229,Hudspeth,TX,8832,15.3,14.5
01101,Montgomery,AL,5188,13.3,13.3
48283,La Salle,TX,8315,12.8,12.8
46099,Minnehaha,SD,11771,12.5,12.5
48105,Crockett,TX,15366,12.4,12.4
17031,Cook,IL,8868,12.3,1.3
46069,Hyde,SD,10326,12.1,12.1
38041,Hettinger,ND,10329,10.5,10.5
06047,Merced,CA,15869,10.4,10.4
38029,Emmons,ND,9463,10.1,10.1
48011,Armstrong,TX,14260,9.8,9.8
38049,McHenry,ND,8288,9.4,9.4
49003,Box Elder,UT,12854,9.4,9.4
36065,Oneida,NY,5284,9.3,2.9
04015,Mohave,AZ,8653,8.7,8.7
27045,Fillmore,MN,13511,8.5,8.5
45029,Colleton,SC,4392,8.1,2.6
13033,Burke,GA,5073,8.1,0.4
37061,Duplin,NC,7458,8.0,8.0
27091,Martin,MN,13824,7.9,7.9
48027,Bell,TX,10547,7.8,7.3
48133,Eastland,TX,15157,7.6,7.6
48479,Webb,TX,13539,7.6,7.6
48371,Pecos,TX,13182,7.4,7.4
08005,Arapahoe,CO,8115,7.2,7.2
08023,Costilla,CO,8343,7.2,7.2
55075,Marinette,WI,7957,7.1,7.1
21047,Christian,KY,7141,7.1,7.1
06071,San Bernardino,CA,21785,7.0,6.8
08021,Conejos,CO,5765,6.9,6.9
06025,Imperial,CA,18748,6.9,6.9
36091,Saratoga,NY,4942,6.9,5.0
48491,Williamson,TX,16865,6.8,6.8
06029,Kern,CA,29957,6.7,0.4
29163,Pike,MO,7102,6.5,6.5
21209,Scott,KY,12160,6.4,6.4
26141,Presque Isle,MI,13072,6.3,6.3
36075,Oswego,NY,7260,6.1,4.1
31177,Washington,NE,9213,6.0,6.0
48489,Willacy,TX,13727,6.0,5.8
48117,Deaf Smith,TX,10604,6.0,6.0
42091,Montgomery,PA,8202,5.9,5.9
18177,Wayne,IN,8091,5.9,5.9
18077,Jefferson,IN,23708,5.8,5.8
38009,Bottineau,ND,9356,5.7,5.7
04017,Navajo,AZ,12308,5.6,0.2
