fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
13141,Hancock,GA,AGRICULTURAL,401,460.0,0.0
32011,Eureka,NV,AGRICULTURAL,270,254.8,0.0
08123,Weld,CO,AGRICULTURAL,980,176.6,0.0
08075,Logan,CO,AGRICULTURAL,591,162.7,0.0
32013,Humboldt,NV,AGRICULTURAL,39,102.1,0.0
01061,Geneva,AL,AGRICULTURAL,441,97.4,0.0
06047,Merced,CA,AGRICULTURAL,591,79.8,0.0
28083,Leflore,MS,AGRICULTURAL,895,61.0,0.0
48011,Armstrong,TX,AGRICULTURAL,1391,56.8,0.0
40047,Garfield,OK,AGRICULTURAL,1757,53.6,53.6
21151,Madison,KY,AGRICULTURAL,1153,52.6,0.0
53043,Lincoln,WA,AGRICULTURAL,1068,52.0,0.0
08063,Kit Carson,CO,AGRICULTURAL,1372,49.0,0.0
17075,Iroquois,IL,AGRICULTURAL,1350,46.4,0.0
08109,Saguache,CO,AGRICULTURAL,26,43.7,0.0
34033,Salem,NJ,AGRICULTURAL,12,39.2,0.0
49021,Iron,UT,AGRICULTURAL,1025,38.1,0.0
17053,Ford,IL,AGRICULTURAL,1555,37.4,0.0
17073,Henry,IL,AGRICULTURAL,1620,35.2,9.1
28055,Issaquena,MS,AGRICULTURAL,805,33.7,0.0
42005,Armstrong,PA,AGRICULTURAL,969,33.2,0.0
20021,Cherokee,KS,AGRICULTURAL,1773,29.5,4.5
42117,Tioga,PA,AGRICULTURAL,1389,28.9,28.3
29205,Shelby,MO,AGRICULTURAL,1535,28.8,0.0
40009,Beckham,OK,AGRICULTURAL,1357,28.1,0.0
40015,Caddo,OK,AGRICULTURAL,1785,28.1,27.6
26065,Ingham,MI,AGRICULTURAL,59,27.1,0.0
17105,Livingston,IL,AGRICULTURAL,1631,26.9,24.9
31031,Cherry,NE,AGRICULTURAL,1834,26.5,9.0
28133,Sunflower,MS,AGRICULTURAL,1100,26.5,0.0
17091,Kankakee,IL,AGRICULTURAL,1435,26.1,0.0
28029,Copiah,MS,AGRICULTURAL,684,25.7,0.0
17135,Montgomery,IL,AGRICULTURAL,1486,25.3,0.0
17021,Christian,IL,AGRICULTURAL,1359,24.5,0.0
28119,Quitman,MS,AGRICULTURAL,1013,24.4,0.0
17107,Logan,IL,AGRICULTURAL,1404,24.3,0.0
21017,Bourbon,KY,AGRICULTURAL,1086,23.2,0.0
29041,Chariton,MO,AGRICULTURAL,1251,23.2,0.0
16051,Jefferson,ID,AGRICULTURAL,840,22.5,0.0
46063,Harding,SD,AGRICULTURAL,1382,20.9,0.0
17115,Macon,IL,AGRICULTURAL,1395,20.5,0.0
48229,Hudspeth,TX,AGRICULTURAL,428,20.5,0.0
28051,Holmes,MS,AGRICULTURAL,871,19.0,0.0
31101,Keith,NE,AGRICULTURAL,1205,18.9,0.0
20157,Republic,KS,AGRICULTURAL,1538,18.7,6.4
35057,Torrance,NM,AGRICULTURAL,1404,18.6,14.9
29147,Nodaway,MO,AGRICULTURAL,1684,17.8,2.4
17027,Clinton,IL,AGRICULTURAL,1339,17.2,0.0
24041,Talbot,MD,AGRICULTURAL,1083,16.8,0.0
36017,Chenango,NY,AGRICULTURAL,1614,16.7,16.7
17093,Kendall,IL,AGRICULTURAL,1396,16.7,0.0
17113,McLean,IL,AGRICULTURAL,1696,16.5,16.5
18177,Wayne,IN,AGRICULTURAL,1342,16.5,0.0
46029,Codington,SD,AGRICULTURAL,1876,16.5,15.7
39031,Coshocton,OH,AGRICULTURAL,939,15.6,0.0
45089,Williamsburg,SC,AGRICULTURAL,776,15.4,0.0
48165,Gaines,TX,AGRICULTURAL,1080,15.1,0.0
05037,Cross,AR,AGRICULTURAL,1296,15.1,0.0
42063,Indiana,PA,AGRICULTURAL,863,14.6,0.0
06049,Modoc,CA,AGRICULTURAL,560,13.9,0.0
39091,Logan,OH,AGRICULTURAL,1685,13.6,13.6
36075,Oswego,NY,AGRICULTURAL,813,13.4,0.0
48055,Caldwell,TX,AGRICULTURAL,620,13.1,0.0
48491,Williamson,TX,AGRICULTURAL,1102,13.0,0.0
48255,Karnes,TX,AGRICULTURAL,1035,12.7,0.0
17079,Jasper,IL,AGRICULTURAL,1351,12.6,0.0
48283,La Salle,TX,AGRICULTURAL,883,12.5,0.0
31001,Adams,NE,AGRICULTURAL,1620,12.5,0.3
30011,Carter,MT,AGRICULTURAL,1550,12.4,8.7
36037,Genesee,NY,AGRICULTURAL,1403,12.4,0.0
55085,Oneida,WI,AGRICULTURAL,30,12.2,0.0
31125,Nance,NE,AGRICULTURAL,1528,12.1,0.0
29145,Newton,MO,AGRICULTURAL,1840,11.7,8.0
38025,Dunn,ND,AGRICULTURAL,1381,11.6,1.2
27165,Watonwan,MN,AGRICULTURAL,1645,11.2,2.5
20087,Jefferson,KS,AGRICULTURAL,1601,11.1,3.7
27027,Clay,MN,AGRICULTURAL,1352,10.8,0.0
36065,Oneida,NY,AGRICULTURAL,691,10.7,0.0
29101,Johnson,MO,AGRICULTURAL,1512,10.7,0.0
08027,Custer,CO,AGRICULTURAL,233,10.6,0.0
39001,Adams,OH,AGRICULTURAL,486,10.5,0.0
48109,Culberson,TX,AGRICULTURAL,789,10.3,0.0
29091,Howell,MO,AGRICULTURAL,1266,10.3,0.0
27005,Becker,MN,AGRICULTURAL,1375,10.3,0.0
29199,Scotland,MO,AGRICULTURAL,1487,10.2,0.0
56003,Big Horn,WY,AGRICULTURAL,635,10.2,0.0
30041,Hill,MT,AGRICULTURAL,1347,10.2,0.0
29115,Linn,MO,AGRICULTURAL,1547,10.0,0.0
48093,Comanche,TX,AGRICULTURAL,827,10.0,0.0
48051,Burleson,TX,AGRICULTURAL,739,9.7,0.0
05023,Cleburne,AR,AGRICULTURAL,1036,9.6,0.0
20085,Jackson,KS,AGRICULTURAL,1583,9.4,1.6
30015,Chouteau,MT,AGRICULTURAL,1509,9.4,0.4
48127,Dimmit,TX,AGRICULTURAL,919,9.4,0.0
39147,Seneca,OH,AGRICULTURAL,1552,9.3,0.0
30035,Glacier,MT,AGRICULTURAL,1536,9.3,0.0
20119,Meade,KS,AGRICULTURAL,1387,9.2,0.0
18053,Grant,IN,AGRICULTURAL,1190,9.1,0.0
31087,Hitchcock,NE,AGRICULTURAL,1304,9.1,0.0
29131,Miller,MO,AGRICULTURAL,1254,9.1,0.0
30085,Roosevelt,MT,AGRICULTURAL,1117,9.1,0.0
39021,Champaign,OH,AGRICULTURAL,1161,9.0,0.0
29133,Mississippi,MO,AGRICULTURAL,1231,9.0,0.0
31057,Dundy,NE,AGRICULTURAL,1206,8.9,0.0
31085,Hayes,NE,AGRICULTURAL,1219,8.8,0.0
31117,McPherson,NE,AGRICULTURAL,1447,8.8,0.0
38105,Williams,ND,AGRICULTURAL,1555,8.7,0.0
48301,Loving,TX,AGRICULTURAL,225,8.7,0.0
36093,Schenectady,NY,AGRICULTURAL,1466,8.7,0.0
48371,Pecos,TX,AGRICULTURAL,528,8.6,0.0
20029,Cloud,KS,AGRICULTURAL,1269,8.5,0.0
31011,Boone,NE,AGRICULTURAL,1623,8.5,0.5
31107,Knox,NE,AGRICULTURAL,1769,8.4,6.1
53071,Walla Walla,WA,AGRICULTURAL,699,8.4,0.0
30105,Valley,MT,AGRICULTURAL,1669,8.4,7.4
30087,Rosebud,MT,AGRICULTURAL,1123,8.4,0.0
01045,Dale,AL,AGRICULTURAL,249,8.3,0.0
46123,Tripp,SD,AGRICULTURAL,1546,8.3,0.0
30075,Powder River,MT,AGRICULTURAL,1171,8.3,0.0
16087,Washington,ID,AGRICULTURAL,272,8.3,0.0
21179,Nelson,KY,AGRICULTURAL,30,8.2,0.0
48149,Fayette,TX,AGRICULTURAL,791,8.1,0.0
46091,Marshall,SD,AGRICULTURAL,1564,8.0,5.3
30027,Fergus,MT,AGRICULTURAL,1382,7.9,0.0
40087,McClain,OK,AGRICULTURAL,1217,7.8,0.5
17173,Shelby,IL,AGRICULTURAL,1402,7.8,0.0
48287,Lee,TX,AGRICULTURAL,1013,7.7,0.0
