fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
36045,Jefferson,NY,RESIDENTIAL,1442,28.8,0.0
22075,Plaquemines,LA,RESIDENTIAL,580,20.1,0.0
27071,Koochiching,MN,RESIDENTIAL,77,13.2,0.0
08073,Lincoln,CO,RESIDENTIAL,705,11.2,0.0
06071,San Bernardino,CA,RESIDENTIAL,1018,9.5,0.0
08093,Park,CO,RESIDENTIAL,266,6.9,0.0
48461,Upton,TX,RESIDENTIAL,806,5.7,0.0
48115,Dawson,TX,RESIDENTIAL,767,5.7,0.0
38007,Billings,ND,RESIDENTIAL,1420,4.9,0.0
48475,Ward,TX,RESIDENTIAL,380,4.6,0.0
27021,Cass,MN,RESIDENTIAL,18,2.4,0.0
05109,Pike,AR,RESIDENTIAL,644,2.3,0.0
27153,Todd,MN,RESIDENTIAL,154,2.3,0.0
27137,St. Louis,MN,RESIDENTIAL,47,2.2,0.0
05041,Desha,AR,RESIDENTIAL,1069,2.0,0.0
26039,Crawford,MI,RESIDENTIAL,1375,1.9,0.0
05017,Chicot,AR,RESIDENTIAL,1068,1.8,0.0
32031,Washoe,NV,RESIDENTIAL,637,1.6,0.0
05001,Arkansas,AR,RESIDENTIAL,1124,1.5,0.0
38025,Dunn,ND,RESIDENTIAL,1599,1.5,0.3
29015,Benton,MO,RESIDENTIAL,1229,1.2,0.0
05011,Bradley,AR,RESIDENTIAL,836,1.1,0.0
12103,Pinellas,FL,RESIDENTIAL,257,1.0,0.0
24045,Wicomico,MD,RESIDENTIAL,1131,0.7,0.0
37053,Currituck,NC,RESIDENTIAL,140,0.7,0.0
05025,Cleveland,AR,RESIDENTIAL,0,0.6,0.0
29085,Hickory,MO,RESIDENTIAL,1021,0.6,0.0
05007,Benton,AR,RESIDENTIAL,170,0.5,0.0
40143,Tulsa,OK,RESIDENTIAL,33,0.5,0.0
48057,Calhoun,TX,RESIDENTIAL,700,0.3,0.0
29155,Pemiscot,MO,RESIDENTIAL,1362,0.3,0.0
04013,Maricopa,AZ,RESIDENTIAL,615,0.3,0.0
26109,Menominee,MI,RESIDENTIAL,200,0.3,0.0
04025,Yavapai,AZ,RESIDENTIAL,310,0.3,0.0
12087,Monroe,FL,RESIDENTIAL,76,0.2,0.0
40109,Oklahoma,OK,RESIDENTIAL,213,0.2,0.0
40021,Cherokee,OK,RESIDENTIAL,34,0.1,0.0
40091,McIntosh,OK,RESIDENTIAL,58,0.1,0.0
06037,Los Angeles,CA,RESIDENTIAL,198,0.0,0.0
