fips,county_name,state_abbr,underserved,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
53043,Lincoln,WA,True,9435,64.2,64.2
35057,Torrance,NM,True,10789,62.0,0.2
35059,Union,NM,True,23736,31.3,31.3
30051,Liberty,MT,True,18876,30.6,30.6
26067,Ionia,MI,True,7384,30.3,30.3
40077,Latimer,OK,True,2930,20.6,0.0
48421,Sherman,TX,True,10550,18.1,18.1
48229,Hudspeth,TX,True,14538,14.5,14.5
01101,Montgomery,AL,True,7492,13.3,13.3
48283,La Salle,TX,True,12008,12.8,12.8
35013,Doña Ana,NM,True,10508,12.6,12.6
46069,Hyde,SD,True,14362,12.1,12.1
38105,Williams,ND,True,14398,9.6,9.6
06047,Merced,CA,True,34494,9.0,9.0
04015,Mohave,AZ,True,12128,8.4,8.4
13033,Burke,GA,True,7798,8.1,8.1
37061,Duplin,NC,True,8944,7.9,7.9
06071,San Bernardino,CA,True,33147,7.1,7.0
21047,Christian,KY,True,9316,7.1,7.1
08021,Conejos,CO,True,8000,6.9,6.9
06025,Imperial,CA,True,34218,6.9,6.9
31177,Washington,NE,True,13304,6.0,6.0
18077,Jefferson,IN,True,14932,6.0,6.0
48117,Deaf Smith,TX,True,13731,6.0,6.0
41037,Lake,OR,True,8801,5.4,0.4
06085,Santa Clara,CA,True,12096,5.4,5.4
54003,Berkeley,WV,True,6395,5.1,5.1
30105,Valley,MT,True,15808,4.8,4.8
17201,Winnebago,IL,True,24359,4.6,4.6
01047,Dallas,AL,True,6918,4.4,4.4
55025,Dane,WI,True,19516,4.3,4.3
36065,Oneida,NY,True,8461,4.3,1.0
48453,Travis,TX,True,10827,3.8,3.8
16073,Owyhee,ID,True,9529,3.8,3.8
48209,Hays,TX,True,15205,3.6,3.6
20099,Labette,KS,True,15603,3.5,3.5
36075,Oswego,NY,True,10744,3.4,3.4
38023,Divide,ND,True,11704,3.3,3.3
48305,Lynn,TX,True,19149,3.2,3.2
18053,Grant,IN,True,13308,3.1,3.1
21209,Scott,KY,True,17657,3.1,3.1
48419,Shelby,TX,True,7246,3.0,3.0
48027,Bell,TX,True,13637,3.0,3.0
46037,Day,SD,True,14364,3.0,3.0
05107,Phillips,AR,True,7857,2.9,2.9
54077,Preston,WV,True,7179,2.9,2.9
13141,Hancock,GA,True,5440,2.9,2.9
08123,Weld,CO,True,8919,2.8,2.8
45029,Colleton,SC,True,7439,2.8,2.8
36073,Orleans,NY,True,12207,2.8,2.8
48491,Williamson,TX,True,19445,2.7,2.7
06111,Ventura,CA,True,28455,2.7,2.7
38009,Bottineau,ND,True,10972,2.7,2.7
06073,San Diego,CA,True,13281,2.7,2.5
36005,Bronx,NY,True,8236,2.7,2.7
30015,Chouteau,MT,True,15396,2.6,2.6
49021,Iron,UT,True,8478,2.6,2.6
38041,Hettinger,ND,True,10765,2.6,2.6
36081,Queens,NY,True,8488,2.5,2.5
21017,Bourbon,KY,True,11110,2.5,2.5
30005,Blaine,MT,True,15718,2.4,2.4
04019,Pima,AZ,True,11197,2.4,2.4
21213,Simpson,KY,True,10530,2.3,2.3
38083,Sheridan,ND,True,13064,2.3,2.3
28011,Bolivar,MS,True,17079,2.2,2.2
48331,Milam,TX,True,11020,2.2,2.2
21161,Mason,KY,True,10262,2.2,2.2
36045,Jefferson,NY,True,13640,2.1,2.1
28147,Walthall,MS,True,10879,2.1,2.1
12086,Miami-Dade,FL,True,10784,2.0,1.9
29081,Harrison,MO,True,11065,2.0,2.0
46123,Tripp,SD,True,13337,2.0,2.0
17011,Bureau,IL,True,14413,1.9,1.9
