fips,county_name,state_abbr,turbine_class,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
18157,Tippecanoe,IN,commercial,11305,20.0,20.0
08005,Arapahoe,CO,commercial,17842,7.1,7.1
21141,Logan,KY,commercial,20377,1.1,1.1
18003,Allen,IN,commercial,18834,0.8,0.8
01003,Baldwin,AL,commercial,16290,0.6,0.6
21227,Warren,KY,commercial,6967,0.5,0.5
18139,Rush,IN,commercial,24730,0.5,0.5
21125,Laurel,KY,commercial,10212,0.4,0.4
44009,Washington,RI,commercial,15252,0.3,0.3
12051,Hendry,FL,commercial,7159,0.3,0.3
21207,Russell,KY,commercial,14122,0.3,0.3
49049,Utah,UT,commercial,6442,0.3,0.3
08067,La Plata,CO,commercial,3031,0.3,0.0
21111,Jefferson,KY,commercial,11126,0.3,0.3
20155,Reno,KS,commercial,21389,0.2,0.2
13187,Lumpkin,GA,commercial,3731,0.2,0.0
08041,El Paso,CO,commercial,31514,0.2,0.2
18039,Elkhart,IN,commercial,11739,0.2,0.2
36029,Erie,NY,commercial,17675,0.2,0.2
27137,St. Louis,MN,commercial,19248,0.2,0.2
48141,El Paso,TX,commercial,14717,0.2,0.2
39085,Lake,OH,commercial,18126,0.2,0.2
37057,Davidson,NC,commercial,8290,0.2,0.2
21173,Montgomery,KY,commercial,16646,0.1,0.1
48201,Harris,TX,commercial,8881,0.1,0.1
13313,Whitfield,GA,commercial,7735,0.1,0.1
17177,Stephenson,IL,commercial,5228,0.1,0.1
37063,Durham,NC,commercial,7095,0.1,0.1
48439,Tarrant,TX,commercial,12603,0.1,0.1
12011,Broward,FL,commercial,6111,0.1,0.1
21083,Graves,KY,commercial,18545,0.1,0.1
26115,Monroe,MI,commercial,8597,0.1,0.1
18097,Marion,IN,commercial,22573,0.1,0.1
47157,Shelby,TN,commercial,22152,0.1,0.1
37119,Mecklenburg,NC,commercial,8689,0.1,0.1
12101,Pasco,FL,commercial,4135,0.1,0.0
33003,Carroll,NH,commercial,20704,0.1,0.1
04013,Maricopa,AZ,commercial,4287,0.1,0.0
13121,Fulton,GA,commercial,5347,0.1,0.1
12095,Orange,FL,commercial,5973,0.1,0.1
36093,Schenectady,NY,commercial,3187,0.1,0.0
37061,Duplin,NC,commercial,13268,0.1,0.1
06071,San Bernardino,CA,commercial,5225,0.1,0.0
09009,New Haven,CT,commercial,20645,0.1,0.0
12099,Palm Beach,FL,commercial,10275,0.1,0.1
06037,Los Angeles,CA,commercial,3086,0.1,0.0
36111,Ulster,NY,commercial,2195,0.1,0.0
36071,Orange,NY,commercial,2474,0.1,0.0
53033,King,WA,commercial,9566,0.1,0.1
39049,Franklin,OH,commercial,14584,0.1,0.1
30083,Richland,MT,commercial,12624,0.1,0.1
36059,Nassau,NY,commercial,3435,0.1,0.0
13077,Coweta,GA,commercial,7025,0.1,0.1
26125,Oakland,MI,commercial,8263,0.1,0.1
45035,Dorchester,SC,commercial,13914,0.1,0.1
06067,Sacramento,CA,commercial,12323,0.1,0.0
08035,Douglas,CO,commercial,16357,0.1,0.1
01049,DeKalb,AL,commercial,9764,0.1,0.1
48113,Dallas,TX,commercial,14884,0.1,0.1
24005,Baltimore,MD,commercial,7608,0.1,0.1
18095,Madison,IN,commercial,12943,0.1,0.1
37191,Wayne,NC,commercial,15160,0.1,0.1
01019,Cherokee,AL,commercial,5451,0.1,0.1
53073,Whatcom,WA,commercial,8248,0.1,0.1
29187,St. Francois,MO,commercial,16672,0.1,0.1
18109,Morgan,IN,commercial,8641,0.1,0.1
37051,Cumberland,NC,commercial,12069,0.0,0.0
48459,Upshur,TX,commercial,2796,0.0,0.0
48355,Nueces,TX,commercial,15082,0.0,0.0
25017,Middlesex,MA,commercial,23808,0.0,0.0
29189,St. Louis,MO,commercial,9018,0.0,0.0
05119,Pulaski,AR,commercial,6837,0.0,0.0
37071,Gaston,NC,commercial,6424,0.0,0.0
16075,Payette,ID,commercial,5066,0.0,0.0
37067,Forsyth,NC,commercial,10449,0.0,0.0
25001,Barnstable,MA,commercial,33838,0.0,0.0
12005,Bay,FL,commercial,8226,0.0,0.0
27037,Dakota,MN,commercial,14565,0.0,0.0
37027,Caldwell,NC,commercial,5775,0.0,0.0
36091,Saratoga,NY,commercial,3898,0.0,0.0
51820,Waynesboro,VA,commercial,4594,0.0,0.0
39151,Stark,OH,commercial,12527,0.0,0.0
51760,Richmond,VA,commercial,8588,0.0,0.0
39153,Summit,OH,commercial,13529,0.0,0.0
42043,Dauphin,PA,commercial,4202,0.0,0.0
12127,Volusia,FL,commercial,6244,0.0,0.0
06073,San Diego,CA,commercial,3975,0.0,0.0
29183,St. Charles,MO,commercial,12679,0.0,0.0
24011,Caroline,MD,commercial,21990,0.0,0.0
45015,Berkeley,SC,commercial,14456,0.0,0.0
23013,Knox,ME,commercial,38430,0.0,0.0
24033,Prince George's,MD,commercial,8143,0.0,0.0
42089,Monroe,PA,commercial,2923,0.0,0.0
12105,Polk,FL,commercial,5814,0.0,0.0
27015,Brown,MN,commercial,11255,0.0,0.0
42091,Montgomery,PA,commercial,708,0.0,0.0
06101,Sutter,CA,commercial,8037,0.0,0.0
40051,Grady,OK,commercial,8782,0.0,0.0
48121,Denton,TX,commercial,13985,0.0,0.0
13261,Sumter,GA,commercial,5839,0.0,0.0
27123,Ramsey,MN,commercial,13350,0.0,0.0
39077,Huron,OH,commercial,21484,0.0,0.0
13211,Morgan,GA,commercial,6574,0.0,0.0
47149,Rutherford,TN,commercial,9738,0.0,0.0
06059,Orange,CA,commercial,1867,0.0,0.0
39035,Cuyahoga,OH,commercial,22167,0.0,0.0
37037,Chatham,NC,commercial,6852,0.0,0.0
34021,Mercer,NJ,commercial,12663,0.0,0.0
04015,Mohave,AZ,commercial,11420,0.0,0.0
32003,Clark,NV,commercial,5675,0.0,0.0
01097,Mobile,AL,commercial,10765,0.0,0.0
05067,Jackson,AR,commercial,10006,0.0,0.0
12057,Hillsborough,FL,commercial,5494,0.0,0.0
31079,Hall,NE,commercial,18203,0.0,0.0
46099,Minnehaha,SD,commercial,19428,0.0,0.0
13215,Muscogee,GA,commercial,6702,0.0,0.0
26043,Dickinson,MI,commercial,18441,0.0,0.0
51143,Pittsylvania,VA,commercial,8533,0.0,0.0
37183,Wake,NC,commercial,11350,0.0,0.0
13285,Troup,GA,commercial,5094,0.0,0.0
12086,Miami-Dade,FL,commercial,5232,0.0,0.0
48441,Taylor,TX,commercial,17087,0.0,0.0
