fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
18157,Tippecanoe,IN,COMMERCIAL & INDUSTRIAL,11305,20.0,20.0
17031,Cook,IL,COMMERCIAL & INDUSTRIAL,19782,11.2,11.2
36065,Oneida,NY,COMMERCIAL & INDUSTRIAL,4623,3.2,0.0
20099,Labette,KS,COMMERCIAL & INDUSTRIAL,12894,1.8,1.8
08073,Lincoln,CO,COMMERCIAL & INDUSTRIAL,15920,1.6,1.6
35009,Curry,NM,COMMERCIAL & INDUSTRIAL,19894,1.0,1.0
48355,Nueces,TX,COMMERCIAL & INDUSTRIAL,23769,0.9,0.9
48039,Brazoria,TX,COMMERCIAL & INDUSTRIAL,13553,0.8,0.8
49021,Iron,UT,COMMERCIAL & INDUSTRIAL,10391,0.8,0.8
18003,Allen,IN,COMMERCIAL & INDUSTRIAL,15642,0.7,0.7
49027,Millard,UT,COMMERCIAL & INDUSTRIAL,6921,0.7,0.7
46073,Jerauld,SD,COMMERCIAL & INDUSTRIAL,20493,0.7,0.7
26099,Macomb,MI,COMMERCIAL & INDUSTRIAL,8556,0.7,0.7
31105,Kimball,NE,COMMERCIAL & INDUSTRIAL,22162,0.6,0.6
38093,Stutsman,ND,COMMERCIAL & INDUSTRIAL,11742,0.6,0.6
48133,Eastland,TX,COMMERCIAL & INDUSTRIAL,10647,0.6,0.6
06037,Los Angeles,CA,COMMERCIAL & INDUSTRIAL,5701,0.5,0.0
37071,Gaston,NC,COMMERCIAL & INDUSTRIAL,7770,0.5,0.5
49049,Utah,UT,COMMERCIAL & INDUSTRIAL,6294,0.5,0.4
18097,Marion,IN,COMMERCIAL & INDUSTRIAL,13872,0.4,0.4
48113,Dallas,TX,COMMERCIAL & INDUSTRIAL,22858,0.4,0.4
48201,Harris,TX,COMMERCIAL & INDUSTRIAL,11666,0.4,0.4
18019,Clark,IN,COMMERCIAL & INDUSTRIAL,9934,0.3,0.3
46099,Minnehaha,SD,COMMERCIAL & INDUSTRIAL,19760,0.3,0.3
21207,Russell,KY,COMMERCIAL & INDUSTRIAL,14122,0.3,0.3
21111,Jefferson,KY,COMMERCIAL & INDUSTRIAL,17788,0.3,0.3
40109,Oklahoma,OK,COMMERCIAL & INDUSTRIAL,13843,0.3,0.3
45051,Horry,SC,COMMERCIAL & INDUSTRIAL,12411,0.3,0.3
48027,Bell,TX,COMMERCIAL & INDUSTRIAL,18217,0.3,0.3
36011,Cayuga,NY,COMMERCIAL & INDUSTRIAL,629,0.3,0.0
04003,Cochise,AZ,COMMERCIAL & INDUSTRIAL,4326,0.3,0.0
08067,La Plata,CO,COMMERCIAL & INDUSTRIAL,3031,0.3,0.0
06065,Riverside,CA,COMMERCIAL & INDUSTRIAL,13633,0.2,0.2
13127,Glynn,GA,COMMERCIAL & INDUSTRIAL,8230,0.2,0.2
26137,Otsego,MI,COMMERCIAL & INDUSTRIAL,6251,0.2,0.2
39101,Marion,OH,COMMERCIAL & INDUSTRIAL,11218,0.2,0.2
18039,Elkhart,IN,COMMERCIAL & INDUSTRIAL,17349,0.2,0.2
22079,Rapides,LA,COMMERCIAL & INDUSTRIAL,10323,0.2,0.2
55141,Wood,WI,COMMERCIAL & INDUSTRIAL,15755,0.2,0.2
36029,Erie,NY,COMMERCIAL & INDUSTRIAL,6488,0.2,0.2
55087,Outagamie,WI,COMMERCIAL & INDUSTRIAL,17469,0.2,0.2
37119,Mecklenburg,NC,COMMERCIAL & INDUSTRIAL,8437,0.2,0.2
08035,Douglas,CO,COMMERCIAL & INDUSTRIAL,13662,0.2,0.2
19035,Cherokee,IA,COMMERCIAL & INDUSTRIAL,11385,0.2,0.2
48013,Atascosa,TX,COMMERCIAL & INDUSTRIAL,8972,0.2,0.2
27021,Cass,MN,COMMERCIAL & INDUSTRIAL,19192,0.2,0.2
17097,Lake,IL,COMMERCIAL & INDUSTRIAL,18434,0.2,0.2
55019,Clark,WI,COMMERCIAL & INDUSTRIAL,10292,0.2,0.2
13313,Whitfield,GA,COMMERCIAL & INDUSTRIAL,7691,0.1,0.1
21173,Montgomery,KY,COMMERCIAL & INDUSTRIAL,16646,0.1,0.1
55073,Marathon,WI,COMMERCIAL & INDUSTRIAL,14371,0.1,0.1
48141,El Paso,TX,COMMERCIAL & INDUSTRIAL,19723,0.1,0.1
06059,Orange,CA,COMMERCIAL & INDUSTRIAL,2440,0.1,0.0
34005,Burlington,NJ,COMMERCIAL & INDUSTRIAL,16754,0.1,0.1
27005,Becker,MN,COMMERCIAL & INDUSTRIAL,12112,0.1,0.1
20155,Reno,KS,COMMERCIAL & INDUSTRIAL,14043,0.1,0.1
39049,Franklin,OH,COMMERCIAL & INDUSTRIAL,14695,0.1,0.1
48439,Tarrant,TX,COMMERCIAL & INDUSTRIAL,16641,0.1,0.1
53073,Whatcom,WA,COMMERCIAL & INDUSTRIAL,12410,0.1,0.1
36075,Oswego,NY,COMMERCIAL & INDUSTRIAL,8222,0.1,0.1
53057,Skagit,WA,COMMERCIAL & INDUSTRIAL,5782,0.1,0.1
27169,Winona,MN,COMMERCIAL & INDUSTRIAL,21976,0.1,0.1
19081,Hancock,IA,COMMERCIAL & INDUSTRIAL,11908,0.1,0.1
19167,Sioux,IA,COMMERCIAL & INDUSTRIAL,17024,0.1,0.1
48121,Denton,TX,COMMERCIAL & INDUSTRIAL,16082,0.1,0.1
19187,Webster,IA,COMMERCIAL & INDUSTRIAL,6800,0.1,0.1
26125,Oakland,MI,COMMERCIAL & INDUSTRIAL,6378,0.1,0.1
04013,Maricopa,AZ,COMMERCIAL & INDUSTRIAL,3164,0.1,0.0
20091,Johnson,KS,COMMERCIAL & INDUSTRIAL,18073,0.1,0.1
33011,Hillsborough,NH,COMMERCIAL & INDUSTRIAL,20411,0.1,0.1
42019,Butler,PA,COMMERCIAL & INDUSTRIAL,8419,0.1,0.1
21083,Graves,KY,COMMERCIAL & INDUSTRIAL,18545,0.1,0.1
12095,Orange,FL,COMMERCIAL & INDUSTRIAL,5569,0.1,0.1
21009,Barren,KY,COMMERCIAL & INDUSTRIAL,14582,0.1,0.1
12011,Broward,FL,COMMERCIAL & INDUSTRIAL,10436,0.1,0.1
36071,Orange,NY,COMMERCIAL & INDUSTRIAL,6143,0.1,0.0
