fips,county_name,state_abbr,underserved,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
53043,Lincoln,WA,True,4781,64.2,0.0
35057,Torrance,NM,True,6530,61.9,0.1
35059,Union,NM,True,11779,31.3,31.3
30051,Liberty,MT,True,9313,30.6,30.6
26067,Ionia,MI,True,2046,30.3,0.0
40077,Latimer,OK,True,1222,20.6,0.0
48421,Sherman,TX,True,6357,18.1,5.9
48229,Hudspeth,TX,True,7112,14.5,14.5
01101,Montgomery,AL,True,3537,13.3,0.0
48283,La Salle,TX,True,5802,12.8,12.8
35013,Doña Ana,NM,True,5836,12.6,0.0
46069,Hyde,SD,True,7302,12.1,12.1
38105,Williams,ND,True,7041,9.6,6.9
06047,Merced,CA,True,22431,8.9,4.7
04015,Mohave,AZ,True,6649,8.4,8.0
13033,Burke,GA,True,4251,8.1,0.0
37061,Duplin,NC,True,5211,7.9,0.1
21047,Christian,KY,True,6279,7.1,0.5
06071,San Bernardino,CA,True,26469,7.0,6.8
08021,Conejos,CO,True,3960,6.9,0.0
06025,Imperial,CA,True,19237,6.9,6.9
31177,Washington,NE,True,6486,6.0,6.0
48117,Deaf Smith,TX,True,7506,6.0,6.0
18077,Jefferson,IN,True,6669,5.8,0.4
41037,Lake,OR,True,5959,5.4,0.4
06085,Santa Clara,CA,True,15794,5.4,0.2
54003,Berkeley,WV,True,2415,5.0,0.0
30105,Valley,MT,True,10338,4.8,4.8
17201,Winnebago,IL,True,12592,4.6,4.6
01047,Dallas,AL,True,3920,4.4,0.0
55025,Dane,WI,True,12846,4.2,1.6
36065,Oneida,NY,True,5681,4.1,0.9
16073,Owyhee,ID,True,5294,3.8,0.0
48453,Travis,TX,True,6163,3.8,2.9
48209,Hays,TX,True,10654,3.5,3.5
20099,Labette,KS,True,8566,3.5,3.5
36075,Oswego,NY,True,7279,3.3,3.3
38023,Divide,ND,True,6517,3.3,3.3
48305,Lynn,TX,True,9452,3.2,3.2
21209,Scott,KY,True,8695,3.1,3.1
18053,Grant,IN,True,8951,3.0,3.0
46037,Day,SD,True,7024,3.0,3.0
48027,Bell,TX,True,5878,2.9,0.1
05107,Phillips,AR,True,5258,2.9,0.0
13141,Hancock,GA,True,3566,2.9,0.0
54077,Preston,WV,True,2334,2.9,0.0
48419,Shelby,TX,True,2902,2.8,0.0
08123,Weld,CO,True,6734,2.8,2.7
48491,Williamson,TX,True,11433,2.7,2.6
06111,Ventura,CA,True,10213,2.7,0.1
38009,Bottineau,ND,True,5303,2.7,0.0
36073,Orleans,NY,True,4219,2.6,0.0
30015,Chouteau,MT,True,9704,2.6,2.6
49021,Iron,UT,True,4848,2.6,0.0
36005,Bronx,NY,True,5523,2.6,0.0
38041,Hettinger,ND,True,5198,2.6,0.0
45029,Colleton,SC,True,2954,2.6,0.0
21017,Bourbon,KY,True,7311,2.5,1.8
30005,Blaine,MT,True,9987,2.4,2.4
06073,San Diego,CA,True,7814,2.4,0.8
38083,Sheridan,ND,True,6364,2.3,1.6
21213,Simpson,KY,True,7075,2.3,2.3
04019,Pima,AZ,True,5184,2.3,1.7
28011,Bolivar,MS,True,8452,2.2,2.2
21161,Mason,KY,True,6942,2.2,2.2
48331,Milam,TX,True,6566,2.2,1.9
