fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
18157,Tippecanoe,IN,COMMERCIAL & INDUSTRIAL,5472,20.0,0.0
17031,Cook,IL,COMMERCIAL & INDUSTRIAL,8914,11.2,0.1
36065,Oneida,NY,COMMERCIAL & INDUSTRIAL,108,3.2,0.0
20099,Labette,KS,COMMERCIAL & INDUSTRIAL,6278,1.8,1.8
08073,Lincoln,CO,COMMERCIAL & INDUSTRIAL,7813,1.6,1.6
35009,Curry,NM,COMMERCIAL & INDUSTRIAL,9830,1.0,1.0
48355,Nueces,TX,COMMERCIAL & INDUSTRIAL,10863,0.9,0.9
48039,Brazoria,TX,COMMERCIAL & INDUSTRIAL,5857,0.8,0.0
49021,Iron,UT,COMMERCIAL & INDUSTRIAL,5008,0.8,0.0
49027,Millard,UT,COMMERCIAL & INDUSTRIAL,3247,0.7,0.0
46073,Jerauld,SD,COMMERCIAL & INDUSTRIAL,10134,0.7,0.7
18003,Allen,IN,COMMERCIAL & INDUSTRIAL,7372,0.7,0.1
26099,Macomb,MI,COMMERCIAL & INDUSTRIAL,3005,0.7,0.0
31105,Kimball,NE,COMMERCIAL & INDUSTRIAL,10980,0.6,0.6
38093,Stutsman,ND,COMMERCIAL & INDUSTRIAL,5760,0.6,0.5
48133,Eastland,TX,COMMERCIAL & INDUSTRIAL,2633,0.6,0.0
06037,Los Angeles,CA,COMMERCIAL & INDUSTRIAL,3825,0.5,0.0
49049,Utah,UT,COMMERCIAL & INDUSTRIAL,2666,0.4,0.0
37071,Gaston,NC,COMMERCIAL & INDUSTRIAL,3269,0.4,0.0
48113,Dallas,TX,COMMERCIAL & INDUSTRIAL,3921,0.4,0.0
18097,Marion,IN,COMMERCIAL & INDUSTRIAL,4913,0.4,0.0
48201,Harris,TX,COMMERCIAL & INDUSTRIAL,5537,0.3,0.0
46099,Minnehaha,SD,COMMERCIAL & INDUSTRIAL,9599,0.3,0.3
21207,Russell,KY,COMMERCIAL & INDUSTRIAL,7807,0.3,0.3
40109,Oklahoma,OK,COMMERCIAL & INDUSTRIAL,6706,0.3,0.3
18019,Clark,IN,COMMERCIAL & INDUSTRIAL,2226,0.3,0.0
36011,Cayuga,NY,COMMERCIAL & INDUSTRIAL,1896,0.3,0.0
04003,Cochise,AZ,COMMERCIAL & INDUSTRIAL,1930,0.3,0.0
48027,Bell,TX,COMMERCIAL & INDUSTRIAL,9930,0.3,0.0
08067,La Plata,CO,COMMERCIAL & INDUSTRIAL,1273,0.3,0.0
