fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_btm,wind_tp_btm,wind_ep_btm
40139,Texas,OK,AGRICULTURAL,5870,74.3,37.5
53043,Lincoln,WA,AGRICULTURAL,4811,65.0,0.0
35057,Torrance,NM,AGRICULTURAL,1800,61.8,0.0
26067,Ionia,MI,AGRICULTURAL,1830,32.3,0.0
08063,Kit Carson,CO,AGRICULTURAL,11779,31.5,31.5
30051,Liberty,MT,AGRICULTURAL,9313,30.6,30.6
27069,Kittson,MN,AGRICULTURAL,5884,30.0,30.0
48109,Culberson,TX,AGRICULTURAL,10157,29.2,29.2
38105,Williams,ND,AGRICULTURAL,7113,21.7,13.6
40077,Latimer,OK,AGRICULTURAL,1222,20.6,0.0
48229,Hudspeth,TX,AGRICULTURAL,7112,14.5,14.5
01101,Montgomery,AL,AGRICULTURAL,3537,13.3,0.0
48283,La Salle,TX,AGRICULTURAL,5802,12.8,12.8
48105,Crockett,TX,AGRICULTURAL,10995,12.4,12.4
48421,Sherman,TX,AGRICULTURAL,4454,12.2,0.0
46069,Hyde,SD,AGRICULTURAL,7302,12.1,12.1
46099,Minnehaha,SD,AGRICULTURAL,7688,11.7,11.7
38041,Hettinger,ND,AGRICULTURAL,6750,10.5,5.3
06047,Merced,CA,AGRICULTURAL,20595,10.4,6.2
38029,Emmons,ND,AGRICULTURAL,6669,10.1,7.3
38049,McHenry,ND,AGRICULTURAL,5809,9.4,1.4
48011,Armstrong,TX,AGRICULTURAL,10334,9.2,9.2
45029,Colleton,SC,AGRICULTURAL,2954,8.1,0.0
36045,Jefferson,NY,AGRICULTURAL,6267,8.1,0.7
37061,Duplin,NC,AGRICULTURAL,4251,7.7,0.0
13033,Burke,GA,AGRICULTURAL,2879,7.7,0.0
27045,Fillmore,MN,AGRICULTURAL,9483,7.7,7.7
27091,Martin,MN,AGRICULTURAL,9949,7.6,7.6
48479,Webb,TX,AGRICULTURAL,10245,7.6,7.6
08023,Costilla,CO,AGRICULTURAL,6664,7.1,7.1
48133,Eastland,TX,AGRICULTURAL,11159,7.1,7.1
08021,Conejos,CO,AGRICULTURAL,3960,6.9,0.0
48027,Bell,TX,AGRICULTURAL,4716,6.8,0.0
48491,Williamson,TX,AGRICULTURAL,12712,6.8,6.7
06025,Imperial,CA,AGRICULTURAL,9740,6.7,6.7
55075,Marinette,WI,AGRICULTURAL,5765,6.4,1.4
21209,Scott,KY,AGRICULTURAL,8695,6.3,6.3
06071,San Bernardino,CA,AGRICULTURAL,6380,6.3,6.3
06029,Kern,CA,AGRICULTURAL,1506,6.3,0.0
29163,Pike,MO,AGRICULTURAL,5852,6.2,6.2
31177,Washington,NE,AGRICULTURAL,6486,6.0,6.0
48489,Willacy,TX,AGRICULTURAL,9794,6.0,5.8
48117,Deaf Smith,TX,AGRICULTURAL,7506,6.0,6.0
18177,Wayne,IN,AGRICULTURAL,7775,5.9,5.9
04017,Navajo,AZ,AGRICULTURAL,3725,5.4,0.0
36065,Oneida,NY,AGRICULTURAL,4632,5.2,0.0
17105,Livingston,IL,AGRICULTURAL,8920,5.2,5.2
48251,Johnson,TX,AGRICULTURAL,10646,5.2,5.2
38009,Bottineau,ND,AGRICULTURAL,5966,5.2,1.8
54003,Berkeley,WV,AGRICULTURAL,2415,5.0,0.0
48225,Houston,TX,AGRICULTURAL,4799,5.0,0.0
41037,Lake,OR,AGRICULTURAL,1693,5.0,0.0
30105,Valley,MT,AGRICULTURAL,10338,4.8,4.8
55069,Lincoln,WI,AGRICULTURAL,7701,4.8,4.8
38097,Traill,ND,AGRICULTURAL,7933,4.8,4.8
30041,Hill,MT,AGRICULTURAL,9299,4.8,4.8
48097,Cooke,TX,AGRICULTURAL,9700,4.8,4.8
55025,Dane,WI,AGRICULTURAL,10643,4.6,1.3
17173,Shelby,IL,AGRICULTURAL,7940,4.6,4.6
01061,Geneva,AL,AGRICULTURAL,4836,4.5,0.0
21151,Madison,KY,AGRICULTURAL,6653,4.5,4.5
55039,Fond du Lac,WI,AGRICULTURAL,11962,4.2,2.8
12063,Jackson,FL,AGRICULTURAL,2314,4.2,0.0
30035,Glacier,MT,AGRICULTURAL,10243,4.2,4.2
30071,Phillips,MT,AGRICULTURAL,8849,4.1,4.1
29183,St. Charles,MO,AGRICULTURAL,3581,4.0,0.0
18149,Starke,IN,AGRICULTURAL,8021,3.6,3.6
18053,Grant,IN,AGRICULTURAL,10257,3.5,3.5
01047,Dallas,AL,AGRICULTURAL,4398,3.5,0.0
48209,Hays,TX,AGRICULTURAL,11722,3.5,3.5
20021,Cherokee,KS,AGRICULTURAL,8212,3.5,3.5
17001,Adams,IL,AGRICULTURAL,9217,3.4,3.4
12113,Santa Rosa,FL,AGRICULTURAL,7122,3.4,1.6
49021,Iron,UT,AGRICULTURAL,6272,3.4,1.5
16069,Nez Perce,ID,AGRICULTURAL,6582,3.4,3.4
29081,Harrison,MO,AGRICULTURAL,5503,3.3,0.0
16073,Owyhee,ID,AGRICULTURAL,5201,3.3,0.0
38099,Walsh,ND,AGRICULTURAL,9240,3.3,3.3
48295,Lipscomb,TX,AGRICULTURAL,4930,3.3,0.0
32011,Eureka,NV,AGRICULTURAL,4298,3.3,0.0
46063,Harding,SD,AGRICULTURAL,6999,3.2,3.2
48309,McLennan,TX,AGRICULTURAL,12541,3.2,3.2
48305,Lynn,TX,AGRICULTURAL,9452,3.2,3.2
36017,Chenango,NY,AGRICULTURAL,8435,3.1,2.6
48101,Cottle,TX,AGRICULTURAL,8087,3.1,3.1
36013,Chautauqua,NY,AGRICULTURAL,7872,3.0,2.3
21101,Henderson,KY,AGRICULTURAL,7621,3.0,3.0
55023,Crawford,WI,AGRICULTURAL,3969,3.0,0.0
46037,Day,SD,AGRICULTURAL,7024,3.0,3.0
48497,Wise,TX,AGRICULTURAL,11794,2.9,2.9
13141,Hancock,GA,AGRICULTURAL,3566,2.9,0.0
54077,Preston,WV,AGRICULTURAL,2334,2.9,0.0
48419,Shelby,TX,AGRICULTURAL,2902,2.8,0.0
08123,Weld,CO,AGRICULTURAL,7261,2.8,2.7
38023,Divide,ND,AGRICULTURAL,5849,2.7,2.7
30091,Sheridan,MT,AGRICULTURAL,5810,2.7,2.7
08075,Logan,CO,AGRICULTURAL,5799,2.7,2.7
36089,St. Lawrence,NY,AGRICULTURAL,6980,2.6,0.1
30015,Chouteau,MT,AGRICULTURAL,9704,2.6,2.6
06111,Ventura,CA,AGRICULTURAL,5378,2.6,0.0
48493,Wilson,TX,AGRICULTURAL,7918,2.6,2.6
46029,Codington,SD,AGRICULTURAL,9150,2.6,2.6
48253,Jones,TX,AGRICULTURAL,8498,2.5,2.5
21017,Bourbon,KY,AGRICULTURAL,7311,2.5,1.8
36075,Oswego,NY,AGRICULTURAL,6487,2.5,0.1
16027,Canyon,ID,AGRICULTURAL,5852,2.5,2.5
31101,Keith,NE,AGRICULTURAL,6696,2.5,0.2
48149,Fayette,TX,AGRICULTURAL,7097,2.4,2.0
29205,Shelby,MO,AGRICULTURAL,5434,2.4,0.8
18055,Greene,IN,AGRICULTURAL,10258,2.3,2.3
38083,Sheridan,ND,AGRICULTURAL,6364,2.3,1.6
30057,Madison,MT,AGRICULTURAL,7105,2.3,2.3
36043,Herkimer,NY,AGRICULTURAL,7011,2.2,0.5
20157,Republic,KS,AGRICULTURAL,7998,2.2,2.2
48331,Milam,TX,AGRICULTURAL,6566,2.2,1.9
31031,Cherry,NE,AGRICULTURAL,8322,2.2,2.2
30005,Blaine,MT,AGRICULTURAL,10352,2.2,2.2
48499,Wood,TX,AGRICULTURAL,5754,2.2,1.0
36037,Genesee,NY,AGRICULTURAL,5835,2.2,0.2
