fips,county_name,state_abbr,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
32011,Eureka,NV,158,254.8,0.0
08123,Weld,CO,556,178.5,0.0
08075,Logan,CO,324,162.7,0.0
06047,Merced,CA,214,79.8,0.0
28083,Leflore,MS,302,61.0,0.0
48011,Armstrong,TX,753,56.8,0.0
40047,Garfield,OK,1015,53.6,27.2
21151,Madison,KY,754,52.6,0.0
53043,Lincoln,WA,505,52.0,0.0
08063,Kit Carson,CO,876,49.0,0.0
17075,Iroquois,IL,823,46.4,0.0
49021,Iron,UT,849,39.4,0.0
17053,Ford,IL,1037,37.4,6.3
34005,Burlington,NJ,296,36.3,0.0
17073,Henry,IL,1056,35.1,9.1
28055,Issaquena,MS,200,33.7,0.0
42005,Armstrong,PA,439,33.2,0.0
36045,Jefferson,NY,400,30.4,0.0
20021,Cherokee,KS,1195,29.5,4.5
29205,Shelby,MO,850,28.8,0.0
42117,Tioga,PA,1137,28.3,28.3
40009,Beckham,OK,697,27.9,0.0
40015,Caddo,OK,1014,27.6,26.5
17105,Livingston,IL,1095,26.9,26.9
28133,Sunflower,MS,523,26.6,0.0
17091,Kankakee,IL,918,26.1,0.0
28029,Copiah,MS,122,25.7,0.0
31031,Cherry,NE,1203,25.6,25.6
17135,Montgomery,IL,939,25.3,0.0
17021,Christian,IL,731,24.5,0.0
28119,Quitman,MS,400,24.4,0.0
17107,Logan,IL,793,24.3,0.0
06071,San Bernardino,CA,734,23.9,0.0
16051,Jefferson,ID,450,22.5,0.0
46063,Harding,SD,784,20.9,0.0
29041,Chariton,MO,881,20.7,0.0
17115,Macon,IL,783,20.5,0.0
22075,Plaquemines,LA,147,20.1,0.0
28051,Holmes,MS,295,19.0,0.0
31101,Keith,NE,771,18.9,0.0
20157,Republic,KS,837,18.7,0.0
32003,Clark,NV,699,18.3,0.0
29147,Nodaway,MO,1249,17.8,17.8
24041,Talbot,MD,370,16.8,0.0
36017,Chenango,NY,488,16.7,0.0
17093,Kendall,IL,865,16.7,0.0
17113,McLean,IL,1223,16.5,16.5
46029,Codington,SD,1156,15.7,10.7
18177,Wayne,IN,880,15.7,0.0
39031,Coshocton,OH,379,15.6,0.0
21017,Bourbon,KY,905,15.5,0.0
45089,Williamsburg,SC,463,15.4,0.0
48165,Gaines,TX,502,15.1,0.0
05037,Cross,AR,640,15.1,0.0
35057,Torrance,NM,1140,14.9,14.9
42063,Indiana,PA,366,14.6,0.0
39091,Logan,OH,1328,13.6,13.6
17031,Cook,IL,426,13.5,0.0
48229,Hudspeth,TX,225,13.4,0.0
06049,Modoc,CA,530,13.2,0.0
48055,Caldwell,TX,105,13.1,0.0
08073,Lincoln,CO,299,12.8,0.0
12086,Miami-Dade,FL,128,12.7,0.0
48255,Karnes,TX,434,12.7,0.0
17079,Jasper,IL,811,12.6,0.0
48283,La Salle,TX,323,12.5,0.0
31001,Adams,NE,1017,12.5,0.3
30011,Carter,MT,918,12.4,8.7
36037,Genesee,NY,376,12.4,0.0
31125,Nance,NE,1028,12.1,6.2
17027,Clinton,IL,820,12.1,0.0
48475,Ward,TX,158,11.3,0.0
27165,Watonwan,MN,1079,11.2,2.5
48491,Williamson,TX,593,10.9,0.0
27027,Clay,MN,770,10.8,0.0
29101,Johnson,MO,982,10.7,1.2
08027,Custer,CO,73,10.6,0.0
48109,Culberson,TX,382,10.3,0.0
29091,Howell,MO,637,10.3,0.0
27005,Becker,MN,788,10.3,0.0
29199,Scotland,MO,901,10.2,0.0
30041,Hill,MT,881,10.1,0.0
29115,Linn,MO,1143,10.0,9.8
05023,Cleburne,AR,478,9.6,0.0
20087,Jefferson,KS,1099,9.6,3.7
48127,Dimmit,TX,339,9.4,0.0
48051,Burleson,TX,434,9.4,0.0
30015,Chouteau,MT,1001,9.3,0.9
39147,Seneca,OH,929,9.3,0.0
30035,Glacier,MT,1034,9.3,2.2
20119,Meade,KS,672,9.2,0.0
31087,Hitchcock,NE,757,9.1,0.0
29131,Miller,MO,677,9.1,0.0
30085,Roosevelt,MT,532,9.1,0.0
39021,Champaign,OH,878,9.0,0.0
29133,Mississippi,MO,633,9.0,0.0
29145,Newton,MO,1280,8.9,8.9
31057,Dundy,NE,683,8.9,0.0
31085,Hayes,NE,689,8.8,0.0
31117,McPherson,NE,863,8.8,0.0
48371,Pecos,TX,395,8.8,0.0
38105,Williams,ND,864,8.7,0.0
36093,Schenectady,NY,420,8.7,0.0
46091,Marshall,SD,972,8.5,0.5
20029,Cloud,KS,589,8.5,0.0
31011,Boone,NE,1001,8.5,0.5
31107,Knox,NE,1269,8.4,6.1
35013,Doña Ana,NM,429,8.4,0.0
53071,Walla Walla,WA,216,8.4,0.0
30105,Valley,MT,1041,8.4,7.4
48093,Comanche,TX,418,8.4,0.0
30087,Rosebud,MT,659,8.4,0.0
46123,Tripp,SD,1131,8.3,1.3
30075,Powder River,MT,664,8.3,0.0
28053,Humphreys,MS,431,8.2,0.0
48149,Fayette,TX,252,8.1,0.0
38025,Dunn,ND,838,8.0,0.3
30027,Fergus,MT,885,7.9,0.0
20085,Jackson,KS,1152,7.8,1.6
18053,Grant,IN,942,7.8,0.0
17173,Shelby,IL,867,7.8,0.0
48287,Lee,TX,452,7.7,0.0
40145,Wagoner,OK,1039,7.6,7.6
19093,Ida,IA,1072,7.5,2.5
31147,Richardson,NE,1143,7.4,1.3
38085,Sioux,ND,988,7.4,1.2
48461,Upton,TX,381,7.3,0.0
48319,Mason,TX,260,7.3,0.0
40045,Ellis,OK,1039,7.3,7.3
05059,Hot Spring,AR,502,7.3,0.0
46071,Jackson,SD,490,7.3,0.0
48193,Hamilton,TX,762,7.2,0.0
46067,Hutchinson,SD,1053,7.2,1.0
27169,Winona,MN,788,7.1,0.0
53025,Grant,WA,277,7.1,0.0
48345,Motley,TX,504,7.1,0.0
17159,Richland,IL,796,7.1,0.0
20099,Labette,KS,958,6.9,0.0
31019,Buffalo,NE,1063,6.8,6.8
31139,Pierce,NE,1348,6.8,6.8
31167,Stanton,NE,1444,6.8,6.8
20185,Stafford,KS,883,6.8,0.0
30059,Meagher,MT,590,6.8,0.0
30071,Phillips,MT,804,6.7,0.0
40075,Kiowa,OK,489,6.7,0.0
20203,Wichita,KS,854,6.6,0.0
20027,Clay,KS,783,6.6,0.0
30111,Yellowstone,MT,536,6.6,0.0
20009,Barton,KS,805,6.5,0.0
17033,Crawford,IL,1032,6.5,6.5
29017,Bollinger,MO,370,6.4,0.0
54037,Jefferson,WV,304,6.4,0.0
20115,Marion,KS,1009,6.4,6.4
17163,St. Clair,IL,475,6.4,0.0
39141,Ross,OH,369,6.4,0.0
20141,Osborne,KS,651,6.4,0.0
31165,Sioux,NE,395,6.2,0.0
20047,Edwards,KS,829,6.2,0.0
20095,Kingman,KS,796,6.2,0.0
20033,Comanche,KS,628,6.2,0.0
31069,Garden,NE,920,6.2,0.0
38101,Ward,ND,1082,6.1,0.6
31027,Cedar,NE,1338,6.1,6.1
44007,Providence,RI,201,6.0,0.0
31077,Greeley,NE,993,6.0,0.0
31093,Howard,NE,967,6.0,0.0
06021,Glenn,CA,606,5.9,0.0
31039,Cuming,NE,1207,5.9,5.9
31161,Sheridan,NE,911,5.8,2.2
48183,Gregg,TX,566,5.8,0.0
19003,Adams,IA,1016,5.8,0.5
41005,Clackamas,OR,78,5.7,0.0
30107,Wheatland,MT,570,5.7,0.0
22007,Assumption,LA,212,5.7,0.0
29045,Clark,MO,1017,5.7,5.7
27077,Lake of the Woods,MN,751,5.7,0.0
30057,Madison,MT,373,5.7,0.0
48457,Tyler,TX,17,5.7,0.0
48115,Dawson,TX,404,5.7,0.0
19095,Iowa,IA,956,5.6,0.0
20207,Woodson,KS,975,5.6,0.0
48263,Kent,TX,408,5.5,0.0
20165,Rush,KS,777,5.5,0.0
29121,Macon,MO,791,5.4,0.0
19107,Keokuk,IA,929,5.4,0.0
49003,Box Elder,UT,311,5.4,0.0
56027,Niobrara,WY,786,5.3,0.0
46011,Brookings,SD,711,5.3,0.0
04001,Apache,AZ,434,5.3,0.0
48247,Jim Hogg,TX,601,5.2,0.0
46005,Beadle,SD,667,5.2,0.0
31015,Boyd,NE,787,5.2,0.0
31181,Webster,NE,1158,5.1,0.5
26141,Presque Isle,MI,1277,5.1,5.1
19041,Clay,IA,988,5.1,2.5
19047,Crawford,IA,1291,5.0,5.0
38089,Stark,ND,705,5.0,0.0
13115,Floyd,GA,12,5.0,0.0
27095,Mille Lacs,MN,580,5.0,0.0
29195,Saline,MO,998,4.9,0.4
30055,McCone,MT,952,4.9,0.4
38007,Billings,ND,818,4.9,0.0
48141,El Paso,TX,175,4.8,0.0
08125,Yuma,CO,850,4.8,0.0
36069,Ontario,NY,562,4.8,0.0
04021,Pinal,AZ,35,4.7,0.0
46105,Perkins,SD,1008,4.6,0.6
38037,Grant,ND,944,4.6,0.0
48103,Crane,TX,302,4.5,0.0
48451,Tom Green,TX,478,4.5,0.0
31099,Kearney,NE,1235,4.5,2.2
48111,Dallam,TX,635,4.5,0.0
48105,Crockett,TX,685,4.4,0.0
48269,King,TX,387,4.4,0.0
12101,Pasco,FL,145,4.4,0.0
31047,Dawson,NE,863,4.4,0.0
48421,Sherman,TX,804,4.3,0.0
48465,Val Verde,TX,340,4.3,0.0
16011,Bingham,ID,634,4.3,0.0
18049,Fulton,IN,901,4.3,0.0
38041,Hettinger,ND,825,4.3,0.0
27129,Renville,MN,956,4.2,3.2
30073,Pondera,MT,794,4.1,0.0
19165,Shelby,IA,1358,4.1,4.1
16087,Washington,ID,6,4.1,0.0
46077,Kingsbury,SD,782,4.1,0.0
38093,Stutsman,ND,898,4.1,0.0
38029,Emmons,ND,777,4.1,0.0
46061,Hanson,SD,760,4.0,0.0
30065,Musselshell,MT,741,4.0,0.0
48311,McMullen,TX,578,4.0,0.0
48331,Milam,TX,606,4.0,0.0
41055,Sherman,OR,785,3.9,0.0
27167,Wilkin,MN,1079,3.9,0.4
56003,Big Horn,WY,386,3.8,0.0
31143,Polk,NE,1237,3.6,1.5
46069,Hyde,SD,739,3.6,0.0
35039,Rio Arriba,NM,104,3.6,0.0
20189,Stevens,KS,818,3.5,0.0
18005,Bartholomew,IN,289,3.5,0.0
31051,Dixon,NE,1504,3.5,3.5
30005,Blaine,MT,1460,3.5,0.2
16033,Clark,ID,174,3.4,0.0
20107,Linn,KS,944,3.4,0.0
19187,Webster,IA,1172,3.4,1.9
46021,Campbell,SD,651,3.4,0.0
48075,Childress,TX,703,3.4,0.0
27137,St. Louis,MN,819,3.3,0.0
19045,Clinton,IA,992,3.3,2.8
30097,Sweet Grass,MT,545,3.3,0.0
38049,McHenry,ND,629,3.2,0.0
20173,Sedgwick,KS,944,3.2,0.7
17187,Warren,IL,1222,3.2,3.2
31151,Saline,NE,1261,3.2,1.6
27113,Pennington,MN,959,3.2,0.0
19157,Poweshiek,IA,1090,3.2,3.2
40153,Woodward,OK,1242,3.2,2.4
40043,Dewey,OK,1250,3.1,2.0
40071,Kay,OK,1126,3.1,0.3
18183,Whitley,IN,841,3.1,0.0
31063,Frontier,NE,758,3.1,0.0
30099,Teton,MT,821,3.1,0.1
18011,Boone,IN,1247,3.0,3.0
31155,Saunders,NE,1235,2.9,0.7
19021,Buena Vista,IA,1251,2.9,2.4
19147,Palo Alto,IA,1090,2.9,1.9
39169,Wayne,OH,112,2.9,0.0
48133,Eastland,TX,927,2.9,0.0
46023,Charles Mix,SD,1075,2.9,0.5
46093,Meade,SD,832,2.9,0.0
40149,Washita,OK,1223,2.9,1.8
48387,Red River,TX,530,2.8,0.0
18141,St. Joseph,IN,793,2.8,0.0
31127,Nemaha,NE,945,2.8,0.0
31149,Rock,NE,1140,2.7,2.7
17099,LaSalle,IL,982,2.7,0.4
20159,Rice,KS,1008,2.7,2.7
30003,Big Horn,MT,410,2.7,0.0
38011,Bowman,ND,816,2.7,0.0
20145,Pawnee,KS,864,2.7,0.0
20053,Ellsworth,KS,924,2.7,0.0
04019,Pima,AZ,19,2.7,0.0
19061,Dubuque,IA,1046,2.7,2.7
40029,Coal,OK,635,2.7,0.0
19175,Union,IA,1163,2.7,2.7
19051,Davis,IA,939,2.7,0.0
45075,Orangeburg,SC,460,2.7,0.0
20067,Grant,KS,515,2.7,0.0
27043,Faribault,MN,1100,2.6,0.5
18157,Tippecanoe,IN,853,2.6,0.0
19103,Johnson,IA,854,2.6,0.0
48479,Webb,TX,470,2.6,0.0
46053,Gregory,SD,1373,2.6,2.6
19161,Sac,IA,766,2.6,0.0
48295,Lipscomb,TX,854,2.6,0.0
48027,Bell,TX,752,2.6,0.0
27015,Brown,MN,924,2.6,0.0
40007,Beaver,OK,854,2.5,0.0
46111,Sanborn,SD,665,2.5,0.0
20129,Morton,KS,744,2.5,0.0
27057,Hubbard,MN,802,2.5,0.0
46043,Douglas,SD,1007,2.5,2.5
46135,Yankton,SD,832,2.5,0.0
40027,Cleveland,OK,920,2.5,0.0
48423,Smith,TX,161,2.5,0.0
20041,Dickinson,KS,1075,2.5,1.8
20131,Nemaha,KS,1307,2.5,0.3
38015,Burleigh,ND,583,2.5,0.0
01037,Coosa,AL,16,2.5,0.0
48155,Foard,TX,339,2.4,0.0
48411,San Saba,TX,737,2.4,0.0
27107,Norman,MN,949,2.4,0.3
29117,Livingston,MO,868,2.4,0.0
19163,Scott,IA,838,2.4,0.0
29159,Pettis,MO,977,2.4,0.0
46037,Day,SD,1081,2.4,0.9
40081,Lincoln,OK,1066,2.4,0.3
38045,LaMoure,ND,825,2.4,0.0
06025,Imperial,CA,14,2.3,0.0
