fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
36045,Jefferson,NY,RESIDENTIAL,403,28.8,0.0
22075,Plaquemines,LA,RESIDENTIAL,147,20.1,0.0
08073,Lincoln,CO,RESIDENTIAL,296,11.2,0.0
06071,San Bernardino,CA,RESIDENTIAL,732,9.5,0.0
48461,Upton,TX,RESIDENTIAL,430,5.7,0.0
48115,Dawson,TX,RESIDENTIAL,404,5.7,0.0
38007,Billings,ND,RESIDENTIAL,818,4.9,0.0
48475,Ward,TX,RESIDENTIAL,139,4.6,0.0
05109,Pike,AR,RESIDENTIAL,122,2.3,0.0
05041,Desha,AR,RESIDENTIAL,464,2.0,0.0
26039,Crawford,MI,RESIDENTIAL,863,1.9,0.0
05017,Chicot,AR,RESIDENTIAL,441,1.8,0.0
32031,Washoe,NV,RESIDENTIAL,356,1.6,0.0
05001,Arkansas,AR,RESIDENTIAL,494,1.5,0.0
38025,Dunn,ND,RESIDENTIAL,948,1.5,0.3
29015,Benton,MO,RESIDENTIAL,563,1.2,0.0
05011,Bradley,AR,RESIDENTIAL,260,1.1,0.0
24045,Wicomico,MD,RESIDENTIAL,379,0.7,0.0
29085,Hickory,MO,RESIDENTIAL,402,0.6,0.0
48057,Calhoun,TX,RESIDENTIAL,47,0.3,0.0
29155,Pemiscot,MO,RESIDENTIAL,703,0.3,0.0
04013,Maricopa,AZ,RESIDENTIAL,220,0.3,0.0
04025,Yavapai,AZ,RESIDENTIAL,137,0.3,0.0
