fips,county_name,state_abbr,turbine_class,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
32011,Eureka,NV,large,259,254.8,0.0
08123,Weld,CO,large,913,178.5,1.7
08075,Logan,CO,large,532,162.7,0.0
06047,Merced,CA,large,352,79.8,0.0
28083,Leflore,MS,large,497,61.0,0.0
48011,Armstrong,TX,large,1237,56.8,56.8
40047,Garfield,OK,large,1668,53.6,53.6
21151,Madison,KY,large,1240,52.6,52.6
53043,Lincoln,WA,large,829,52.0,0.0
08063,Kit Carson,CO,large,1439,49.0,49.0
17075,Iroquois,IL,large,1352,46.4,46.4
49021,Iron,UT,large,1395,39.4,37.7
17053,Ford,IL,large,1704,37.4,37.4
34005,Burlington,NJ,large,486,36.3,0.0
17073,Henry,IL,large,1735,35.1,35.1
28055,Issaquena,MS,large,328,33.7,0.0
42005,Armstrong,PA,large,721,33.2,0.0
36045,Jefferson,NY,large,658,30.4,0.0
20021,Cherokee,KS,large,1964,29.5,29.5
29205,Shelby,MO,large,1397,28.8,28.8
42117,Tioga,PA,large,1868,28.3,28.3
40009,Beckham,OK,large,1145,27.9,27.9
40015,Caddo,OK,large,1666,27.6,27.6
17105,Livingston,IL,large,1799,26.9,26.9
28133,Sunflower,MS,large,859,26.6,0.0
17091,Kankakee,IL,large,1508,26.1,26.1
28029,Copiah,MS,large,201,25.7,0.0
31031,Cherry,NE,large,1976,25.6,25.6
17135,Montgomery,IL,large,1542,25.3,25.3
17021,Christian,IL,large,1201,24.5,24.5
28119,Quitman,MS,large,657,24.4,0.0
17107,Logan,IL,large,1302,24.3,24.3
06071,San Bernardino,CA,large,1206,23.9,16.5
16051,Jefferson,ID,large,740,22.5,0.0
46063,Harding,SD,large,1289,20.9,20.9
29041,Chariton,MO,large,1447,20.7,20.7
17115,Macon,IL,large,1287,20.5,20.5
22075,Plaquemines,LA,large,241,20.1,0.0
28051,Holmes,MS,large,484,19.0,0.0
31101,Keith,NE,large,1266,18.9,1.5
20157,Republic,KS,large,1375,18.7,18.7
32003,Clark,NV,large,1148,18.3,11.9
29147,Nodaway,MO,large,2052,17.8,17.8
24041,Talbot,MD,large,607,16.8,0.0
