fips,county_name,state_abbr,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
32011,Eureka,NV,259,254.8,0.0
08123,Weld,CO,913,178.5,1.7
08075,Logan,CO,532,162.7,0.0
06047,Merced,CA,352,79.8,0.0
28083,Leflore,MS,497,61.0,0.0
48011,Armstrong,TX,1237,56.8,56.8
40047,Garfield,OK,1668,53.6,53.6
21151,Madison,KY,1240,52.6,52.6
53043,Lincoln,WA,829,52.0,0.0
08063,Kit Carson,CO,1439,49.0,49.0
17075,Iroquois,IL,1352,46.4,46.4
49021,Iron,UT,1395,39.4,37.7
17053,Ford,IL,1704,37.4,37.4
34005,Burlington,NJ,486,36.3,0.0
17073,Henry,IL,1735,35.1,35.1
28055,Issaquena,MS,328,33.7,0.0
42005,Armstrong,PA,721,33.2,0.0
36045,Jefferson,NY,658,30.4,0.0
20021,Cherokee,KS,1964,29.5,29.5
29205,Shelby,MO,1397,28.8,28.8
42117,Tioga,PA,1868,28.3,28.3
40009,Beckham,OK,1145,27.9,27.9
40015,Caddo,OK,1666,27.6,27.6
17105,Livingston,IL,1799,26.9,26.9
28133,Sunflower,MS,859,26.6,0.0
17091,Kankakee,IL,1508,26.1,26.1
28029,Copiah,MS,201,25.7,0.0
31031,Cherry,NE,1976,25.6,25.6
17135,Montgomery,IL,1542,25.3,25.3
17021,Christian,IL,1201,24.5,24.5
28119,Quitman,MS,657,24.4,0.0
17107,Logan,IL,1302,24.3,24.3
06071,San Bernardino,CA,1206,23.9,16.5
16051,Jefferson,ID,740,22.5,0.0
46063,Harding,SD,1289,20.9,20.9
29041,Chariton,MO,1447,20.7,20.7
17115,Macon,IL,1287,20.5,20.5
22075,Plaquemines,LA,241,20.1,0.0
28051,Holmes,MS,484,19.0,0.0
31101,Keith,NE,1266,18.9,1.5
20157,Republic,KS,1375,18.7,18.7
32003,Clark,NV,1148,18.3,11.9
29147,Nodaway,MO,2052,17.8,17.8
24041,Talbot,MD,607,16.8,0.0
36017,Chenango,NY,801,16.7,0.0
