fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
17031,Cook,IL,COMMERCIAL & INDUSTRIAL,128,13.5,0.0
18157,Tippecanoe,IN,COMMERCIAL & INDUSTRIAL,479,2.6,0.0
48359,Oldham,TX,COMMERCIAL & INDUSTRIAL,19,2.3,0.0
08073,Lincoln,CO,COMMERCIAL & INDUSTRIAL,26,1.6,0.0
49021,Iron,UT,COMMERCIAL & INDUSTRIAL,559,1.3,0.0
49027,Millard,UT,COMMERCIAL & INDUSTRIAL,276,1.3,0.0
35009,Curry,NM,COMMERCIAL & INDUSTRIAL,153,1.0,0.0
31105,Kimball,NE,COMMERCIAL & INDUSTRIAL,248,0.9,0.0
48355,Nueces,TX,COMMERCIAL & INDUSTRIAL,425,0.7,0.0
26099,Macomb,MI,COMMERCIAL & INDUSTRIAL,199,0.6,0.0
49049,Utah,UT,COMMERCIAL & INDUSTRIAL,145,0.5,0.0
17117,Macoupin,IL,COMMERCIAL & INDUSTRIAL,468,0.5,0.0
48133,Eastland,TX,COMMERCIAL & INDUSTRIAL,269,0.5,0.0
48039,Brazoria,TX,COMMERCIAL & INDUSTRIAL,33,0.5,0.0
37071,Gaston,NC,COMMERCIAL & INDUSTRIAL,190,0.3,0.0
04003,Cochise,AZ,COMMERCIAL & INDUSTRIAL,16,0.2,0.0
