fips,county_name,state_abbr,underserved,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
08123,Weld,CO,True,233,171.0,0.0
28083,Leflore,MS,True,160,61.0,0.0
40015,Caddo,OK,True,305,26.5,0.0
40047,Garfield,OK,True,133,26.5,0.0
17091,Kankakee,IL,True,392,24.7,0.0
28119,Quitman,MS,True,229,24.4,0.0
17107,Logan,IL,True,381,24.3,0.0
28051,Holmes,MS,True,133,19.0,0.0
29147,Nodaway,MO,True,153,17.8,0.0
24041,Talbot,MD,True,231,16.8,0.0
17113,McLean,IL,True,630,16.5,0.0
21017,Bourbon,KY,True,439,15.5,0.0
05037,Cross,AR,True,398,15.1,0.0
35057,Torrance,NM,True,895,14.9,0.0
48165,Gaines,TX,True,24,14.1,0.0
08073,Lincoln,CO,True,21,11.2,0.0
29205,Shelby,MO,True,437,9.9,0.0
29091,Howell,MO,True,121,9.8,0.0
48491,Williamson,TX,True,63,9.6,0.0
29133,Mississippi,MO,True,309,9.0,0.0
48229,Hudspeth,TX,True,74,8.9,0.0
53043,Lincoln,WA,True,158,8.5,0.0
35013,Doña Ana,NM,True,265,8.4,0.0
30105,Valley,MT,True,602,8.4,0.0
48093,Comanche,TX,True,83,8.4,0.0
30015,Chouteau,MT,True,528,8.3,0.0
28053,Humphreys,MS,True,255,8.2,0.0
18053,Grant,IN,True,587,7.8,0.0
40145,Wagoner,OK,True,103,7.6,0.0
30075,Powder River,MT,True,356,7.6,0.0
48283,La Salle,TX,True,61,7.4,0.0
48319,Mason,TX,True,8,7.3,0.0
20099,Labette,KS,True,144,6.9,0.0
17053,Ford,IL,True,574,6.3,0.0
17027,Clinton,IL,True,478,6.2,0.0
32003,Clark,NV,True,552,6.1,0.0
30107,Wheatland,MT,True,288,5.7,0.0
48115,Dawson,TX,True,150,5.7,0.0
48263,Kent,TX,True,150,5.5,0.0
06021,Glenn,CA,True,393,5.3,0.0
48247,Jim Hogg,TX,True,192,5.2,0.0
36069,Ontario,NY,True,219,4.8,0.0
48127,Dimmit,TX,True,2,4.5,0.0
08125,Yuma,CO,True,364,4.3,0.0
48421,Sherman,TX,True,18,4.3,0.0
48311,McMullen,TX,True,197,4.0,0.0
48331,Milam,TX,True,264,4.0,0.0
41055,Sherman,OR,True,424,3.9,0.0
30073,Pondera,MT,True,455,3.7,0.0
30005,Blaine,MT,True,569,3.3,0.0
06071,San Bernardino,CA,True,570,3.3,0.0
49021,Iron,UT,True,487,3.0,0.0
48371,Pecos,TX,True,104,2.9,0.0
20053,Ellsworth,KS,True,18,2.7,0.0
45075,Orangeburg,SC,True,142,2.7,0.0
40027,Cleveland,OK,True,271,2.5,0.0
40071,Kay,OK,True,200,2.4,0.0
20021,Cherokee,KS,True,134,2.3,0.0
37019,Brunswick,NC,True,545,2.3,0.0
31161,Sheridan,NE,True,139,2.2,0.0
31031,Cherry,NE,True,95,2.2,0.0
48447,Throckmorton,TX,True,348,2.2,0.0
30035,Glacier,MT,True,576,2.1,0.0
53039,Klickitat,WA,True,180,2.1,0.0
51001,Accomack,VA,True,662,2.0,0.0
01013,Butler,AL,True,52,2.0,0.0
05041,Desha,AR,True,250,2.0,0.0
48153,Floyd,TX,True,114,2.0,0.0
18131,Pulaski,IN,True,478,1.9,0.0
29097,Jasper,MO,True,145,1.9,0.0
05017,Chicot,AR,True,236,1.8,0.0
30051,Liberty,MT,True,446,1.8,0.0
20031,Coffey,KS,True,137,1.7,0.0
32031,Washoe,NV,True,262,1.6,0.0
55025,Dane,WI,True,392,1.4,0.0
47095,Lake,TN,True,336,1.4,0.0
23029,Washington,ME,True,363,1.4,0.0
22035,East Carroll,LA,True,351,1.3,0.0
26067,Ionia,MI,True,573,1.3,0.0
37061,Duplin,NC,True,277,1.3,0.0
48209,Hays,TX,True,362,1.2,0.0
48465,Val Verde,TX,True,99,1.2,0.0
22123,West Carroll,LA,True,263,1.2,0.0
05011,Bradley,AR,True,88,1.1,0.0
48305,Lynn,TX,True,193,1.1,0.0
45003,Aiken,SC,True,17,1.1,0.0
38019,Cavalier,ND,True,126,1.1,0.0
40151,Woods,OK,True,53,1.1,0.0
40097,Mayes,OK,True,82,1.0,0.0
05001,Arkansas,AR,True,248,1.0,0.0
40073,Kingfisher,OK,True,112,1.0,0.0
40091,McIntosh,OK,True,136,1.0,0.0
29145,Newton,MO,True,46,1.0,0.0
35035,Otero,NM,True,57,0.9,0.0
29211,Sullivan,MO,True,162,0.9,0.0
47077,Henderson,TN,True,128,0.8,0.0
16083,Twin Falls,ID,True,233,0.8,0.0
40041,Delaware,OK,True,396,0.7,0.0
21045,Casey,KY,True,228,0.7,0.0
21047,Christian,KY,True,200,0.7,0.0
17011,Bureau,IL,True,400,0.7,0.0
48443,Terrell,TX,True,53,0.7,0.0
18181,White,IN,True,637,0.7,0.0
48219,Hockley,TX,True,133,0.7,0.0
21079,Garrard,KY,True,5,0.7,0.0
29155,Pemiscot,MO,True,417,0.7,0.0
48027,Bell,TX,True,258,0.7,0.0
37155,Robeson,NC,True,259,0.7,0.0
20195,Trego,KS,True,25,0.7,0.0
20041,Dickinson,KS,True,35,0.7,0.0
51025,Brunswick,VA,True,106,0.6,0.0
06065,Riverside,CA,True,1001,0.6,0.3
26099,Macomb,MI,True,199,0.6,0.0
06047,Merced,CA,True,13,0.6,0.0
48309,McLennan,TX,True,262,0.6,0.0
31019,Buffalo,NE,True,117,0.6,0.0
31059,Fillmore,NE,True,141,0.5,0.0
30033,Garfield,MT,True,591,0.5,0.0
24045,Wicomico,MD,True,391,0.5,0.0
18031,Decatur,IN,True,480,0.5,0.0
48225,Houston,TX,True,25,0.5,0.0
37163,Sampson,NC,True,247,0.5,0.0
28011,Bolivar,MS,True,328,0.5,0.0
48131,Duval,TX,True,82,0.5,0.0
48039,Brazoria,TX,True,33,0.5,0.0
51135,Nottoway,VA,True,257,0.5,0.0
