fips,county_name,state_abbr,land_use_short,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
36045,Jefferson,NY,RESIDENTIAL,154,28.8,0.0
22075,Plaquemines,LA,RESIDENTIAL,73,20.1,0.0
08073,Lincoln,CO,RESIDENTIAL,21,11.2,0.0
06071,San Bernardino,CA,RESIDENTIAL,567,9.5,0.0
48461,Upton,TX,RESIDENTIAL,150,5.7,0.0
48115,Dawson,TX,RESIDENTIAL,150,5.7,0.0
05041,Desha,AR,RESIDENTIAL,250,2.0,0.0
26039,Crawford,MI,RESIDENTIAL,515,1.9,0.0
05017,Chicot,AR,RESIDENTIAL,236,1.8,0.0
32031,Washoe,NV,RESIDENTIAL,262,1.6,0.0
05001,Arkansas,AR,RESIDENTIAL,258,1.5,0.0
05011,Bradley,AR,RESIDENTIAL,88,1.1,0.0
24045,Wicomico,MD,RESIDENTIAL,188,0.7,0.0
29155,Pemiscot,MO,RESIDENTIAL,393,0.3,0.0
04013,Maricopa,AZ,RESIDENTIAL,107,0.3,0.0
04025,Yavapai,AZ,RESIDENTIAL,111,0.3,0.0
