fips,county_name,state_abbr,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
32011,Eureka,NV,133,254.8,0.0
08123,Weld,CO,222,171.5,0.0
08075,Logan,CO,121,162.7,0.0
28083,Leflore,MS,160,61.0,0.0
40047,Garfield,OK,158,53.6,0.0
21151,Madison,KY,289,52.6,0.0
53043,Lincoln,WA,206,52.0,0.0
08063,Kit Carson,CO,462,49.0,0.0
17075,Iroquois,IL,357,46.4,0.0
49021,Iron,UT,626,39.4,0.0
17053,Ford,IL,506,37.4,0.0
34005,Burlington,NJ,124,36.3,0.0
17073,Henry,IL,528,35.1,0.0
28055,Issaquena,MS,75,33.7,0.0
42005,Armstrong,PA,240,33.2,0.0
36045,Jefferson,NY,148,30.4,0.0
20021,Cherokee,KS,109,29.5,0.0
29205,Shelby,MO,420,28.8,0.0
42117,Tioga,PA,717,28.3,0.0
40015,Caddo,OK,274,27.6,0.0
17105,Livingston,IL,540,26.9,0.0
28133,Sunflower,MS,315,26.6,0.0
17091,Kankakee,IL,442,26.1,0.0
28029,Copiah,MS,17,25.7,0.0
17135,Montgomery,IL,478,25.3,0.0
17021,Christian,IL,338,24.5,0.0
28119,Quitman,MS,229,24.4,0.0
17107,Logan,IL,381,24.3,0.0
06071,San Bernardino,CA,567,23.9,0.0
16051,Jefferson,ID,149,22.5,0.0
17115,Macon,IL,371,20.5,0.0
22075,Plaquemines,LA,73,20.1,0.0
28051,Holmes,MS,133,19.0,0.0
32003,Clark,NV,508,18.3,0.0
29147,Nodaway,MO,153,17.8,0.0
24041,Talbot,MD,231,16.8,0.0
36017,Chenango,NY,180,16.7,0.0
17093,Kendall,IL,413,16.7,0.0
17113,McLean,IL,630,16.5,0.0
18177,Wayne,IN,524,15.7,0.0
39031,Coshocton,OH,212,15.6,0.0
21017,Bourbon,KY,439,15.5,0.0
45089,Williamsburg,SC,244,15.4,0.0
48165,Gaines,TX,50,15.1,0.0
05037,Cross,AR,398,15.1,0.0
35057,Torrance,NM,895,14.9,0.0
42063,Indiana,PA,238,14.6,0.0
39091,Logan,OH,897,13.6,0.0
17031,Cook,IL,128,13.5,0.0
08073,Lincoln,CO,25,12.8,0.0
12086,Miami-Dade,FL,74,12.7,0.0
17079,Jasper,IL,410,12.6,0.0
36037,Genesee,NY,91,12.4,0.0
17027,Clinton,IL,466,12.1,0.0
48491,Williamson,TX,192,10.9,0.0
29091,Howell,MO,351,10.3,0.0
29199,Scotland,MO,412,10.2,0.0
30041,Hill,MT,534,10.1,0.0
29115,Linn,MO,210,9.8,0.0
48255,Karnes,TX,168,9.4,0.0
48051,Burleson,TX,131,9.4,0.0
30015,Chouteau,MT,551,9.3,0.0
39147,Seneca,OH,605,9.3,0.0
30035,Glacier,MT,592,9.3,0.0
29131,Miller,MO,293,9.1,0.0
31031,Cherry,NE,75,9.0,0.0
39021,Champaign,OH,574,9.0,0.0
29133,Mississippi,MO,309,9.0,0.0
48109,Culberson,TX,142,9.0,0.0
29145,Newton,MO,202,8.9,0.0
48229,Hudspeth,TX,74,8.9,0.0
48371,Pecos,TX,162,8.8,0.0
36093,Schenectady,NY,163,8.7,0.0
48127,Dimmit,TX,55,8.6,0.0
35013,Doña Ana,NM,265,8.4,0.0
30105,Valley,MT,602,8.4,0.0
48093,Comanche,TX,83,8.4,0.0
30087,Rosebud,MT,358,8.4,0.0
06049,Modoc,CA,346,8.3,0.0
30075,Powder River,MT,361,8.3,0.0
28053,Humphreys,MS,255,8.2,0.0
30027,Fergus,MT,504,7.9,0.0
18053,Grant,IN,587,7.8,0.0
17173,Shelby,IL,468,7.8,0.0
48287,Lee,TX,124,7.7,0.0
40145,Wagoner,OK,103,7.6,0.0
48283,La Salle,TX,61,7.4,0.0
48461,Upton,TX,124,7.3,0.0
48319,Mason,TX,8,7.3,0.0
40045,Ellis,OK,113,7.3,0.0
05059,Hot Spring,AR,254,7.3,0.0
48193,Hamilton,TX,328,7.2,0.0
48345,Motley,TX,214,7.1,0.0
17159,Richland,IL,398,7.1,0.0
20099,Labette,KS,144,6.9,0.0
31167,Stanton,NE,102,6.8,0.0
30059,Meagher,MT,267,6.8,0.0
30071,Phillips,MT,433,6.7,0.0
17033,Crawford,IL,555,6.5,0.0
29017,Bollinger,MO,151,6.4,0.0
