state_abbr,sector_abbr,tech,year,observed_solar_mw,observed_storage_mw,observed_storage_mwh
AL,com,storage,2014,,0.025757576,0.059090909
AR,com,storage,2014,,0.025757576,0.059090909
AZ,com,storage,2014,,0,0
CA,com,storage,2014,,2.7,5.5
CO,com,storage,2014,,0,0
CT,com,storage,2014,,0.025757576,0.059090909
DC,com,storage,2014,,0.025757576,0.059090909
DE,com,storage,2014,,0.071428571,0.114285714
FL,com,storage,2014,,0,0
GA,com,storage,2014,,0.025757576,0.059090909
IA,com,storage,2014,,0.025757576,0.059090909
ID,com,storage,2014,,0.025757576,0.059090909
IL,com,storage,2014,,0.025757576,0.059090909
IN,com,storage,2014,,0.025757576,0.059090909
KS,com,storage,2014,,0.025757576,0.059090909
KY,com,storage,2014,,0.071428571,0.114285714
LA,com,storage,2014,,0.025757576,0.059090909
MA,com,storage,2014,,0,0
MD,com,storage,2014,,0.071428571,0.114285714
ME,com,storage,2014,,0.025757576,0.059090909
MI,com,storage,2014,,0.025757576,0.059090909
MN,com,storage,2014,,0.025757576,0.059090909
MO,com,storage,2014,,0.025757576,0.059090909
MS,com,storage,2014,,0.025757576,0.059090909
MT,com,storage,2014,,0.025757576,0.059090909
NC,com,storage,2014,,0.025757576,0.059090909
ND,com,storage,2014,,0.025757576,0.059090909
NE,com,storage,2014,,0.025757576,0.059090909
NH,com,storage,2014,,0.025757576,0.059090909
NJ,com,storage,2014,,0.25,0.15
NM,com,storage,2014,,0.025757576,0.059090909
NV,com,storage,2014,,0,0
NY,com,storage,2014,,0.05,0.3
OH,com,storage,2014,,0.071428571,0.114285714
OK,com,storage,2014,,0.025757576,0.059090909
OR,com,storage,2014,,0.025757576,0.059090909
PA,com,storage,2014,,0.071428571,0.114285714
RI,com,storage,2014,,0.025757576,0.059090909
SC,com,storage,2014,,0.025757576,0.059090909
SD,com,storage,2014,,0.025757576,0.059090909
TN,com,storage,2014,,0.025757576,0.059090909
TX,com,storage,2014,,0,0
UT,com,storage,2014,,0.025757576,0.059090909
VA,com,storage,2014,,0.071428571,0.114285714
VT,com,storage,2014,,0.025757576,0.059090909
WA,com,storage,2014,,0.025757576,0.059090909
WI,com,storage,2014,,0.025757576,0.059090909
WV,com,storage,2014,,0.071428571,0.114285714
WY,com,storage,2014,,0.025757576,0.059090909
AL,ind,storage,2014,,0.025757576,0.059090909
AR,ind,storage,2014,,0.025757576,0.059090909
AZ,ind,storage,2014,,0,0
CA,ind,storage,2014,,2.7,5.5
CO,ind,storage,2014,,0,0
CT,ind,storage,2014,,0.025757576,0.059090909
DC,ind,storage,2014,,0.025757576,0.059090909
DE,ind,storage,2014,,0.071428571,0.114285714
FL,ind,storage,2014,,0,0
GA,ind,storage,2014,,0.025757576,0.059090909
IA,ind,storage,2014,,0.025757576,0.059090909
ID,ind,storage,2014,,0.025757576,0.059090909
IL,ind,storage,2014,,0.025757576,0.059090909
IN,ind,storage,2014,,0.025757576,0.059090909
KS,ind,storage,2014,,0.025757576,0.059090909
KY,ind,storage,2014,,0.071428571,0.114285714
LA,ind,storage,2014,,0.025757576,0.059090909
MA,ind,storage,2014,,0,0
MD,ind,storage,2014,,0.071428571,0.114285714
ME,ind,storage,2014,,0.025757576,0.059090909
MI,ind,storage,2014,,0.025757576,0.059090909
MN,ind,storage,2014,,0.025757576,0.059090909
MO,ind,storage,2014,,0.025757576,0.059090909
MS,ind,storage,2014,,0.025757576,0.059090909
MT,ind,storage,2014,,0.025757576,0.059090909
NC,ind,storage,2014,,0.025757576,0.059090909
ND,ind,storage,2014,,0.025757576,0.059090909
NE,ind,storage,2014,,0.025757576,0.059090909
NH,ind,storage,2014,,0.025757576,0.059090909
NJ,ind,storage,2014,,0.25,0.15
NM,ind,storage,2014,,0.025757576,0.059090909
NV,ind,storage,2014,,0,0
NY,ind,storage,2014,,0.05,0.3
OH,ind,storage,2014,,0.071428571,0.114285714
OK,ind,storage,2014,,0.025757576,0.059090909
OR,ind,storage,2014,,0.025757576,0.059090909
PA,ind,storage,2014,,0.071428571,0.114285714
RI,ind,storage,2014,,0.025757576,0.059090909
SC,ind,storage,2014,,0.025757576,0.059090909
SD,ind,storage,2014,,0.025757576,0.059090909
TN,ind,storage,2014,,0.025757576,0.059090909
TX,ind,storage,2014,,0,0
UT,ind,storage,2014,,0.025757576,0.059090909
VA,ind,storage,2014,,0.071428571,0.114285714
VT,ind,storage,2014,,0.025757576,0.059090909
WA,ind,storage,2014,,0.025757576,0.059090909
WI,ind,storage,2014,,0.025757576,0.059090909
WV,ind,storage,2014,,0.071428571,0.114285714
WY,ind,storage,2014,,0.025757576,0.059090909
AL,res,storage,2014,,0.003030303,0.003030303
AR,res,storage,2014,,0.003030303,0.003030303
AZ,res,storage,2014,,0.1,0.3
CA,res,storage,2014,,0.9,1.6
CO,res,storage,2014,,0,0
CT,res,storage,2014,,0.003030303,0.003030303
DC,res,storage,2014,,0.003030303,0.003030303
DE,res,storage,2014,,0,0
FL,res,storage,2014,,0,0
