turbine_size_kw,year,perf_improvement_factor
2.5,2014,0
5,2014,0
10,2014,0
20,2014,0
50,2014,0
100,2014,0
250,2014,0
500,2014,0
750,2014,0
1000,2014,0
1500,2014,0
2.5,2016,0.021137174
5,2016,0.021137174
10,2016,0.021137174
20,2016,0.021137174
50,2016,0.02829227
100,2016,0.02829227
250,2016,0.026294666
500,2016,0.026294666
750,2016,0.026294666
1000,2016,0.026294666
1500,2016,0.026294666
2.5,2018,0.043167041
5,2018,0.043167041
10,2018,0.043167041
20,2018,0.043167041
50,2018,0.057779415
100,2018,0.057779415
250,2018,0.053699842
500,2018,0.053699842
750,2018,0.053699842
1000,2018,0.053699842
1500,2018,0.053699842
2.5,2020,0.0636723
5,2020,0.0636723
10,2020,0.0636723
20,2020,0.0636723
50,2020,0.085225862
100,2020,0.085225862
250,2020,0.079208405
500,2020,0.079208405
750,2020,0.079208405
1000,2020,0.079208405
1500,2020,0.079208405
2.5,2022,0.083787756
5,2022,0.083787756
10,2022,0.083787756
20,2022,0.083787756
50,2022,0.116657183
100,2022,0.116657183
250,2022,0.106708234
500,2022,0.106708234
750,2022,0.106708234
1000,2022,0.106708234
1500,2022,0.106708234
2.5,2024,0.105541225
5,2024,0.105541225
10,2024,0.105541225
20,2024,0.105541225
50,2024,0.150232904
100,2024,0.150232904
250,2024,0.142789101
500,2024,0.142789101
750,2024,0.142789101
1000,2024,0.142789101
1500,2024,0.142789101
2.5,2025,0.127
5,2025,0.127
10,2025,0.127
20,2025,0.127
50,2025,0.165
100,2025,0.165
250,2025,0.158
500,2025,0.158
750,2025,0.158
1000,2025,0.158
1500,2025,0.158
2.5,2026,0.146856435
5,2026,0.146856435
10,2026,0.146856435
20,2026,0.146856435
50,2026,0.178766294
100,2026,0.178766294
250,2026,0.173451418
500,2026,0.173451418
750,2026,0.173451418
1000,2026,0.173451418
1500,2026,0.173451418
2.5,2027,0.163328463
5,2027,0.163328463
10,2027,0.163328463
20,2027,0.163328463
50,2027,0.190142317
100,2027,0.190142317
250,2027,0.185676227
500,2027,0.185676227
750,2027,0.185676227
1000,2027,0.185676227
1500,2027,0.185676227
2.5,2028,0.17980049
5,2028,0.17980049
10,2028,0.17980049
20,2028,0.17980049
50,2028,0.201518339
100,2028,0.201518339
250,2028,0.197901035
500,2028,0.197901035
750,2028,0.197901035
1000,2028,0.197901035
1500,2028,0.197901035
2.5,2030,0.204510717
5,2030,0.204510717
10,2030,0.204510717
20,2030,0.204510717
50,2030,0.218583884
100,2030,0.218583884
250,2030,0.216239871
500,2030,0.216239871
750,2030,0.216239871
1000,2030,0.216239871
1500,2030,0.216239871
2.5,2032,0.220886859
5,2032,0.220886859
10,2032,0.220886859
20,2032,0.220886859
50,2032,0.229893686
100,2032,0.229893686
250,2032,0.228393517
500,2032,0.228393517
750,2032,0.228393517
1000,2032,0.228393517
1500,2032,0.228393517
2.5,2034,0.23136759
5,2034,0.23136759
10,2034,0.23136759
20,2034,0.23136759
50,2034,0.237131959
100,2034,0.237131959
250,2034,0.236171851
500,2034,0.236171851
750,2034,0.236171851
1000,2034,0.236171851
1500,2034,0.236171851
2.5,2035,0.234721
5,2035,0.234721
10,2035,0.234721
20,2035,0.234721
50,2035,0.239448
100,2035,0.239448
250,2035,0.238661
500,2035,0.238661
750,2035,0.238661
1000,2035,0.238661
1500,2035,0.238661
2.5,2036,0.238075257
5,2036,0.238075257
10,2036,0.238075257
20,2036,0.238075257
50,2036,0.241764454
100,2036,0.241764454
250,2036,0.241149985
500,2036,0.241149985
750,2036,0.241149985
1000,2036,0.241149985
1500,2036,0.241149985
2.5,2038,0.242368165
5,2038,0.242368165
10,2038,0.242368165
20,2038,0.242368165
50,2038,0.24472925
100,2038,0.24472925
250,2038,0.24433599
500,2038,0.24433599
750,2038,0.24433599
1000,2038,0.24433599
1500,2038,0.24433599
2.5,2040,0.245115625
5,2040,0.245115625
10,2040,0.245115625
20,2040,0.245115625
50,2040,0.24662672
100,2040,0.24662672
250,2040,0.246375034
500,2040,0.246375034
750,2040,0.246375034
1000,2040,0.246375034
1500,2040,0.246375034
2.5,2042,0.246874
5,2042,0.246874
10,2042,0.246874
20,2042,0.246874
50,2042,0.247841101
100,2042,0.247841101
250,2042,0.247680022
500,2042,0.247680022
750,2042,0.247680022
1000,2042,0.247680022
1500,2042,0.247680022
2.5,2044,0.24799936
5,2044,0.24799936
10,2044,0.24799936
20,2044,0.24799936
50,2044,0.248618305
100,2044,0.248618305
250,2044,0.248515214
500,2044,0.248515214
750,2044,0.248515214
1000,2044,0.248515214
1500,2044,0.248515214
2.5,2045,0.248359476
5,2045,0.248359476
10,2045,0.248359476
20,2045,0.248359476
50,2045,0.24886701
100,2045,0.24886701
250,2045,0.24886701
500,2045,0.24886701
750,2045,0.24886701
1000,2045,0.24886701
1500,2045,0.24886701
2.5,2046,0.248719591
5,2046,0.248719591
10,2046,0.248719591
20,2046,0.248719591
50,2046,0.249115715
100,2046,0.249115715
250,2046,0.249049737
500,2046,0.249049737
750,2046,0.249049737
1000,2046,0.249049737
1500,2046,0.249049737
2.5,2048,0.249180538
5,2048,0.249180538
10,2048,0.249180538
20,2048,0.249180538
50,2048,0.249434058
100,2048,0.249434058
250,2048,0.249391832
500,2048,0.249391832
750,2048,0.249391832
1000,2048,0.249391832
1500,2048,0.249391832
2.5,2050,0.25
5,2050,0.25
10,2050,0.25
20,2050,0.25
50,2050,0.25
100,2050,0.25
250,2050,0.25
500,2050,0.25
750,2050,0.25
1000,2050,0.25
1500,2050,0.25
