sector_abbr,sys_size_target_nem,sys_oversize_limit_nem,sys_size_target_no_nem,sys_oversize_limit_no_nem
res,0.75,1.05,0.5,1
com,0.75,1.05,0.5,1
ind,0.75,1.05,0.5,1
