fips,county_name,state_abbr,turbine_class,wind_breakeven_cost_fom,wind_tp_fom,wind_ep_fom
32011,Eureka,NV,large,135,254.8,0.0
08123,Weld,CO,large,477,178.5,0.0
08075,Logan,CO,large,278,162.7,0.0
06047,Merced,CA,large,184,79.8,0.0
28083,Leflore,MS,large,259,61.0,0.0
48011,Armstrong,TX,large,646,56.8,0.0
40047,Garfield,OK,large,871,53.6,0.0
21151,Madison,KY,large,647,52.6,0.0
53043,Lincoln,WA,large,433,52.0,0.0
08063,Kit Carson,CO,large,751,49.0,0.0
17075,Iroquois,IL,large,706,46.4,0.0
49021,Iron,UT,large,728,39.4,0.0
17053,Ford,IL,large,890,37.4,0.0
34005,Burlington,NJ,large,254,36.3,0.0
17073,Henry,IL,large,906,35.1,0.0
28055,Issaquena,MS,large,171,33.7,0.0
42005,Armstrong,PA,large,376,33.2,0.0
36045,Jefferson,NY,large,344,30.4,0.0
20021,Cherokee,KS,large,1026,29.5,2.3
29205,Shelby,MO,large,729,28.8,0.0
42117,Tioga,PA,large,976,28.3,0.0
40009,Beckham,OK,large,598,27.9,0.0
40015,Caddo,OK,large,870,27.6,0.0
17105,Livingston,IL,large,939,26.9,0.0
28133,Sunflower,MS,large,448,26.6,0.0
17091,Kankakee,IL,large,787,26.1,0.0
28029,Copiah,MS,large,105,25.7,0.0
31031,Cherry,NE,large,1032,25.6,3.8
17135,Montgomery,IL,large,805,25.3,0.0
17021,Christian,IL,large,627,24.5,0.0
28119,Quitman,MS,large,343,24.4,0.0
17107,Logan,IL,large,680,24.3,0.0
06071,San Bernardino,CA,large,630,23.9,0.0
16051,Jefferson,ID,large,386,22.5,0.0
46063,Harding,SD,large,673,20.9,0.0
29041,Chariton,MO,large,756,20.7,0.0
17115,Macon,IL,large,672,20.5,0.0
22075,Plaquemines,LA,large,126,20.1,0.0
28051,Holmes,MS,large,253,19.0,0.0
31101,Keith,NE,large,661,18.9,0.0
20157,Republic,KS,large,718,18.7,0.0
32003,Clark,NV,large,599,18.3,0.0
29147,Nodaway,MO,large,1071,17.8,2.4
24041,Talbot,MD,large,317,16.8,0.0
36017,Chenango,NY,large,418,16.7,0.0
17093,Kendall,IL,large,742,16.7,0.0
17113,McLean,IL,large,1049,16.5,10.0
46029,Codington,SD,large,992,15.7,5.3
18177,Wayne,IN,large,755,15.7,0.0
39031,Coshocton,OH,large,325,15.6,0.0
21017,Bourbon,KY,large,776,15.5,0.0
45089,Williamsburg,SC,large,397,15.4,0.0
48165,Gaines,TX,large,431,15.1,0.0
05037,Cross,AR,large,549,15.1,0.0
35057,Torrance,NM,large,978,14.9,0.0
42063,Indiana,PA,large,314,14.6,0.0
39091,Logan,OH,large,1140,13.6,13.6
17031,Cook,IL,large,365,13.5,0.0
